Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,7367,7345,104612,65215,14.2,238
2,United States,Northern America,4267,4202,51192,15616,12.0,358
3,Germany,Western Europe,2233,2171,26418,5801,11.83,222
4,India,Asiatic Region,1683,1668,25358,9632,15.07,190
5,Italy,Western Europe,1649,1617,29860,7338,18.11,182
6,Japan,Asiatic Region,1425,1404,18073,3816,12.68,186
7,France,Western Europe,1388,1367,14378,2956,10.36,198
8,United Kingdom,Western Europe,1208,1183,14401,2560,11.92,231
9,Spain,Western Europe,1098,1071,16852,3235,15.35,203
10,Russian Federation,Eastern Europe,1032,1027,8906,3228,8.63,116
11,South Korea,Asiatic Region,948,941,14375,2434,15.16,152
12,Iran,Middle East,917,913,21433,6622,23.37,138
13,Poland,Eastern Europe,914,903,13296,2779,14.55,139
14,Brazil,Latin America,743,740,11205,2823,15.08,133
15,Canada,Northern America,733,723,10042,1583,13.7,193
16,Australia,Pacific Region,592,579,9606,1305,16.23,163
17,Turkey,Middle East,533,530,7292,2253,13.68,115
18,Taiwan,Asiatic Region,508,507,7922,1175,15.59,117
19,Egypt,Africa/Middle East,501,499,9167,3100,18.3,97
20,Saudi Arabia,Middle East,497,495,13187,3452,26.53,118
21,Switzerland,Western Europe,467,459,5534,753,11.85,156
22,Netherlands,Western Europe,400,391,6118,1008,15.3,154
23,Belgium,Western Europe,366,358,5389,782,14.72,151
24,Czech Republic,Eastern Europe,361,360,3870,794,10.72,110
25,Austria,Western Europe,319,315,3613,537,11.33,114
26,Sweden,Western Europe,307,300,4020,596,13.09,150
27,Portugal,Western Europe,287,274,5466,822,19.05,113
28,Pakistan,Asiatic Region,282,277,7555,2166,26.79,95
29,Mexico,Latin America,244,244,3412,546,13.98,78
30,Hungary,Eastern Europe,221,217,2085,424,9.43,92
31,Denmark,Western Europe,220,216,2695,375,12.25,116
32,Israel,Middle East,219,217,1782,317,8.14,109
33,Malaysia,Asiatic Region,206,205,4327,883,21.0,92
34,Singapore,Asiatic Region,189,189,2634,303,13.94,119
35,Romania,Eastern Europe,180,177,3030,365,16.83,76
36,South Africa,Africa,175,173,3137,513,17.93,88
37,Hong Kong,Asiatic Region,166,164,3031,174,18.26,97
38,Finland,Western Europe,164,160,1991,249,12.14,104
39,Argentina,Latin America,148,147,2170,365,14.66,88
40,Greece,Western Europe,148,146,2671,303,18.05,109
41,Ukraine,Eastern Europe,139,139,1741,413,12.53,68
42,Thailand,Asiatic Region,139,137,2390,475,17.19,76
43,Tunisia,Africa,139,139,1986,453,14.29,54
44,Ireland,Western Europe,117,116,1979,340,16.91,93
45,Norway,Western Europe,105,102,2232,215,21.26,86
46,Slovakia,Eastern Europe,104,103,1583,228,15.22,67
47,Algeria,Africa,104,104,1699,354,16.34,50
48,Serbia,Eastern Europe,102,102,1603,191,15.72,59
49,Viet Nam,Asiatic Region,98,97,2158,442,22.02,58
50,Belarus,Eastern Europe,94,94,337,99,3.59,43
51,Chile,Latin America,85,83,1147,192,13.49,55
52,Morocco,Africa,78,78,1943,700,24.91,62
53,Colombia,Latin America,77,77,1826,255,23.71,42
54,New Zealand,Pacific Region,76,74,783,90,10.3,72
55,Lithuania,Eastern Europe,69,69,310,64,4.49,47
56,Croatia,Eastern Europe,62,61,604,98,9.74,58
57,Bulgaria,Eastern Europe,57,57,725,126,12.72,77
58,Iraq,Middle East,54,54,1225,350,22.69,42
59,Slovenia,Eastern Europe,51,50,494,87,9.69,63
60,Jordan,Middle East,42,42,510,73,12.14,44
61,Indonesia,Asiatic Region,42,41,713,194,16.98,42
62,United Arab Emirates,Middle East,41,41,1122,99,27.37,53
63,Bangladesh,Asiatic Region,41,41,1295,343,31.59,49
64,Nigeria,Africa,38,38,842,111,22.16,40
65,Estonia,Eastern Europe,36,35,491,73,13.64,41
66,Qatar,Middle East,35,35,937,126,26.77,40
67,Kuwait,Middle East,26,26,839,110,32.27,35
68,Oman,Middle East,26,26,673,37,25.88,32
69,Lebanon,Middle East,23,23,413,31,17.96,35
70,Kazakhstan,Asiatic Region,21,21,281,49,13.38,29
71,Yemen,Middle East,21,21,329,55,15.67,21
72,Mauritius,Africa,21,21,270,37,12.86,17
73,Luxembourg,Western Europe,20,20,244,20,12.2,32
74,Ethiopia,Africa,19,16,298,23,15.68,30
75,Macao,Asiatic Region,18,18,469,20,26.06,44
76,Philippines,Asiatic Region,18,18,187,10,10.39,24
77,Latvia,Eastern Europe,18,18,265,37,14.72,31
78,Azerbaijan,Eastern Europe,17,17,138,26,8.12,21
79,Armenia,Eastern Europe,16,16,96,18,6.0,21
80,Sudan,Africa,15,15,286,23,19.07,24
81,Cyprus,Western Europe,14,14,333,38,23.79,35
82,Palestine,Middle East,12,12,432,66,36.0,35
83,Cuba,Latin America,12,12,194,16,16.17,39
