Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,1232110,1226114,28128314,16877091,22.83,771
2,United States,Northern America,916048,895891,38782199,11888751,42.34,1201
3,Japan,Asiatic Region,390868,386418,10669463,2589393,27.3,613
4,Germany,Western Europe,381094,374529,12682673,2843927,33.28,732
5,India,Asiatic Region,323606,320534,6356653,2210861,19.64,444
6,United Kingdom,Western Europe,252598,247069,9377634,1546344,37.12,672
7,France,Western Europe,248944,245604,7918429,1493477,31.81,585
8,Russian Federation,Eastern Europe,226053,223592,2320655,843558,10.27,287
9,South Korea,Asiatic Region,191891,190233,5124924,914819,26.71,500
10,Spain,Western Europe,185797,183317,5964840,1189961,32.1,498
11,Italy,Western Europe,173082,169830,5254161,1082394,30.36,494
12,Canada,Northern America,140615,138460,5055326,741779,35.95,523
13,Poland,Eastern Europe,113408,112196,2050973,486745,18.08,310
14,Iran,Middle East,110086,109576,2112116,750465,19.19,260
15,Australia,Pacific Region,102645,101088,3678240,544987,35.83,477
16,Brazil,Latin America,101253,100074,2042516,564432,20.17,290
17,Taiwan,Asiatic Region,86105,85530,2218905,335377,25.77,324
18,Switzerland,Western Europe,76725,75083,3223335,387101,42.01,476
19,Netherlands,Western Europe,72994,71700,3144216,356745,43.07,475
20,Turkey,Middle East,65833,65400,1304012,302706,19.81,269
21,Sweden,Western Europe,60467,59652,2199145,282942,36.37,380
22,Belgium,Western Europe,55572,54669,1846853,224022,33.23,355
23,Egypt,Africa/Middle East,52811,52609,904197,248752,17.12,208
24,Saudi Arabia,Middle East,51551,51220,1177794,197033,22.85,314
25,Czech Republic,Eastern Europe,48460,47863,1044974,208603,21.56,259
26,Portugal,Western Europe,41582,40951,1189068,210940,28.6,274
27,Singapore,Asiatic Region,41436,40921,1974272,187579,47.65,423
28,Mexico,Latin America,39156,38429,739978,128193,18.9,211
29,Malaysia,Asiatic Region,38551,38222,786955,157513,20.41,243
30,Austria,Western Europe,38173,37603,1165690,147019,30.54,288
31,Romania,Eastern Europe,37890,37632,450991,117982,11.9,161
32,Hong Kong,Asiatic Region,35794,35404,1471461,146797,41.11,351
33,Denmark,Western Europe,33990,33510,1330964,154552,39.16,334
34,Ukraine,Eastern Europe,32647,32258,381296,94087,11.68,165
35,Israel,Middle East,32130,31564,1176107,144898,36.6,327
36,Pakistan,Asiatic Region,30133,29920,470827,119073,15.62,178
37,Finland,Western Europe,29152,28848,870063,112324,29.85,261
38,Greece,Western Europe,28550,28110,870447,128110,30.49,257
39,Hungary,Eastern Europe,27938,27443,610856,99176,21.86,209
40,Argentina,Latin America,27225,26824,564040,97448,20.72,190
41,South Africa,Africa,25170,24855,543848,88557,21.61,208
42,Thailand,Asiatic Region,24233,24077,501680,72623,20.7,191
43,Norway,Western Europe,19951,19640,641421,77418,32.15,250
44,Ireland,Western Europe,18336,18054,667610,71795,36.41,266
45,Chile,Latin America,15300,15156,280041,49300,18.3,150
46,Slovakia,Eastern Europe,15238,15121,265524,44079,17.43,146
47,New Zealand,Pacific Region,14776,14532,456041,46335,30.86,219
48,Serbia,Eastern Europe,13722,13601,222719,43615,16.23,135
49,Bulgaria,Eastern Europe,13516,13373,252868,36192,18.71,163
50,Slovenia,Eastern Europe,13172,13054,313970,46554,23.84,175
51,Indonesia,Asiatic Region,11783,11723,130218,26536,11.05,112
52,Algeria,Africa,11656,11593,171447,30199,14.71,125
53,Viet Nam,Asiatic Region,11651,11561,174971,27180,15.02,121
54,Tunisia,Africa,11598,11518,188489,36355,16.25,127
55,Morocco,Africa,11255,11131,187660,42030,16.67,137
56,Croatia,Eastern Europe,11233,10975,193231,33253,17.2,136
57,Colombia,Latin America,10367,10259,154666,26041,14.92,121
58,Iraq,Middle East,10193,10166,81052,22898,7.95,91
59,Belarus,Eastern Europe,9084,9034,102565,17339,11.29,110
60,Nigeria,Africa,8372,8247,116794,22214,13.95,120
61,Lithuania,Eastern Europe,6340,6262,108195,19316,17.07,108
62,United Arab Emirates,Middle East,6188,6096,137366,13312,22.2,130
63,Bangladesh,Asiatic Region,5338,5306,101896,18066,19.09,116
64,Jordan,Middle East,4980,4960,85756,11024,17.22,108
65,Kazakhstan,Asiatic Region,4562,4492,33978,6550,7.45,68
66,Venezuela,Latin America,4507,4467,95525,10180,21.19,115
67,Estonia,Eastern Europe,4440,4398,114616,17006,25.81,122
68,Azerbaijan,Eastern Europe,3837,3805,21259,6125,5.54,54
69,Qatar,Middle East,3608,3543,84807,7983,23.51,108
70,Cuba,Latin America,3497,3477,70788,9514,20.24,98
71,Latvia,Eastern Europe,3171,3134,46478,7184,14.66,79
72,Uzbekistan,Asiatic Region,3117,3083,20351,3179,6.53,52
73,Kuwait,Middle East,2794,2782,53690,5603,19.22,91
74,Macao,Asiatic Region,2458,2433,65469,4928,26.64,107
75,Lebanon,Middle East,2406,2392,48868,4760,20.31,85
76,Oman,Middle East,2379,2359,50044,4481,21.04,90
77,Ethiopia,Africa,2234,2203,28449,3140,12.73,65
78,Armenia,Eastern Europe,2171,2095,17380,3817,8.01,47
79,Cyprus,Western Europe,2122,2071,49012,6287,23.1,89
80,Uruguay,Latin America,2102,2082,45362,6551,21.58,82
81,Moldova,Eastern Europe,1994,1980,34198,4388,17.15,75
82,Philippines,Asiatic Region,1946,1919,37386,3652,19.21,85
83,Cameroon,Africa,1942,1928,29043,5382,14.96,67
84,Puerto Rico,Latin America,1856,1837,58049,2915,31.28,104
85,Luxembourg,Western Europe,1715,1683,48847,3928,28.48,94
86,Ecuador,Latin America,1614,1602,26057,2624,16.14,67
87,Sri Lanka,Asiatic Region,1494,1481,38855,2578,26.01,87
88,Macedonia,Eastern Europe,1484,1468,22504,3327,15.16,56
89,Peru,Latin America,1387,1370,23410,2031,16.88,71
90,Palestine,Middle East,1365,1357,23003,3033,16.85,62
91,Georgia,Eastern Europe,1322,1279,20583,2850,15.57,66
92,Iceland,Western Europe,1225,1211,51081,3869,41.7,89
93,Yemen,Middle East,1220,1210,12621,2016,10.35,46
94,Sudan,Africa,1206,1202,17767,1497,14.73,59
95,Kenya,Africa,1188,1175,22372,1871,18.83,69
96,Ghana,Africa,1126,1113,18260,1852,16.22,64
97,Libya,Africa,925,920,12085,534,13.06,49
98,Syrian Arab Republic,Middle East,897,896,11371,1065,12.68,46
99,Costa Rica,Latin America,863,853,20690,1813,23.97,69
100,Nepal,Asiatic Region,808,795,14455,1455,17.89,58
101,Senegal,Africa,676,672,9801,953,14.5,47
102,Bosnia and Herzegovina,Eastern Europe,659,654,7201,814,10.93,40
103,Tanzania,Africa,630,623,13301,872,21.11,55
104,Botswana,Africa,616,610,12177,928,19.77,47
105,Brunei Darussalam,Asiatic Region,570,558,12094,1353,21.22,56
106,Bahrain,Middle East,563,560,8731,507,15.51,45
107,Côte d’Ivoire,Africa,548,546,7623,548,13.91,39
108,Mongolia,Asiatic Region,477,470,7104,458,14.89,39
109,Mauritius,Africa,476,471,6327,699,13.29,37
110,Tajikistan,Asiatic Region,446,446,3126,518,7.01,25
111,Jamaica,Latin America,430,424,15297,955,35.57,43
112,Trinidad and Tobago,Latin America,359,359,6271,439,17.47,37
113,Panama,Latin America,353,346,10038,624,28.44,52
114,Albania,Eastern Europe,321,314,4542,451,14.15,36
115,Burkina Faso,Africa,296,291,8410,386,28.41,42
116,Liechtenstein,Western Europe,291,289,8309,1054,28.55,48
117,Malta,Western Europe,289,280,7053,600,24.4,34
118,Uganda,Africa,287,286,7525,356,26.22,44
119,North Korea,Asiatic Region,268,267,2675,304,9.98,26
120,Madagascar,Africa,263,258,5076,389,19.3,37
121,Fiji,Pacific Region,263,259,6219,447,23.65,42
122,Zimbabwe,Africa,254,250,6476,224,25.5,34
