Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,4890,4876,37655,22515,7.7,227
2,United States,Northern America,3784,3671,97901,35066,25.87,419
3,Germany,Western Europe,943,913,24484,5000,25.96,181
4,United Kingdom,Western Europe,855,827,16787,3241,19.63,194
5,Japan,Asiatic Region,794,772,7069,2044,8.9,118
6,France,Western Europe,746,729,15119,3005,20.27,174
7,Canada,Northern America,624,606,19039,2397,30.51,184
8,South Korea,Asiatic Region,505,496,5677,920,11.24,115
9,Italy,Western Europe,476,464,7367,1772,15.48,125
10,Taiwan,Asiatic Region,424,417,4345,741,10.25,97
11,Australia,Pacific Region,307,294,5696,851,18.55,125
12,Spain,Western Europe,307,299,5764,985,18.78,111
13,India,Asiatic Region,277,273,5944,1874,21.46,94
14,Netherlands,Western Europe,277,259,6413,933,23.15,130
15,Switzerland,Western Europe,259,248,8601,848,33.21,146
16,Singapore,Asiatic Region,233,223,3866,489,16.59,131
17,Hong Kong,Asiatic Region,220,217,11903,857,54.1,132
18,Russian Federation,Eastern Europe,219,216,928,312,4.24,40
19,Brazil,Latin America,219,211,2820,563,12.88,74
20,Sweden,Western Europe,190,185,3091,533,16.27,90
21,Austria,Western Europe,185,180,3402,536,18.39,96
22,Greece,Western Europe,155,146,1761,262,11.36,79
23,Iran,Middle East,144,144,1489,351,10.34,59
24,Israel,Middle East,141,138,5851,471,41.5,135
25,Portugal,Western Europe,141,128,2163,388,15.34,74
26,Finland,Western Europe,140,138,2770,305,19.79,83
27,Belgium,Western Europe,131,128,4936,333,37.68,85
28,Ukraine,Eastern Europe,127,126,316,166,2.49,23
29,Denmark,Western Europe,117,110,4511,412,38.56,91
30,Poland,Eastern Europe,106,105,1476,317,13.92,57
31,Ireland,Western Europe,102,100,6331,180,62.07,64
32,Turkey,Middle East,85,84,1349,252,15.87,68
33,New Zealand,Pacific Region,80,76,987,94,12.34,58
34,Malaysia,Asiatic Region,80,80,410,80,5.13,37
35,Czech Republic,Eastern Europe,74,74,625,147,8.45,56
36,Norway,Western Europe,60,59,1176,139,19.6,60
37,Saudi Arabia,Middle East,45,45,1079,123,23.98,54
38,Mexico,Latin America,37,37,413,120,11.16,38
39,Hungary,Eastern Europe,37,37,482,106,13.03,47
40,Thailand,Asiatic Region,33,33,338,49,10.24,38
41,Egypt,Africa/Middle East,32,31,212,44,6.63,33
42,Macao,Asiatic Region,32,32,207,35,6.47,41
43,Romania,Eastern Europe,30,29,772,84,25.73,31
44,Tunisia,Africa,27,27,166,36,6.15,25
45,Chile,Latin America,22,22,692,59,31.45,32
46,United Arab Emirates,Middle East,21,21,109,11,5.19,41
47,Cyprus,Western Europe,20,19,454,15,22.7,33
48,Colombia,Latin America,19,19,285,34,15.0,30
49,South Africa,Africa,18,18,90,17,5.0,39
50,Slovenia,Eastern Europe,16,16,92,21,5.75,32
51,Pakistan,Asiatic Region,16,16,121,30,7.56,38
52,Jordan,Middle East,14,14,140,56,10.0,23
53,Algeria,Africa,13,13,59,12,4.54,21
54,Serbia,Eastern Europe,13,13,205,34,15.77,23
55,Slovakia,Eastern Europe,13,13,125,30,9.62,19
56,Lebanon,Middle East,10,10,83,8,8.3,24
57,Kuwait,Middle East,10,10,54,25,5.4,13
58,Argentina,Latin America,9,9,414,118,46.0,28
59,Belarus,Eastern Europe,9,9,39,2,4.33,9
60,Luxembourg,Western Europe,8,8,67,13,8.38,23
61,Viet Nam,Asiatic Region,8,8,115,19,14.38,29
62,Estonia,Eastern Europe,7,7,20,7,2.86,12
63,Bulgaria,Eastern Europe,6,6,112,28,18.67,15
64,Iceland,Western Europe,6,6,73,31,12.17,20
65,Indonesia,Asiatic Region,6,6,19,2,3.17,18
66,Morocco,Africa,6,6,125,38,20.83,20
67,Macedonia,Eastern Europe,6,6,59,6,9.83,10
68,Lithuania,Eastern Europe,5,5,26,22,5.2,18
69,Nigeria,Africa,5,5,9,2,1.8,14
70,Oman,Middle East,4,4,4,0,1.0,9
71,Latvia,Eastern Europe,4,4,46,10,11.5,12
72,Uruguay,Latin America,4,4,96,13,24.0,17
73,Malta,Western Europe,4,4,18,6,4.5,15
74,Bosnia and Herzegovina,Eastern Europe,4,4,4,2,1.0,12
