Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,28711,28069,181201,103459,6.31,271
2,United States,Northern America,12556,11839,102168,29706,8.14,595
3,India,Asiatic Region,12536,11970,55225,23992,4.41,183
4,Russian Federation,Eastern Europe,5566,5264,13390,7468,2.41,93
5,Germany,Western Europe,5346,5012,24942,7042,4.67,270
6,United Kingdom,Western Europe,5117,4769,40300,7272,7.88,304
7,Italy,Western Europe,4389,4008,21429,6928,4.88,206
8,Japan,Asiatic Region,3808,3627,13927,3732,3.66,191
9,Spain,Western Europe,3665,3470,20042,4935,5.47,183
10,France,Western Europe,3546,3303,18051,3323,5.09,249
11,South Korea,Asiatic Region,3210,3139,26148,5223,8.15,162
12,Canada,Northern America,2688,2522,22243,3351,8.27,243
13,Poland,Eastern Europe,2559,2363,8661,2889,3.38,112
14,Australia,Pacific Region,2544,2359,23223,3455,9.13,211
15,Malaysia,Asiatic Region,2510,2472,18525,4633,7.38,106
16,Saudi Arabia,Middle East,2391,2321,27665,7337,11.57,114
17,Indonesia,Asiatic Region,2086,2084,5422,2678,2.6,57
18,Brazil,Latin America,2076,2000,8508,1813,4.1,118
19,Taiwan,Asiatic Region,1844,1809,13735,2728,7.45,176
20,Portugal,Western Europe,1687,1525,6019,1337,3.57,128
21,Pakistan,Asiatic Region,1677,1635,20934,5848,12.48,96
22,Ukraine,Eastern Europe,1645,1605,7064,6098,4.29,47
23,Turkey,Middle East,1544,1487,13026,2816,8.44,139
24,Netherlands,Western Europe,1535,1385,7948,1483,5.18,206
25,Iraq,Middle East,1427,1424,6206,2550,4.35,57
26,Iran,Middle East,1352,1305,12776,3231,9.45,134
27,Egypt,Africa/Middle East,1263,1247,14821,4453,11.73,95
28,Mexico,Latin America,1153,1071,5442,950,4.72,83
29,Viet Nam,Asiatic Region,1131,1107,10194,1773,9.01,64
30,Austria,Western Europe,1062,937,4499,886,4.24,142
31,Ecuador,Latin America,1059,1039,2008,667,1.9,36
32,Hong Kong,Asiatic Region,1020,974,13362,1235,13.1,185
33,Czech Republic,Eastern Europe,1002,961,4454,992,4.45,81
34,Switzerland,Western Europe,998,947,6506,909,6.52,200
35,Sweden,Western Europe,968,906,6123,764,6.33,137
36,Colombia,Latin America,962,929,2079,685,2.16,64
37,Morocco,Africa,927,887,3681,916,3.97,52
38,Greece,Western Europe,922,836,4798,1097,5.2,134
39,Singapore,Asiatic Region,872,810,8910,1172,10.22,161
40,Belgium,Western Europe,834,797,5081,730,6.09,175
41,Finland,Western Europe,801,763,5315,1068,6.64,129
42,Norway,Western Europe,771,740,6679,857,8.66,118
43,Romania,Eastern Europe,764,694,4541,1127,5.94,76
44,Thailand,Asiatic Region,760,738,3916,1174,5.15,70
45,Denmark,Western Europe,682,648,6518,822,9.56,155
46,Israel,Middle East,675,622,3486,700,5.16,175
47,United Arab Emirates,Middle East,647,631,6751,996,10.43,76
48,Tunisia,Africa,596,563,2812,561,4.72,60
49,South Africa,Africa,595,571,3807,680,6.4,85
50,Chile,Latin America,540,524,2319,697,4.29,75
51,Ireland,Western Europe,500,469,3483,422,6.97,108
52,Algeria,Africa,492,480,2819,441,5.73,62
53,Nigeria,Africa,480,455,2671,665,5.56,43
54,Jordan,Middle East,452,444,3504,853,7.75,58
55,Hungary,Eastern Europe,431,399,2725,463,6.32,75
56,Peru,Latin America,401,397,573,243,1.43,22
57,Uzbekistan,Asiatic Region,397,397,523,425,1.32,16
58,Bangladesh,Asiatic Region,374,368,4423,915,11.83,56
59,Slovakia,Eastern Europe,368,354,1958,372,5.32,47
60,New Zealand,Pacific Region,354,327,2394,309,6.76,97
61,Bulgaria,Eastern Europe,297,281,815,309,2.74,40
62,Kazakhstan,Asiatic Region,284,279,1161,462,4.09,32
63,Argentina,Latin America,281,269,590,161,2.1,49
64,Serbia,Eastern Europe,274,242,2299,434,8.39,56
65,Qatar,Middle East,238,229,4404,456,18.5,67
66,Slovenia,Eastern Europe,233,212,1078,222,4.63,63
67,Estonia,Eastern Europe,223,212,960,227,4.3,54
68,Croatia,Eastern Europe,175,168,973,146,5.56,44
69,Luxembourg,Western Europe,169,155,916,131,5.42,65
70,Lithuania,Eastern Europe,164,162,911,231,5.55,45
