Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,30526,30292,416112,263211,13.63,426
2,United States,Northern America,27227,26350,511191,174353,18.78,842
3,Germany,Western Europe,8224,7994,143905,32973,17.5,401
4,India,Asiatic Region,7731,7574,77092,30773,9.97,242
5,United Kingdom,Western Europe,6970,6687,159492,28005,22.88,443
6,Japan,Asiatic Region,5747,5559,48378,11847,8.42,262
7,France,Western Europe,5552,5335,80923,16211,14.58,335
8,Italy,Western Europe,5497,5273,90892,22571,16.53,309
9,Canada,Northern America,4076,3921,123770,13653,30.37,370
10,Spain,Western Europe,3890,3726,67944,12967,17.47,290
11,South Korea,Asiatic Region,3624,3560,54632,8685,15.08,253
12,Australia,Pacific Region,3510,3392,78444,11711,22.35,316
13,Taiwan,Asiatic Region,2846,2765,33560,4923,11.79,230
14,Brazil,Latin America,2344,2292,24347,5847,10.39,178
15,Russian Federation,Eastern Europe,2176,2162,16013,7668,7.36,128
16,Turkey,Middle East,1971,1921,25721,3646,13.05,206
17,Netherlands,Western Europe,1956,1896,71275,6454,36.44,271
18,Malaysia,Asiatic Region,1807,1778,23277,4003,12.88,156
19,Poland,Eastern Europe,1765,1728,18023,5510,10.21,160
20,Iran,Middle East,1702,1696,30152,7976,17.72,178
21,Switzerland,Western Europe,1626,1557,39227,4522,24.12,273
22,Sweden,Western Europe,1573,1532,37647,4512,23.93,234
23,Portugal,Western Europe,1534,1435,21652,3114,14.11,173
24,Singapore,Asiatic Region,1516,1463,38003,3792,25.07,277
25,Hong Kong,Asiatic Region,1445,1398,44254,4159,30.63,267
26,Czech Republic,Eastern Europe,1310,1288,10911,2427,8.33,119
27,Greece,Western Europe,1276,1220,22541,3054,17.67,189
28,Belgium,Western Europe,1229,1195,21954,3038,17.86,219
29,Austria,Western Europe,1215,1164,17171,2783,14.13,181
30,Finland,Western Europe,1142,1111,22974,2870,20.12,200
31,Saudi Arabia,Middle East,1117,1109,23767,2963,21.28,157
32,Romania,Eastern Europe,1073,1056,6569,1573,6.12,100
33,Mexico,Latin America,971,921,10285,1930,10.59,136
34,Denmark,Western Europe,966,910,26140,3037,27.06,197
35,Ukraine,Eastern Europe,859,843,3868,2425,4.5,64
36,Thailand,Asiatic Region,766,741,4864,833,6.35,97
37,Norway,Western Europe,749,715,10608,1664,14.16,158
38,Israel,Middle East,730,720,16421,1643,22.49,206
39,South Africa,Africa,691,646,7010,1578,10.14,113
40,Pakistan,Asiatic Region,619,613,8509,1931,13.75,113
41,Ireland,Western Europe,608,594,8804,1104,14.48,152
42,Tunisia,Africa,607,598,5013,1165,8.26,76
43,Egypt,Africa/Middle East,590,582,7770,1579,13.17,117
44,Indonesia,Asiatic Region,545,538,3738,1255,6.86,61
45,Morocco,Africa,485,480,2950,920,6.08,57
46,Algeria,Africa,467,464,4341,879,9.3,86
47,New Zealand,Pacific Region,466,455,7140,859,15.32,152
48,Colombia,Latin America,420,416,3288,624,7.83,73
49,United Arab Emirates,Middle East,415,397,6837,787,16.47,98
50,Croatia,Eastern Europe,400,393,3293,541,8.23,68
51,Hungary,Eastern Europe,400,387,7496,832,18.74,111
52,Chile,Latin America,386,370,6049,972,15.67,135
53,Slovenia,Eastern Europe,366,361,4557,718,12.45,105
54,Serbia,Eastern Europe,350,347,3917,685,11.19,83
55,Qatar,Middle East,337,324,7839,853,23.26,108
56,Slovakia,Eastern Europe,309,307,2660,654,8.61,68
57,Argentina,Latin America,270,257,3418,597,12.66,93
58,Lebanon,Middle East,268,267,2542,357,9.49,67
59,Viet Nam,Asiatic Region,213,213,3600,739,16.9,99
60,Nigeria,Africa,188,187,1554,245,8.27,52
61,Cyprus,Western Europe,184,175,2694,386,14.64,78
62,Lithuania,Eastern Europe,178,178,2280,338,12.81,53
63,Ecuador,Latin America,177,176,1324,319,7.48,48
64,Macao,Asiatic Region,171,170,6697,628,39.16,112
65,Kuwait,Middle East,164,163,1733,132,10.57,61
66,Luxembourg,Western Europe,162,156,2876,375,17.75,67
67,Jordan,Middle East,151,147,1921,417,12.72,80
68,Bangladesh,Asiatic Region,144,141,1758,300,12.21,79
69,Bulgaria,Eastern Europe,138,136,1159,263,8.4,56
70,Kazakhstan,Asiatic Region,129,126,981,501,7.6,40
71,Estonia,Eastern Europe,129,128,1501,266,11.64,60
72,Iraq,Middle East,120,119,1649,236,13.74,63
73,Bosnia and Herzegovina,Eastern Europe,106,103,674,126,6.36,37
74,Oman,Middle East,77,76,858,117,11.14,49
75,Sri Lanka,Asiatic Region,75,73,935,79,12.47,39
76,Ethiopia,Africa,72,71,227,53,3.15,27
77,Macedonia,Eastern Europe,69,69,533,63,7.72,33
78,Peru,Latin America,68,68,416,64,6.12,35
79,Latvia,Eastern Europe,66,65,283,100,4.29,27
80,Philippines,Asiatic Region,59,58,367,51,6.22,45
81,Uruguay,Latin America,57,53,523,92,9.18,33
82,Cuba,Latin America,53,51,1027,129,19.38,54
83,Venezuela,Latin America,52,51,399,115,7.67,48
84,Montenegro,Eastern Europe,50,49,321,48,6.42,23
85,Iceland,Western Europe,50,49,950,227,19.0,47
86,Kenya,Africa,45,45,326,33,7.24,32
87,Belarus,Eastern Europe,42,42,154,32,3.67,31
88,Puerto Rico,Latin America,36,35,226,20,6.28,33
89,Ghana,Africa,36,36,225,39,6.25,30
90,Costa Rica,Latin America,34,34,196,34,5.76,27
91,Albania,Eastern Europe,34,34,188,23,5.53,20
92,Sudan,Africa,33,33,216,13,6.55,26
93,Brunei Darussalam,Asiatic Region,32,32,601,60,18.78,28
