Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,8383,8313,171120,106355,20.41,363
2,United States,Northern America,5695,5556,304907,67499,53.54,624
3,India,Asiatic Region,2977,2947,22048,8614,7.41,131
4,Japan,Asiatic Region,2640,2607,15928,4193,6.03,173
5,Germany,Western Europe,2069,2025,46586,8323,22.52,267
6,United Kingdom,Western Europe,1895,1844,57186,7340,30.18,305
7,France,Western Europe,1679,1628,26596,3790,15.84,262
8,South Korea,Asiatic Region,1245,1237,19267,2296,15.48,150
9,Italy,Western Europe,1157,1122,15767,3413,13.63,167
10,Indonesia,Asiatic Region,1077,1069,5593,2153,5.19,32
11,Australia,Pacific Region,1073,1046,28584,3370,26.64,209
12,Taiwan,Asiatic Region,1042,1029,5542,805,5.32,131
13,Canada,Northern America,944,916,22092,2171,23.4,216
14,Spain,Western Europe,875,860,10956,1822,12.52,162
15,Turkey,Middle East,789,788,5232,814,6.63,98
16,Russian Federation,Eastern Europe,782,777,5796,2780,7.41,68
17,Brazil,Latin America,729,721,6658,1456,9.13,94
18,Singapore,Asiatic Region,642,631,16237,1442,25.29,185
19,Thailand,Asiatic Region,528,520,2612,430,4.95,42
20,Malaysia,Asiatic Region,514,507,3909,740,7.61,66
21,Hong Kong,Asiatic Region,499,484,32478,1932,65.09,222
22,Iran,Middle East,475,474,4941,928,10.4,71
23,Netherlands,Western Europe,454,444,16184,1186,35.65,162
24,South Africa,Africa,436,432,1604,392,3.68,45
25,Switzerland,Western Europe,430,410,17714,1446,41.2,211
26,Morocco,Africa,429,429,1536,655,3.58,33
27,Austria,Western Europe,401,390,8927,768,22.26,125
28,Sweden,Western Europe,369,367,6464,733,17.52,114
29,Tunisia,Africa,336,335,1592,437,4.74,43
30,Portugal,Western Europe,330,317,2273,438,6.89,84
31,Finland,Western Europe,325,316,4352,583,13.39,114
32,Greece,Western Europe,311,303,2656,487,8.54,98
33,Mexico,Latin America,295,292,1250,283,4.24,61
34,Saudi Arabia,Middle East,290,286,4110,393,14.17,72
35,Belgium,Western Europe,283,279,5013,374,17.71,130
36,Pakistan,Asiatic Region,272,272,3016,438,11.09,57
37,Viet Nam,Asiatic Region,272,268,1794,423,6.6,35
38,Algeria,Africa,256,256,1274,287,4.98,35
39,Denmark,Western Europe,248,239,2207,375,8.9,71
40,Hungary,Eastern Europe,246,243,1695,885,6.89,46
41,Czech Republic,Eastern Europe,210,204,3677,432,17.51,97
42,Poland,Eastern Europe,205,196,1476,409,7.2,62
43,New Zealand,Pacific Region,195,190,1516,288,7.77,62
44,Egypt,Africa/Middle East,191,190,1391,363,7.28,54
45,Israel,Middle East,174,172,4638,390,26.66,158
46,Romania,Eastern Europe,172,170,1801,225,10.47,52
47,Norway,Western Europe,160,158,1631,255,10.19,64
48,Ireland,Western Europe,147,143,1312,238,8.93,65
49,Iraq,Middle East,133,133,1106,325,8.32,28
50,Slovakia,Eastern Europe,122,122,426,144,3.49,28
51,Bangladesh,Asiatic Region,103,101,824,168,8.0,37
52,United Arab Emirates,Middle East,101,100,1065,131,10.54,64
53,Jordan,Middle East,96,95,1028,164,10.71,43
54,Ecuador,Latin America,96,95,619,133,6.45,19
55,Colombia,Latin America,90,89,811,102,9.01,40
56,Philippines,Asiatic Region,89,89,285,115,3.2,19
57,Macao,Asiatic Region,81,80,752,38,9.28,47
58,Peru,Latin America,61,60,315,61,5.16,18
59,Qatar,Middle East,58,58,883,85,15.22,36
60,Argentina,Latin America,56,56,425,39,7.59,32
61,Bulgaria,Eastern Europe,52,50,192,55,3.69,23
62,Lebanon,Middle East,51,49,420,32,8.24,28
63,Croatia,Eastern Europe,48,48,407,62,8.48,34
64,Serbia,Eastern Europe,44,44,280,40,6.36,28
65,Slovenia,Eastern Europe,43,42,1519,93,35.33,55
66,Chile,Latin America,41,38,565,57,13.78,45
67,Cyprus,Western Europe,41,38,468,44,11.41,28
68,Kazakhstan,Asiatic Region,38,38,183,37,4.82,16
69,Ukraine,Eastern Europe,37,37,140,67,3.78,32
70,Nigeria,Africa,35,35,244,45,6.97,19
71,Luxembourg,Western Europe,33,33,712,24,21.58,25
72,Estonia,Eastern Europe,31,31,369,75,11.9,25
73,Sri Lanka,Asiatic Region,29,29,192,23,6.62,20
74,Kenya,Africa,27,27,126,10,4.67,10
75,Azerbaijan,Eastern Europe,26,26,128,12,4.92,10
76,Kuwait,Middle East,25,25,86,18,3.44,19
77,Macedonia,Eastern Europe,21,20,26,10,1.24,14
78,Malta,Western Europe,20,20,127,25,6.35,18
79,Ethiopia,Africa,19,19,46,5,2.42,12
80,Venezuela,Latin America,19,18,105,21,5.53,17
81,Cuba,Latin America,18,18,728,24,40.44,22
82,Puerto Rico,Latin America,16,16,23,1,1.44,6
83,Oman,Middle East,16,16,54,4,3.38,17
84,Palestine,Middle East,16,16,261,41,16.31,17
85,Iceland,Western Europe,15,15,75,19,5.0,21
86,Uruguay,Latin America,15,15,414,7,27.6,21
87,Senegal,Africa,14,14,30,8,2.14,5
88,Belarus,Eastern Europe,13,13,77,15,5.92,22
89,Tanzania,Africa,11,11,116,18,10.55,6
90,Bosnia and Herzegovina,Eastern Europe,10,10,61,12,6.1,15
91,Namibia,Africa,10,10,13,2,1.3,12
92,Costa Rica,Latin America,9,9,38,4,4.22,7
93,Uganda,Africa,9,7,17,5,1.89,6
94,Montenegro,Eastern Europe,8,8,185,48,23.13,23
95,Brunei Darussalam,Asiatic Region,8,7,24,6,3.0,10
96,Libya,Africa,7,7,15,10,2.14,11
97,Myanmar,Asiatic Region,7,7,10,5,1.43,8
98,Lithuania,Eastern Europe,7,2,3,0,0.43,21
99,Botswana,Africa,7,7,23,1,3.29,4
100,Latvia,Eastern Europe,6,6,9,2,1.5,10
101,Ghana,Africa,6,6,4,0,0.67,7
102,Georgia,Eastern Europe,6,6,317,2,52.83,12
103,Sudan,Africa,5,5,5,1,1.0,8
104,Mongolia,Asiatic Region,5,5,22,2,4.4,5
105,Albania,Eastern Europe,4,4,12,1,3.0,7
106,Armenia,Eastern Europe,4,4,61,10,15.25,8
107,Trinidad and Tobago,Latin America,3,3,2,0,0.67,5
108,Guatemala,Latin America,3,3,10,6,3.33,3
109,Bahrain,Middle East,3,3,1,0,0.33,8
110,Jamaica,Latin America,3,3,21,3,7.0,4
111,Paraguay,Latin America,3,3,45,28,15.0,6
112,Cameroon,Africa,3,3,12,6,4.0,9
113,Rwanda,Africa,3,3,18,0,6.0,7
114,Madagascar,Africa,3,3,3,0,1.0,3
115,Nepal,Asiatic Region,3,3,2,1,0.67,6
116,Benin,Africa,3,3,21,1,7.0,5
117,Panama,Latin America,2,2,20,0,10.0,4
118,Burkina Faso,Africa,2,2,0,0,0.0,1
119,Yemen,Middle East,2,2,3,0,1.5,9
120,Zambia,Africa,2,2,6,0,3.0,4
121,Laos,Asiatic Region,2,2,0,0,0.0,2
122,Zimbabwe,Africa,2,2,9,0,4.5,3
123,Kyrgyzstan,Asiatic Region,2,2,0,0,0.0,2
124,Somalia,Africa,1,1,9,0,9.0,2
125,Fiji,Pacific Region,1,1,30,25,30.0,14
126,Eritrea,Africa,1,1,1,0,1.0,1
127,Dominican Republic,Latin America,1,1,1,0,1.0,2
128,Cambodia,Asiatic Region,1,1,14,2,14.0,6
129,Côte d’Ivoire,Africa,1,1,1,0,1.0,3
130,Congo,Africa,1,1,44,1,44.0,1
131,Liechtenstein,Western Europe,1,1,2,0,2.0,3
132,French Polynesia,Pacific Region,1,1,0,0,0.0,1
133,El Salvador,Latin America,1,1,7,0,7.0,3
134,Syrian Arab Republic,Middle East,1,1,0,0,0.0,7
135,Swaziland,Africa,1,1,53,0,53.0,2
136,Bolivia,Latin America,1,1,7,1,7.0,2
137,Mauritius,Africa,1,1,6,4,6.0,6
138,Lesotho,Africa,1,1,7,1,7.0,3
139,Moldova,Eastern Europe,1,1,0,0,0.0,5
