Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3751,3713,82487,30967,21.99,477
2,Japan,Asiatic Region,887,883,6844,1914,7.72,138
3,Germany,Western Europe,585,581,9266,2259,15.84,196
4,United Kingdom,Western Europe,520,465,7741,1592,14.89,210
5,Canada,Northern America,511,511,7156,1013,14.0,186
6,France,Western Europe,356,356,4534,1004,12.74,169
7,Taiwan,Asiatic Region,314,312,2732,668,8.7,125
8,Italy,Western Europe,314,312,7257,1180,23.11,177
9,South Korea,Asiatic Region,286,285,1778,202,6.22,139
10,China,Asiatic Region,188,188,1497,404,7.96,238
11,Spain,Western Europe,173,172,1911,407,11.05,147
12,India,Asiatic Region,169,168,2468,346,14.6,149
13,Australia,Pacific Region,155,153,2990,366,19.29,186
14,Netherlands,Western Europe,153,152,3351,505,21.9,140
15,Hong Kong,Asiatic Region,135,135,1831,215,13.56,151
16,Israel,Middle East,119,114,4389,504,36.88,114
17,Switzerland,Western Europe,110,110,2322,327,21.11,147
18,Greece,Western Europe,88,88,898,157,10.2,111
19,Belgium,Western Europe,83,83,1766,187,21.28,110
20,Sweden,Western Europe,83,82,1533,252,18.47,129
21,Ukraine,Eastern Europe,82,82,202,35,2.46,37
22,Singapore,Asiatic Region,80,80,890,93,11.13,124
23,Finland,Western Europe,76,76,572,88,7.53,104
24,Brazil,Latin America,71,71,553,100,7.79,93
25,Austria,Western Europe,65,63,613,100,9.43,93
26,Russian Federation,Eastern Europe,62,62,599,223,9.66,79
27,Poland,Eastern Europe,57,56,1269,380,22.26,89
28,Hungary,Eastern Europe,51,51,1026,125,20.12,65
29,Czech Republic,Eastern Europe,49,49,148,71,3.02,59
30,Portugal,Western Europe,35,35,418,62,11.94,95
31,New Zealand,Pacific Region,31,31,222,24,7.16,72
32,Slovenia,Eastern Europe,29,29,164,30,5.66,49
33,Denmark,Western Europe,27,27,476,78,17.63,87
34,Turkey,Middle East,26,26,525,27,20.19,88
35,Egypt,Africa/Middle East,25,25,670,25,26.8,70
36,Saudi Arabia,Middle East,24,24,107,15,4.46,103
37,Norway,Western Europe,20,20,624,13,31.2,88
38,Slovakia,Eastern Europe,15,15,45,13,3.0,38
39,Iran,Middle East,15,15,320,25,21.33,99
40,Ireland,Western Europe,15,14,503,32,33.53,86
41,Romania,Eastern Europe,13,13,426,37,32.77,59
42,Mexico,Latin America,13,13,246,15,18.92,61
43,Croatia,Eastern Europe,12,12,76,14,6.33,40
44,Argentina,Latin America,11,11,96,22,8.73,43
45,Belarus,Eastern Europe,11,11,60,21,5.45,17
46,Thailand,Asiatic Region,9,9,91,10,10.11,47
47,Venezuela,Latin America,9,9,43,1,4.78,23
48,South Africa,Africa,8,8,212,2,26.5,51
49,Bulgaria,Eastern Europe,8,8,127,8,15.88,25
50,Cyprus,Western Europe,7,7,47,5,6.71,41
51,Serbia,Eastern Europe,7,7,13,6,1.86,45
52,Tunisia,Africa,7,7,51,6,7.29,45
53,Kuwait,Middle East,6,6,19,4,3.17,32
54,Malaysia,Asiatic Region,6,6,22,7,3.67,87
55,United Arab Emirates,Middle East,5,5,1,1,0.2,64
56,Jordan,Middle East,5,5,80,7,16.0,60
57,Oman,Middle East,4,4,210,26,52.5,31
58,Algeria,Africa,4,4,16,1,4.0,48
59,Pakistan,Asiatic Region,4,4,33,1,8.25,79
60,Macedonia,Eastern Europe,4,4,64,2,16.0,23
61,Colombia,Latin America,4,4,6,2,1.5,39
62,Lebanon,Middle East,4,4,11,0,2.75,38
63,Morocco,Africa,3,3,29,2,9.67,37
64,Chile,Latin America,3,3,12,4,4.0,50
65,Bangladesh,Asiatic Region,3,3,24,2,8.0,51
66,Latvia,Eastern Europe,3,3,15,1,5.0,21
67,Sri Lanka,Asiatic Region,2,2,13,0,6.5,25
68,Nigeria,Africa,2,2,2,0,1.0,33
69,Libya,Africa,2,2,15,0,7.5,13
70,Azerbaijan,Eastern Europe,2,2,1,0,0.5,11
71,Philippines,Asiatic Region,2,2,2,0,1.0,22
72,Indonesia,Asiatic Region,2,2,23,0,11.5,41
73,Moldova,Eastern Europe,2,2,4,1,2.0,6
74,Bahrain,Middle East,1,1,73,0,73.0,17
75,Kazakhstan,Asiatic Region,1,1,0,0,0.0,25
76,Luxembourg,Western Europe,1,1,1,0,1.0,38
77,Montenegro,Eastern Europe,1,1,4,2,4.0,19
78,Malta,Western Europe,1,1,0,0,0.0,19
79,Kenya,Africa,1,1,8,0,8.0,20
80,Iceland,Western Europe,1,1,2,0,2.0,21
81,Iraq,Middle East,1,1,10,0,10.0,44
82,Puerto Rico,Latin America,1,1,0,0,0.0,14
83,Ghana,Africa,1,1,3,0,3.0,24
84,Georgia,Eastern Europe,1,1,0,0,0.0,15
85,Estonia,Eastern Europe,1,1,4,4,4.0,40
86,Ecuador,Latin America,1,1,1,0,1.0,32
87,Cuba,Latin America,1,1,26,5,26.0,18
88,Somalia,Africa,1,1,36,0,36.0,4
89,Syrian Arab Republic,Middle East,1,1,11,0,11.0,14
90,Botswana,Africa,1,1,0,0,0.0,12
91,Trinidad and Tobago,Latin America,1,1,0,0,0.0,8
92,Bosnia and Herzegovina,Eastern Europe,1,1,18,0,18.0,20
93,Viet Nam,Asiatic Region,1,1,5,4,5.0,50
