Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,7269,7102,245382,79236,33.76,681
2,Germany,Western Europe,1644,1615,20868,4555,12.69,263
3,United Kingdom,Western Europe,1373,1320,29428,5995,21.43,307
4,China,Asiatic Region,1101,1093,15129,7606,13.74,327
5,Canada,Northern America,864,849,29962,3096,34.68,291
6,Australia,Pacific Region,851,837,18529,2990,21.77,237
7,Japan,Asiatic Region,845,837,8509,2100,10.07,163
8,France,Western Europe,842,832,12484,2558,14.83,205
9,Italy,Western Europe,731,717,12910,2482,17.66,210
10,Spain,Western Europe,507,500,6004,1542,11.84,182
11,Taiwan,Asiatic Region,408,401,10598,1892,25.98,179
12,Netherlands,Western Europe,392,379,12036,1497,30.7,207
13,Switzerland,Western Europe,303,299,8038,637,26.53,190
14,South Korea,Asiatic Region,301,296,7659,794,25.45,184
15,Russian Federation,Eastern Europe,294,294,1260,619,4.29,81
16,Hong Kong,Asiatic Region,280,275,16600,1332,59.29,217
17,Greece,Western Europe,270,265,5067,713,18.77,120
18,Finland,Western Europe,260,257,3743,621,14.4,144
19,Sweden,Western Europe,249,238,3276,595,13.16,151
20,Israel,Middle East,247,243,10307,1316,41.73,164
21,Singapore,Asiatic Region,240,239,12546,650,52.28,196
22,India,Asiatic Region,227,224,3796,961,16.72,166
23,Brazil,Latin America,218,217,1642,413,7.53,112
24,Czech Republic,Eastern Europe,209,208,1521,317,7.28,75
25,Austria,Western Europe,191,189,3607,499,18.88,122
26,Belgium,Western Europe,165,159,2393,450,14.5,133
27,Poland,Eastern Europe,160,157,2167,583,13.54,95
28,Denmark,Western Europe,137,136,3136,235,22.89,134
29,Norway,Western Europe,134,133,3057,443,22.81,121
30,Portugal,Western Europe,128,122,1953,386,15.26,110
31,Slovakia,Eastern Europe,117,117,527,162,4.5,44
32,New Zealand,Pacific Region,113,113,1746,199,15.45,111
33,Turkey,Middle East,111,109,2223,264,20.03,112
34,Ireland,Western Europe,103,100,1396,142,13.55,114
35,Mexico,Latin America,97,95,976,130,10.06,71
36,Croatia,Eastern Europe,92,92,75,30,0.82,42
37,Hungary,Eastern Europe,90,90,922,159,10.24,67
38,Iran,Middle East,68,67,319,122,4.69,101
39,Slovenia,Eastern Europe,59,59,735,201,12.46,63
40,Thailand,Asiatic Region,58,57,546,44,9.41,63
41,South Africa,Africa,55,50,566,71,10.29,78
42,Romania,Eastern Europe,50,50,246,68,4.92,59
43,Serbia,Eastern Europe,48,47,118,43,2.46,48
44,Malaysia,Asiatic Region,47,46,1118,153,23.79,109
45,Lithuania,Eastern Europe,43,43,385,139,8.95,44
46,Chile,Latin America,33,32,377,75,11.42,65
47,Argentina,Latin America,32,31,516,66,16.13,46
48,Tunisia,Africa,31,31,171,56,5.52,46
49,Egypt,Africa/Middle East,31,30,1363,70,43.97,79
50,Algeria,Africa,28,27,127,29,4.54,41
51,United Arab Emirates,Middle East,27,25,454,53,16.81,71
52,Ukraine,Eastern Europe,24,24,34,19,1.42,40
53,Nigeria,Africa,23,20,108,46,4.7,37
54,Saudi Arabia,Middle East,21,21,190,28,9.05,109
55,Lebanon,Middle East,18,18,236,10,13.11,42
56,Pakistan,Asiatic Region,16,15,203,20,12.69,85
57,Cyprus,Western Europe,15,15,80,26,5.33,42
58,Kuwait,Middle East,14,14,153,18,10.93,44
59,Bulgaria,Eastern Europe,14,14,153,16,10.93,33
60,Venezuela,Latin America,13,13,66,5,5.08,25
61,Colombia,Latin America,12,12,90,20,7.5,46
62,Bangladesh,Asiatic Region,11,10,89,11,8.09,52
63,Macao,Asiatic Region,11,11,26,3,2.36,80
64,Morocco,Africa,10,10,74,8,7.4,47
