Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,396062,385557,10804301,3292915,27.28,886
2,China,Asiatic Region,340816,338392,3971031,2475950,11.65,460
3,United Kingdom,Western Europe,91721,88160,2049344,330488,22.34,430
4,Germany,Western Europe,91515,88841,1620186,340438,17.7,367
5,Japan,Asiatic Region,79988,78092,832097,201001,10.4,233
6,France,Western Europe,68455,66651,1243912,229643,18.17,328
7,India,Asiatic Region,67090,66280,768977,246558,11.46,222
8,Canada,Northern America,59420,57507,1481404,177960,24.93,347
9,Italy,Western Europe,52352,49899,916715,194443,17.51,260
10,South Korea,Asiatic Region,46079,45250,574420,83252,12.47,213
11,Australia,Pacific Region,44482,43076,997069,133191,22.42,305
12,Spain,Western Europe,42997,41361,717294,140433,16.68,247
13,Taiwan,Asiatic Region,37956,37214,512041,91790,13.49,199
14,Brazil,Latin America,30316,29659,310262,71282,10.23,164
15,Netherlands,Western Europe,26779,25591,590289,74246,22.04,255
16,Hong Kong,Asiatic Region,23934,23277,692835,60111,28.95,283
17,Singapore,Asiatic Region,22562,22061,602728,56040,26.71,268
18,Switzerland,Western Europe,21847,21085,664159,56819,30.4,282
19,Sweden,Western Europe,19458,18792,341176,46046,17.53,180
20,Russian Federation,Eastern Europe,18256,18081,94933,32831,5.2,99
21,Iran,Middle East,17647,17513,285681,67845,16.19,148
22,Austria,Western Europe,16227,15553,273308,38358,16.84,179
23,Greece,Western Europe,15341,14865,244263,33929,15.92,167
24,Israel,Middle East,14403,14075,396398,40074,27.52,238
25,Belgium,Western Europe,14153,13664,376998,35529,26.64,210
26,Finland,Western Europe,13840,13530,285041,32297,20.6,184
27,Portugal,Western Europe,13630,12903,189147,26938,13.88,145
28,Turkey,Middle East,13107,12854,230835,32541,17.61,173
29,Poland,Eastern Europe,11522,11160,149823,34519,13.0,128
30,Malaysia,Asiatic Region,11169,11071,138150,23931,12.37,123
31,Denmark,Western Europe,10400,10057,211889,24706,20.37,163
32,Norway,Western Europe,9120,8788,146458,19034,16.06,146
33,Czech Republic,Eastern Europe,9052,8853,108651,20109,12.0,119
34,Saudi Arabia,Middle East,9046,8955,137651,19460,15.22,131
35,Ireland,Western Europe,8254,7840,120232,12618,14.57,127
36,Pakistan,Asiatic Region,7806,7728,92350,22427,11.83,101
37,Mexico,Latin America,7603,7404,90253,15529,11.87,113
38,New Zealand,Pacific Region,7057,6793,122189,14498,17.31,139
39,Romania,Eastern Europe,6235,6112,48233,9201,7.74,83
40,Thailand,Asiatic Region,6181,6100,39292,5320,6.36,68
41,Egypt,Africa/Middle East,5930,5885,70330,10757,11.86,101
42,Indonesia,Asiatic Region,5834,5786,20536,6534,3.52,47
43,Hungary,Eastern Europe,5623,5500,61169,10042,10.88,93
44,Tunisia,Africa,5242,5199,41124,9447,7.85,61
45,Viet Nam,Asiatic Region,5080,5007,45388,8920,8.93,75
46,Ukraine,Eastern Europe,4563,4511,15883,8469,3.48,38
47,Algeria,Africa,4469,4443,35337,6045,7.91,68
48,South Africa,Africa,4402,4314,44245,6031,10.05,79
49,United Arab Emirates,Middle East,4183,4091,55015,5972,13.15,91
50,Chile,Latin America,3249,3149,44838,6485,13.8,83
51,Morocco,Africa,3243,3217,18655,5305,5.75,47
52,Argentina,Latin America,3053,2984,34327,5494,11.24,72
53,Slovenia,Eastern Europe,3029,2940,66980,7411,22.11,98
54,Jordan,Middle East,2748,2725,41068,5726,14.94,82
55,Bangladesh,Asiatic Region,2683,2651,19757,3276,7.36,58
56,Colombia,Latin America,2557,2531,26841,2826,10.5,63
57,Slovakia,Eastern Europe,2485,2443,23446,6185,9.44,58
58,Macao,Asiatic Region,2405,2365,52292,3992,21.74,101
59,Croatia,Eastern Europe,2104,2076,17542,2663,8.34,52
60,Luxembourg,Western Europe,2098,1947,30628,3927,14.6,73
61,Serbia,Eastern Europe,2070,2042,21032,3816,10.16,59
62,Qatar,Middle East,1902,1851,36201,3541,19.03,87
63,Iraq,Middle East,1876,1870,15231,2798,8.12,52
64,Bulgaria,Eastern Europe,1751,1704,10490,1930,5.99,42
65,Cyprus,Western Europe,1558,1466,18270,2309,11.73,59
66,Lebanon,Middle East,1467,1437,13902,1835,9.48,52
67,Philippines,Asiatic Region,1377,1372,4898,876,3.56,28
68,Estonia,Eastern Europe,1344,1311,12105,2075,9.01,47
69,Nigeria,Africa,1118,1104,7316,1374,6.54,33
70,Ecuador,Latin America,975,962,6547,931,6.71,34
71,Kuwait,Middle East,954,947,11471,1024,12.02,51
72,Latvia,Eastern Europe,773,767,4055,1011,5.25,28
73,Oman,Middle East,755,742,6840,632,9.06,36
74,Sri Lanka,Asiatic Region,753,748,5095,499,6.77,27
75,Peru,Latin America,721,710,2923,544,4.05,23
76,Belarus,Eastern Europe,689,684,3842,649,5.58,31
77,Lithuania,Eastern Europe,663,630,6741,1061,10.17,38
78,Venezuela,Latin America,649,645,8311,747,12.81,39
79,Uruguay,Latin America,632,623,6123,849,9.69,32
80,Iceland,Western Europe,604,560,12471,1077,20.65,43
81,Kazakhstan,Asiatic Region,569,568,3364,629,5.91,23
82,Macedonia,Eastern Europe,504,491,3798,492,7.54,26
83,Cuba,Latin America,462,456,5805,684,12.56,36
