Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,9326,9164,431674,133020,46.29,886
2,China,Asiatic Region,2969,2951,28370,16309,9.56,460
3,Japan,Asiatic Region,2156,2118,30982,8557,14.37,233
4,United Kingdom,Western Europe,1725,1677,53884,8817,31.24,430
5,Germany,Western Europe,1291,1272,40259,6710,31.18,367
6,France,Western Europe,1215,1206,45483,7314,37.43,328
7,Canada,Northern America,1149,1124,37474,5874,32.61,347
8,Italy,Western Europe,976,949,29712,5331,30.44,260
9,Taiwan,Asiatic Region,805,787,23246,3906,28.88,199
10,South Korea,Asiatic Region,772,717,16305,2050,21.12,213
11,Spain,Western Europe,660,648,15420,3510,23.36,247
12,Australia,Pacific Region,561,553,17234,2161,30.72,305
13,Russian Federation,Eastern Europe,555,555,3087,699,5.56,99
14,Singapore,Asiatic Region,498,495,11982,1237,24.06,268
15,Hong Kong,Asiatic Region,496,481,13585,1426,27.39,283
16,Netherlands,Western Europe,458,449,16070,2015,35.09,255
17,Brazil,Latin America,443,443,10606,1539,23.94,164
18,Sweden,Western Europe,362,360,8740,1054,24.14,180
19,India,Asiatic Region,346,343,43064,4690,124.46,222
20,Israel,Middle East,297,296,20038,1922,67.47,238
21,Switzerland,Western Europe,290,283,14414,1005,49.7,282
22,Belgium,Western Europe,257,253,10403,1121,40.48,210
23,Greece,Western Europe,256,249,7696,852,30.06,167
24,Austria,Western Europe,232,229,9879,798,42.58,179
25,Poland,Eastern Europe,218,214,4667,959,21.41,128
26,Finland,Western Europe,217,217,19344,970,89.14,184
27,Portugal,Western Europe,144,142,7182,716,49.88,145
28,Denmark,Western Europe,132,125,4366,431,33.08,163
29,Turkey,Middle East,124,121,3529,407,28.46,173
30,Hungary,Eastern Europe,118,118,2164,309,18.34,93
31,Ukraine,Eastern Europe,110,109,222,75,2.02,38
32,Czech Republic,Eastern Europe,99,97,1639,263,16.56,119
33,Mexico,Latin America,92,90,3190,361,34.67,113
34,Norway,Western Europe,81,79,1353,212,16.7,146
35,New Zealand,Pacific Region,80,80,2039,263,25.49,139
36,Thailand,Asiatic Region,71,71,894,97,12.59,68
