Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,52585,51399,1525253,506721,29.01,1310
2,China,Asiatic Region,32762,32683,262612,147245,8.02,613
3,Japan,Asiatic Region,13057,12908,122933,32581,9.42,373
4,Germany,Western Europe,12584,12309,230927,53393,18.35,590
5,United Kingdom,Western Europe,12400,12044,281136,52441,22.67,650
6,France,Western Europe,9829,9636,186022,43525,18.93,512
7,Canada,Northern America,9040,8858,193786,28233,21.44,552
8,South Korea,Asiatic Region,8011,7971,83240,13045,10.39,350
9,Italy,Western Europe,7054,6827,127370,28177,18.06,423
10,Spain,Western Europe,6087,5970,101894,21391,16.74,412
11,Australia,Pacific Region,5973,5860,109737,16809,18.37,455
12,Taiwan,Asiatic Region,5685,5639,93557,17839,16.46,328
13,India,Asiatic Region,4316,4280,64907,18702,15.04,331
14,Netherlands,Western Europe,3802,3690,97959,13574,25.77,416
15,Hong Kong,Asiatic Region,2865,2813,76139,7095,26.58,406
16,Singapore,Asiatic Region,2793,2758,76245,5974,27.3,377
17,Poland,Eastern Europe,2651,2603,26400,8916,9.96,211
18,Brazil,Latin America,2606,2569,33964,7879,13.03,246
19,Switzerland,Western Europe,2516,2462,109421,7962,43.49,428
20,Russian Federation,Eastern Europe,2380,2365,13954,4700,5.86,182
21,Greece,Western Europe,2284,2234,41522,5385,18.18,260
22,Sweden,Western Europe,2246,2210,40273,5965,17.93,325
23,Belgium,Western Europe,2173,2105,64059,6349,29.48,338
24,Israel,Middle East,2128,2095,77373,7504,36.36,372
25,Finland,Western Europe,2049,2021,41852,5125,20.43,293
26,Austria,Western Europe,1767,1711,42707,5289,24.17,281
27,Turkey,Middle East,1711,1706,32201,5265,18.82,264
28,Iran,Middle East,1513,1510,18087,4721,11.95,234
29,Portugal,Western Europe,1420,1373,25576,4214,18.01,245
30,Mexico,Latin America,1363,1352,13440,2344,9.86,183
31,Ireland,Western Europe,1243,1215,21011,2393,16.9,210
32,Czech Republic,Eastern Europe,1203,1180,13870,3830,11.53,188
