Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,4455,4293,11999,9137,2.69,123
2,India,Asiatic Region,1590,1378,3062,1367,1.93,79
3,United States,Northern America,1413,1226,5926,1864,4.19,247
4,Russian Federation,Eastern Europe,1018,362,978,615,0.96,34
5,Italy,Western Europe,749,683,2261,921,3.02,104
6,United Kingdom,Western Europe,720,628,3687,961,5.12,173
7,Germany,Western Europe,514,476,1904,496,3.7,115
8,Brazil,Latin America,363,346,669,211,1.84,57
9,France,Western Europe,362,333,1428,292,3.94,87
10,Australia,Pacific Region,348,302,1635,257,4.7,102
11,Canada,Northern America,317,285,1592,267,5.02,115
12,Uzbekistan,Asiatic Region,271,269,49,33,0.18,9
13,Spain,Western Europe,267,249,876,212,3.28,98
14,Japan,Asiatic Region,253,233,537,123,2.12,57
15,Portugal,Western Europe,237,222,557,167,2.35,64
16,Poland,Eastern Europe,228,147,685,218,3.0,44
17,Indonesia,Asiatic Region,228,225,299,130,1.31,22
18,Netherlands,Western Europe,223,217,933,163,4.18,100
19,Peru,Latin America,213,210,145,77,0.68,16
20,Taiwan,Asiatic Region,163,159,353,106,2.17,50
21,Malaysia,Asiatic Region,162,111,452,109,2.79,48
22,Egypt,Africa/Middle East,161,109,215,56,1.34,25
23,South Korea,Asiatic Region,143,129,485,53,3.39,44
24,Ukraine,Eastern Europe,137,73,211,183,1.54,21
25,Turkey,Middle East,137,90,759,184,5.54,56
26,Switzerland,Western Europe,134,104,851,114,6.35,68
27,Iran,Middle East,118,105,521,166,4.42,52
28,Sweden,Western Europe,116,108,807,110,6.96,71
29,Hong Kong,Asiatic Region,109,95,675,106,6.19,67
30,Denmark,Western Europe,109,85,557,62,5.11,65
31,Mexico,Latin America,107,63,183,44,1.71,29
32,Saudi Arabia,Middle East,103,71,329,85,3.19,36
33,Ecuador,Latin America,99,99,79,32,0.8,16
34,United Arab Emirates,Middle East,99,48,537,177,5.42,30
35,Viet Nam,Asiatic Region,98,84,223,44,2.28,21
36,Czech Republic,Eastern Europe,95,86,297,70,3.13,33
37,Sri Lanka,Asiatic Region,95,93,170,52,1.79,16
38,South Africa,Africa,94,92,414,56,4.4,38
39,Austria,Western Europe,93,73,313,46,3.37,53
40,Singapore,Asiatic Region,86,70,569,55,6.62,59
41,Colombia,Latin America,84,80,126,39,1.5,27
42,Greece,Western Europe,84,80,220,63,2.62,54
43,Hungary,Eastern Europe,81,79,238,55,2.94,33
44,Norway,Western Europe,80,78,435,67,5.44,52
45,Belgium,Western Europe,79,72,490,50,6.2,65
