Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,13175,13068,83257,50707,6.32,230
2,United States,Northern America,5299,5053,59217,15107,11.18,422
3,India,Asiatic Region,4307,4163,21868,9338,5.08,132
4,Indonesia,Asiatic Region,2004,1997,4864,2207,2.43,35
5,United Kingdom,Western Europe,1838,1719,19472,3784,10.59,229
6,Russian Federation,Eastern Europe,1773,1752,4651,2284,2.62,45
7,Japan,Asiatic Region,1615,1574,7342,1430,4.55,103
8,Germany,Western Europe,1606,1533,11046,3096,6.88,156
9,France,Western Europe,1211,1169,8362,1636,6.91,136
10,Canada,Northern America,1176,1122,13963,2213,11.87,218
11,South Korea,Asiatic Region,1052,1035,7329,1161,6.97,137
12,Italy,Western Europe,1026,912,8212,1940,8.0,125
13,Australia,Pacific Region,1012,941,13050,2091,12.9,156
14,Taiwan,Asiatic Region,931,915,4899,751,5.26,162
15,Ukraine,Eastern Europe,835,832,2806,2155,3.36,34
16,Brazil,Latin America,784,756,5025,964,6.41,91
17,Turkey,Middle East,778,775,3346,676,4.3,106
18,Malaysia,Asiatic Region,753,749,3555,924,4.72,80
19,Spain,Western Europe,748,713,8129,1489,10.87,157
20,Thailand,Asiatic Region,736,728,2469,527,3.35,50
21,Iran,Middle East,566,563,4310,870,7.61,90
22,Saudi Arabia,Middle East,525,497,4773,783,9.09,87
23,Netherlands,Western Europe,445,422,3763,554,8.46,158
24,Greece,Western Europe,440,418,2455,582,5.58,93
25,Pakistan,Asiatic Region,433,427,2843,896,6.57,52
26,Portugal,Western Europe,431,402,3492,533,8.1,96
27,South Africa,Africa,428,418,1868,383,4.36,60
28,Viet Nam,Asiatic Region,415,414,2807,617,6.76,45
29,Poland,Eastern Europe,412,394,2666,679,6.47,89
30,Singapore,Asiatic Region,375,361,5489,591,14.64,150
31,Hong Kong,Asiatic Region,369,358,4766,470,12.92,190
32,Sweden,Western Europe,361,346,3586,435,9.93,98
33,Norway,Western Europe,340,320,4998,682,14.7,87
34,United Arab Emirates,Middle East,335,325,1601,300,4.78,50
35,Jordan,Middle East,332,329,2355,582,7.09,46
36,Finland,Western Europe,332,317,4668,700,14.06,116
37,Philippines,Asiatic Region,318,318,845,303,2.66,20
38,Austria,Western Europe,308,285,2617,451,8.5,82
39,Morocco,Africa,308,301,1160,382,3.77,28
40,Egypt,Africa/Middle East,303,302,2016,428,6.65,43
41,Czech Republic,Eastern Europe,274,270,1378,290,5.03,48
42,Switzerland,Western Europe,268,249,2254,438,8.41,90
43,Iraq,Middle East,255,251,1038,248,4.07,27
44,Belgium,Western Europe,252,242,2107,368,8.36,114
45,Nigeria,Africa,240,240,942,200,3.93,27
46,Bangladesh,Asiatic Region,236,236,1633,388,6.92,31
47,Romania,Eastern Europe,235,217,721,194,3.07,40
48,Bulgaria,Eastern Europe,210,205,526,273,2.5,21
49,Hungary,Eastern Europe,207,204,827,281,4.0,37
50,Slovakia,Eastern Europe,200,200,667,243,3.34,35
51,Ecuador,Latin America,199,196,440,158,2.21,18
52,Denmark,Western Europe,199,185,1951,259,9.8,100
53,Uzbekistan,Asiatic Region,193,193,523,421,2.71,14
54,Chile,Latin America,193,192,791,170,4.1,56
55,Sri Lanka,Asiatic Region,184,184,575,125,3.13,21
56,Mexico,Latin America,182,175,996,314,5.47,61
57,Ireland,Western Europe,181,173,1455,182,8.04,73
58,Serbia,Eastern Europe,180,168,430,172,2.39,35
59,Tunisia,Africa,159,155,525,127,3.3,38
60,Israel,Middle East,158,158,762,159,4.82,80
61,New Zealand,Pacific Region,153,145,1653,152,10.8,90
62,Qatar,Middle East,149,147,1392,194,9.34,42
63,Algeria,Africa,113,112,930,139,8.23,31
64,Kazakhstan,Asiatic Region,98,97,393,54,4.01,16
65,Argentina,Latin America,96,95,248,63,2.58,24
66,Lebanon,Middle East,86,79,557,87,6.48,34
67,Cyprus,Western Europe,84,82,447,73,5.32,32
68,Colombia,Latin America,84,84,480,67,5.71,37
69,Macao,Asiatic Region,72,71,1513,71,21.01,48
70,Peru,Latin America,70,70,150,49,2.14,18
71,Ghana,Africa,70,69,357,27,5.1,19
72,Luxembourg,Western Europe,65,62,520,71,8.0,31
73,Slovenia,Eastern Europe,60,59,790,85,13.17,46
74,Bosnia and Herzegovina,Eastern Europe,58,58,138,30,2.38,11
75,Latvia,Eastern Europe,56,56,118,79,2.11,15
76,Lithuania,Eastern Europe,56,55,183,46,3.27,21
77,Estonia,Eastern Europe,56,55,364,82,6.5,26
78,Croatia,Eastern Europe,51,49,208,20,4.08,21
79,Oman,Middle East,50,46,269,19,5.38,22
80,Kuwait,Middle East,47,47,199,23,4.23,44
81,Kenya,Africa,44,44,294,14,6.68,12
82,Tanzania,Africa,43,41,81,19,1.88,9
83,Costa Rica,Latin America,37,37,32,9,0.86,13
84,Palestine,Middle East,36,36,245,27,6.81,15
85,Macedonia,Eastern Europe,36,36,84,14,2.33,11
86,Bahrain,Middle East,35,25,82,17,2.34,17
87,Paraguay,Latin America,25,23,50,10,2.0,9
88,Nepal,Asiatic Region,24,22,184,3,7.67,10
89,Mauritius,Africa,19,19,260,7,13.68,8
90,Belarus,Eastern Europe,19,19,81,12,4.26,25
91,Myanmar,Asiatic Region,18,18,48,8,2.67,8
92,Uruguay,Latin America,17,17,34,18,2.0,11
93,Ethiopia,Africa,17,17,96,16,5.65,13
94,Uganda,Africa,16,16,33,10,2.06,9
95,Namibia,Africa,15,15,39,6,2.6,8
96,Senegal,Africa,14,14,85,11,6.07,8
97,Azerbaijan,Eastern Europe,13,13,62,1,4.77,14
98,Malta,Western Europe,13,13,37,9,2.85,9
99,Montenegro,Eastern Europe,13,13,29,11,2.23,7
100,Fiji,Pacific Region,13,13,55,18,4.23,15
101,Sudan,Africa,10,10,16,0,1.6,9
102,Yemen,Middle East,9,9,59,8,6.56,16
103,Brunei Darussalam,Asiatic Region,9,9,59,16,6.56,13
104,Botswana,Africa,9,9,3,0,0.33,10
105,Venezuela,Latin America,9,8,23,6,2.56,16
106,Zimbabwe,Africa,8,8,24,7,3.0,5
107,Zambia,Africa,8,8,56,3,7.0,5
108,Cameroon,Africa,8,7,30,5,3.75,9
109,Libya,Africa,7,7,63,7,9.0,5
110,Syrian Arab Republic,Middle East,7,7,280,7,40.0,14
111,Kyrgyzstan,Asiatic Region,6,6,13,6,2.17,4
112,Liechtenstein,Western Europe,6,3,202,5,33.67,24
113,Trinidad and Tobago,Latin America,6,6,2,0,0.33,7
114,Cuba,Latin America,6,6,24,0,4.0,22
115,Rwanda,Africa,5,5,40,3,8.0,4
116,Malawi,Africa,5,5,23,2,4.6,3
117,Iceland,Western Europe,5,5,19,2,3.8,15
118,Georgia,Eastern Europe,5,5,76,4,15.2,11
119,Albania,Eastern Europe,5,4,34,1,6.8,8
120,Jamaica,Latin America,4,4,2,0,0.5,11
121,Swaziland,Africa,4,4,8,1,2.0,5
122,Mozambique,Africa,4,4,4,0,1.0,4
123,Mongolia,Asiatic Region,4,4,17,0,4.25,4
124,Panama,Latin America,4,4,0,0,0.0,3
125,El Salvador,Latin America,3,2,1,0,0.33,4
126,Benin,Africa,3,3,12,6,4.0,3
127,Mali,Africa,3,3,8,0,2.67,4
128,Afghanistan,Asiatic Region,3,3,11,2,3.67,4
129,Cambodia,Asiatic Region,3,3,5,0,1.67,7
130,Laos,Asiatic Region,3,3,5,0,1.67,3
131,Burkina Faso,Africa,3,3,2,1,0.67,4
132,Burundi,Africa,3,3,65,7,21.67,3
133,Madagascar,Africa,2,2,1,1,0.5,1
134,Puerto Rico,Latin America,2,2,3,2,1.5,10
135,Reunion,Africa,2,2,4,0,2.0,1
136,Monaco,Western Europe,2,2,7,0,3.5,3
137,Moldova,Eastern Europe,2,2,3,1,1.5,3
138,Armenia,Eastern Europe,2,2,23,4,11.5,6
139,Mauritania,Africa,2,2,1,0,0.5,2
140,New Caledonia,Pacific Region,1,1,11,0,11.0,3
141,Democratic Republic Congo,Africa,1,1,10,0,10.0,2
142,Congo,Africa,1,1,0,0,0.0,0
143,Guatemala,Latin America,1,1,0,0,0.0,3
144,Saint Lucia,Latin America,1,1,15,0,15.0,1
145,Angola,Africa,1,1,1,0,1.0,2
146,Maldives,Asiatic Region,1,1,1,0,1.0,1
147,Guam,Pacific Region,1,1,0,0,0.0,2
148,North Korea,Asiatic Region,1,1,4,2,4.0,1
149,Gabon,Africa,1,1,1,0,1.0,1
150,Honduras,Latin America,1,1,24,0,24.0,3
151,Timor-Leste,Asiatic Region,1,1,9,0,9.0,3
152,Tajikistan,Asiatic Region,1,1,7,0,7.0,4
153,Bhutan,Asiatic Region,1,1,4,0,4.0,3
