Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,4730,4660,7574,5162,1.6,206
2,United States,Northern America,3727,3407,4804,1593,1.29,441
3,United Kingdom,Western Europe,1528,1399,2666,555,1.74,274
4,India,Asiatic Region,1279,1237,2322,878,1.82,141
5,Germany,Western Europe,1106,1003,1890,423,1.71,198
6,France,Western Europe,1067,1004,1868,341,1.75,189
7,Italy,Western Europe,1000,919,1341,379,1.34,170
8,Canada,Northern America,925,849,1152,156,1.25,219
9,Iran,Middle East,737,719,917,288,1.24,106
10,Brazil,Latin America,649,606,841,190,1.3,106
11,Australia,Pacific Region,614,582,1066,180,1.74,157
12,Spain,Western Europe,581,516,628,139,1.08,162
13,Netherlands,Western Europe,526,481,605,95,1.15,198
14,Hong Kong,Asiatic Region,504,486,894,132,1.77,184
15,Turkey,Middle East,469,426,713,124,1.52,126
16,Taiwan,Asiatic Region,390,380,747,175,1.92,166
17,South Korea,Asiatic Region,386,372,568,143,1.47,121
18,Indonesia,Asiatic Region,339,331,300,118,0.88,41
19,Malaysia,Asiatic Region,318,310,704,142,2.21,69
20,Portugal,Western Europe,317,295,345,66,1.09,109
21,Japan,Asiatic Region,314,290,302,59,0.96,111
22,Viet Nam,Asiatic Region,304,294,286,77,0.94,50
23,Singapore,Asiatic Region,265,249,370,54,1.4,142
24,Morocco,Africa,256,251,164,24,0.64,35
25,Belgium,Western Europe,245,228,295,47,1.2,152
26,Poland,Eastern Europe,235,225,328,70,1.4,83
27,Sweden,Western Europe,229,213,303,59,1.32,128
28,Greece,Western Europe,227,217,393,58,1.73,116
29,Thailand,Asiatic Region,226,220,108,35,0.48,61
30,Saudi Arabia,Middle East,225,221,363,80,1.61,72
31,Pakistan,Asiatic Region,224,219,641,202,2.86,49
32,Norway,Western Europe,202,192,367,49,1.82,96
33,Austria,Western Europe,198,167,218,28,1.1,100
34,Russian Federation,Eastern Europe,197,160,237,45,1.2,58
35,United Arab Emirates,Middle East,193,187,486,156,2.52,63
36,Denmark,Western Europe,189,180,300,40,1.59,126
37,Switzerland,Western Europe,187,163,272,42,1.45,131
38,Israel,Middle East,177,158,126,15,0.71,114
39,South Africa,Africa,171,162,232,73,1.36,55
40,Chile,Latin America,148,142,148,19,1.0,83
41,Jordan,Middle East,143,140,220,98,1.54,29
42,Finland,Western Europe,135,115,182,24,1.35,108
43,Egypt,Africa/Middle East,121,113,170,53,1.4,49
44,Colombia,Latin America,111,107,84,15,0.76,51
45,Czech Republic,Eastern Europe,108,98,125,29,1.16,43
46,Mexico,Latin America,101,97,141,25,1.4,65
47,New Zealand,Pacific Region,98,93,165,24,1.68,82
48,Nigeria,Africa,95,84,131,33,1.38,29
49,Tunisia,Africa,92,84,90,19,0.98,50
50,Hungary,Eastern Europe,92,87,95,22,1.03,52
51,Bangladesh,Asiatic Region,81,79,187,29,2.31,37
52,Ireland,Western Europe,80,79,144,21,1.8,72
53,Croatia,Eastern Europe,74,73,27,2,0.36,25
54,Ghana,Africa,61,60,48,10,0.79,23
55,Algeria,Africa,59,58,29,9,0.49,28
56,Lithuania,Eastern Europe,55,35,57,12,1.04,25
57,Iraq,Middle East,51,51,44,11,0.86,18
58,Serbia,Eastern Europe,50,50,100,27,2.0,43
59,Oman,Middle East,46,40,47,10,1.02,31
60,Argentina,Latin America,46,44,38,10,0.83,36
61,Peru,Latin America,45,34,34,6,0.76,24
62,Qatar,Middle East,44,44,80,6,1.82,39
63,Slovenia,Eastern Europe,43,27,40,5,0.93,39
64,Luxembourg,Western Europe,43,18,19,2,0.44,37
65,Ukraine,Eastern Europe,43,41,24,15,0.56,30
66,Romania,Eastern Europe,42,38,36,9,0.86,43
67,Philippines,Asiatic Region,40,39,29,6,0.73,20
68,Macao,Asiatic Region,40,39,58,6,1.45,30
69,Lebanon,Middle East,38,38,99,14,2.61,38
70,Slovakia,Eastern Europe,35,34,22,11,0.63,26
