Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1907,1813,62582,28051,32.82,380
2,China,Asiatic Region,667,663,8870,5230,13.3,115
3,United Kingdom,Western Europe,566,539,19879,5197,35.12,213
4,France,Western Europe,464,458,15818,3563,34.09,158
5,Canada,Northern America,409,398,11862,1947,29.0,152
6,Germany,Western Europe,376,364,9173,2058,24.4,156
7,Italy,Western Europe,328,321,7028,2136,21.43,105
8,Spain,Western Europe,229,220,4168,994,18.2,103
9,Australia,Pacific Region,199,192,4011,796,20.16,128
10,Netherlands,Western Europe,161,154,3521,418,21.87,122
11,India,Asiatic Region,159,157,1877,592,11.81,81
12,Japan,Asiatic Region,159,158,2424,547,15.25,73
13,Taiwan,Asiatic Region,139,137,1874,408,13.48,74
14,Switzerland,Western Europe,133,129,3692,518,27.76,119
15,Belgium,Western Europe,117,111,2815,407,24.06,100
16,Russian Federation,Eastern Europe,96,92,912,310,9.5,61
17,Hong Kong,Asiatic Region,95,93,1750,220,18.42,88
18,South Korea,Asiatic Region,88,88,1435,337,16.31,62
19,Greece,Western Europe,87,84,1247,226,14.33,55
20,Israel,Middle East,80,77,2922,247,36.53,84
21,Poland,Eastern Europe,79,74,635,248,8.04,56
22,Brazil,Latin America,77,77,1609,540,20.9,73
23,Austria,Western Europe,76,75,2377,236,31.28,82
24,Sweden,Western Europe,71,71,1390,185,19.58,82
25,Iran,Middle East,66,65,749,287,11.35,51
26,Turkey,Middle East,50,50,1331,194,26.62,57
27,Singapore,Asiatic Region,45,45,1498,139,33.29,70
28,Croatia,Eastern Europe,45,45,17,11,0.38,22
29,Norway,Western Europe,39,39,4915,365,126.03,75
30,Denmark,Western Europe,38,37,1640,133,43.16,85
31,Mexico,Latin America,35,34,491,94,14.03,40
32,Ukraine,Eastern Europe,35,34,321,75,9.17,29
33,New Zealand,Pacific Region,34,33,499,87,14.68,59
34,Portugal,Western Europe,32,31,742,100,23.19,53
35,Hungary,Eastern Europe,31,30,408,77,13.16,41
36,Finland,Western Europe,29,29,392,85,13.52,58
37,Czech Republic,Eastern Europe,29,29,223,32,7.69,37
38,Chile,Latin America,28,28,610,191,21.79,45
39,South Africa,Africa,26,26,193,63,7.42,36
40,Argentina,Latin America,25,25,540,69,21.6,41
41,Romania,Eastern Europe,23,23,229,53,9.96,29
42,Ireland,Western Europe,22,21,177,36,8.05,41
43,Colombia,Latin America,22,22,92,27,4.18,25
44,Algeria,Africa,18,18,169,75,9.39,24
45,Cyprus,Western Europe,18,18,489,53,27.17,35
46,Egypt,Africa/Middle East,16,16,308,75,19.25,39
47,Lithuania,Eastern Europe,14,14,206,65,14.71,27
48,Jordan,Middle East,11,11,296,50,26.91,27
49,Kuwait,Middle East,10,10,163,22,16.3,21
50,Slovenia,Eastern Europe,10,10,162,31,16.2,23
51,Serbia,Eastern Europe,9,9,324,45,36.0,22
52,Pakistan,Asiatic Region,9,9,326,151,36.22,38
53,Philippines,Asiatic Region,9,9,57,9,6.33,13
54,Malaysia,Asiatic Region,8,8,183,67,22.88,37
55,Slovakia,Eastern Europe,8,8,119,10,14.88,23
56,Tunisia,Africa,8,8,85,30,10.63,19
57,Saudi Arabia,Middle East,7,7,158,23,22.57,41
58,Thailand,Asiatic Region,7,7,106,12,15.14,20
59,Morocco,Africa,7,7,36,10,5.14,23
60,United Arab Emirates,Middle East,6,6,133,2,22.17,23
61,Uruguay,Latin America,6,6,124,20,20.67,18
62,Cameroon,Africa,5,5,17,3,3.4,10
63,Estonia,Eastern Europe,5,4,41,7,8.2,21
64,Bosnia and Herzegovina,Eastern Europe,5,5,1,1,0.2,4
65,Bulgaria,Eastern Europe,5,5,44,8,8.8,17
66,Nigeria,Africa,5,5,29,21,5.8,19
67,Indonesia,Asiatic Region,5,5,703,37,140.6,19
68,Oman,Middle East,4,4,22,6,5.5,13
69,Cuba,Latin America,4,4,37,7,9.25,14
70,Uzbekistan,Asiatic Region,4,4,26,18,6.5,10
71,Venezuela,Latin America,4,4,29,2,7.25,23
72,Mauritius,Africa,3,3,9,4,3.0,8
73,Iceland,Western Europe,3,3,49,8,16.33,17
74,Iraq,Middle East,3,3,7,2,2.33,15
75,Côte d’Ivoire,Africa,3,3,32,7,10.67,7
76,Armenia,Eastern Europe,3,3,52,4,17.33,8
77,Senegal,Africa,2,2,3,2,1.5,9
78,Belarus,Eastern Europe,2,2,11,8,5.5,15
79,Bangladesh,Asiatic Region,2,2,6,3,3.0,19
80,Botswana,Africa,2,2,17,0,8.5,11
81,Macedonia,Eastern Europe,2,2,6,0,3.0,4
82,Sri Lanka,Asiatic Region,2,2,31,1,15.5,11
83,Latvia,Eastern Europe,2,2,9,0,4.5,6
84,Luxembourg,Western Europe,2,2,121,0,60.5,23
85,Viet Nam,Asiatic Region,2,2,11,10,5.5,21
