Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3202,3178,156581,56472,48.9,641
2,United Kingdom,Western Europe,861,855,44329,8267,51.49,376
3,Canada,Northern America,490,488,26230,2781,53.53,302
4,Germany,Western Europe,475,473,13789,2168,29.03,265
5,France,Western Europe,386,385,10304,2400,26.69,247
6,Australia,Pacific Region,281,280,9352,1072,33.28,237
7,Netherlands,Western Europe,267,266,14694,1724,55.03,258
8,India,Asiatic Region,237,234,5680,1470,23.97,183
9,Japan,Asiatic Region,231,231,4013,832,17.37,146
10,Italy,Western Europe,196,195,8195,1129,41.81,211
11,Spain,Western Europe,190,189,6924,1122,36.44,213
12,Taiwan,Asiatic Region,189,188,5578,1234,29.51,196
13,Hong Kong,Asiatic Region,163,163,6367,678,39.06,233
14,South Korea,Asiatic Region,149,149,4402,423,29.54,163
15,China,Asiatic Region,149,149,3771,1316,25.31,270
16,Belgium,Western Europe,145,143,4076,536,28.11,184
17,Israel,Middle East,133,133,6192,457,46.56,147
18,Sweden,Western Europe,119,118,3084,405,25.92,164
19,Russian Federation,Eastern Europe,95,95,1324,277,13.94,83
20,Brazil,Latin America,78,78,1444,380,18.51,128
21,Poland,Eastern Europe,77,77,3821,455,49.62,110
22,Singapore,Asiatic Region,76,76,3136,264,41.26,191
23,Switzerland,Western Europe,74,71,2766,187,37.38,177
24,Finland,Western Europe,73,71,2704,362,37.04,161
25,New Zealand,Pacific Region,64,64,1221,81,19.08,125
26,Denmark,Western Europe,63,63,2589,227,41.1,164
27,Norway,Western Europe,62,61,2054,202,33.13,141
28,Greece,Western Europe,60,60,2142,230,35.7,134
29,Turkey,Middle East,52,52,1941,323,37.33,148
30,Austria,Western Europe,50,50,1074,145,21.48,141
31,Hungary,Eastern Europe,45,45,427,102,9.49,71
32,South Africa,Africa,39,39,610,83,15.64,82
33,Portugal,Western Europe,35,35,973,159,27.8,134
34,Mexico,Latin America,29,29,392,41,13.52,91
35,Ireland,Western Europe,25,25,1050,125,42.0,105
36,Saudi Arabia,Middle East,25,25,620,54,24.8,104
37,Czech Republic,Eastern Europe,22,22,229,64,10.41,66
38,Chile,Latin America,20,20,577,77,28.85,93
39,Belarus,Eastern Europe,20,20,742,76,37.1,43
40,Iran,Middle East,17,17,1102,169,64.82,124
41,Ukraine,Eastern Europe,12,12,153,16,12.75,43
42,Croatia,Eastern Europe,11,11,277,11,25.18,37
43,Thailand,Asiatic Region,11,11,139,21,12.64,68
44,Romania,Eastern Europe,11,11,106,28,9.64,59
45,Egypt,Africa/Middle East,10,10,304,15,30.4,66
46,Malaysia,Asiatic Region,8,8,99,6,12.38,104
47,Venezuela,Latin America,8,8,49,14,6.13,35
48,Slovakia,Eastern Europe,8,8,100,10,12.5,45
49,Lithuania,Eastern Europe,7,7,56,17,8.0,37
50,Jordan,Middle East,7,7,146,11,20.86,61
51,Bulgaria,Eastern Europe,7,7,66,8,9.43,32
52,Kuwait,Middle East,6,6,137,24,22.83,57
53,Viet Nam,Asiatic Region,6,6,92,12,15.33,62
54,Argentina,Latin America,6,6,61,11,10.17,61
55,Cyprus,Western Europe,6,6,94,7,15.67,56
56,Algeria,Africa,5,5,108,24,21.6,41
57,Uzbekistan,Asiatic Region,5,5,13,7,2.6,18
58,Nigeria,Africa,5,5,32,3,6.4,42
59,Pakistan,Asiatic Region,4,4,47,2,11.75,74
60,Tunisia,Africa,4,4,37,5,9.25,55
61,Bangladesh,Asiatic Region,4,4,17,3,4.25,50
62,Morocco,Africa,4,4,109,7,27.25,47
63,Lebanon,Middle East,3,3,9,1,3.0,47
64,Syrian Arab Republic,Middle East,3,3,48,1,16.0,16
65,United Arab Emirates,Middle East,3,3,236,3,78.67,75
66,Moldova,Eastern Europe,3,3,57,6,19.0,10
67,Puerto Rico,Latin America,2,2,2,0,1.0,19
68,Armenia,Eastern Europe,2,2,28,1,14.0,13
69,Colombia,Latin America,2,2,5,2,2.5,59
70,Estonia,Eastern Europe,2,2,13,5,6.5,45
71,Georgia,Eastern Europe,2,2,52,4,26.0,18
72,Indonesia,Asiatic Region,2,2,711,10,355.5,55
73,Kenya,Africa,2,2,55,0,27.5,28
74,Sri Lanka,Asiatic Region,2,2,48,0,24.0,28
75,Oman,Middle East,2,2,32,3,16.0,43
76,Tanzania,Africa,2,2,81,1,40.5,18
77,Rwanda,Africa,1,1,24,0,24.0,7
78,Papua New Guinea,Pacific Region,1,1,59,0,59.0,10
79,Mauritius,Africa,1,1,2,0,2.0,13
80,Malta,Western Europe,1,1,0,0,0.0,15
81,Slovenia,Eastern Europe,1,1,39,0,39.0,60
82,Libya,Africa,1,1,2,0,2.0,12
83,Luxembourg,Western Europe,1,1,3,0,3.0,45
84,Kazakhstan,Asiatic Region,1,1,6,0,6.0,24
85,Jamaica,Latin America,1,1,11,1,11.0,16
86,Iceland,Western Europe,1,1,2,0,2.0,36
87,Ghana,Africa,1,1,9,1,9.0,34
88,Zimbabwe,Africa,1,1,1,0,1.0,13
89,Gabon,Africa,1,1,33,4,33.0,6
90,Uganda,Africa,1,1,3,1,3.0,18
91,Ethiopia,Africa,1,1,3,0,3.0,22
92,Uruguay,Latin America,1,1,20,0,20.0,29
93,Cuba,Latin America,1,1,2,0,2.0,27
94,Botswana,Africa,1,1,0,0,0.0,20
95,Brunei Darussalam,Asiatic Region,1,1,23,0,23.0,21
96,Azerbaijan,Eastern Europe,1,1,10,5,10.0,19
97,Philippines,Asiatic Region,1,1,8,0,8.0,33
