Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3939,3826,242092,84191,61.46,641
2,United Kingdom,Western Europe,1230,1193,59275,11879,48.19,376
3,Germany,Western Europe,705,703,28812,4484,40.87,265
4,France,Western Europe,628,624,27473,5138,43.75,247
5,Canada,Northern America,577,563,37569,3832,65.11,302
6,Italy,Western Europe,481,479,13370,2626,27.8,211
7,Australia,Pacific Region,442,431,33107,3066,74.9,237
8,China,Asiatic Region,399,399,18835,7491,47.21,270
9,Netherlands,Western Europe,397,390,18550,2460,46.73,258
10,Taiwan,Asiatic Region,357,356,18760,3347,52.55,196
11,Spain,Western Europe,353,348,14288,2467,40.48,213
12,Japan,Asiatic Region,322,319,6358,1198,19.75,146
13,India,Asiatic Region,262,258,6313,1677,24.1,183
14,Hong Kong,Asiatic Region,260,259,17176,1477,66.06,233
15,South Korea,Asiatic Region,214,212,14920,807,69.72,163
16,Singapore,Asiatic Region,204,204,8321,462,40.79,191
17,Sweden,Western Europe,189,186,5687,723,30.09,164
18,Israel,Middle East,181,181,5579,668,30.82,147
19,Belgium,Western Europe,179,178,9927,922,55.46,184
20,Greece,Western Europe,172,170,5704,581,33.16,134
21,Switzerland,Western Europe,165,163,4848,420,29.38,177
22,Brazil,Latin America,146,143,4762,841,32.62,128
23,Denmark,Western Europe,122,119,6111,401,50.09,164
24,Russian Federation,Eastern Europe,121,121,1469,591,12.14,83
25,Poland,Eastern Europe,113,112,2654,508,23.49,110
26,Austria,Western Europe,99,98,6117,512,61.79,141
27,Portugal,Western Europe,98,94,3105,565,31.68,134
28,Turkey,Middle East,97,97,5797,953,59.76,148
29,Finland,Western Europe,97,95,4435,420,45.72,161
30,New Zealand,Pacific Region,91,89,3087,202,33.92,125
31,Norway,Western Europe,88,86,3276,358,37.23,141
32,South Africa,Africa,67,67,1719,181,25.66,82
33,Hungary,Eastern Europe,65,65,1066,131,16.4,71
34,Ukraine,Eastern Europe,57,57,490,170,8.6,43
35,Mexico,Latin America,47,45,1576,226,33.53,91
36,Ireland,Western Europe,39,38,744,57,19.08,105
37,Iran,Middle East,37,36,1183,247,31.97,124
38,Chile,Latin America,32,32,1544,174,48.25,93
39,Thailand,Asiatic Region,29,28,524,51,18.07,68
40,Egypt,Africa/Middle East,27,27,849,98,31.44,66
41,Malaysia,Asiatic Region,25,25,481,67,19.24,104
42,Czech Republic,Eastern Europe,25,25,538,90,21.52,66
43,Saudi Arabia,Middle East,23,23,2192,119,95.3,104
44,Kuwait,Middle East,22,21,584,51,26.55,57
45,Slovenia,Eastern Europe,22,22,310,73,14.09,60
46,Jordan,Middle East,20,20,190,30,9.5,61
47,Lithuania,Eastern Europe,19,18,649,154,34.16,37
48,Argentina,Latin America,19,18,367,44,19.32,61
49,Romania,Eastern Europe,18,18,295,50,16.39,59
50,Cyprus,Western Europe,18,18,419,35,23.28,56
51,Tunisia,Africa,16,16,410,51,25.63,55
52,Viet Nam,Asiatic Region,15,15,288,95,19.2,62
53,Bulgaria,Eastern Europe,13,13,154,23,11.85,32
54,Morocco,Africa,12,12,200,35,16.67,47
55,Belarus,Eastern Europe,12,12,312,65,26.0,43
56,Serbia,Eastern Europe,12,12,3014,94,251.17,55
57,Venezuela,Latin America,12,12,385,15,32.08,35
58,Oman,Middle East,10,10,133,4,13.3,43
59,Slovakia,Eastern Europe,10,10,233,27,23.3,45
60,Macao,Asiatic Region,9,9,216,2,24.0,53
61,United Arab Emirates,Middle East,9,9,657,13,73.0,75
62,Algeria,Africa,9,9,77,28,8.56,41
63,Nigeria,Africa,8,8,141,37,17.63,42
64,Lebanon,Middle East,8,8,265,14,33.13,47
65,Croatia,Eastern Europe,6,6,104,16,17.33,37
66,Indonesia,Asiatic Region,5,5,191,21,38.2,55
67,Colombia,Latin America,5,5,55,15,11.0,59
68,Estonia,Eastern Europe,5,5,45,16,9.0,45
69,Qatar,Middle East,5,4,111,6,22.2,61
70,Luxembourg,Western Europe,4,4,43,5,10.75,45
71,Malta,Western Europe,4,3,4,2,1.0,15
72,Iceland,Western Europe,4,4,49,4,12.25,36
73,Trinidad and Tobago,Latin America,4,4,27,1,6.75,16
74,Cuba,Latin America,3,3,45,2,15.0,27
75,Georgia,Eastern Europe,3,3,31,6,10.33,18
76,Fiji,Pacific Region,3,3,146,1,48.67,21
77,Costa Rica,Latin America,3,3,152,3,50.67,21
78,Armenia,Eastern Europe,3,3,19,12,6.33,13
79,Philippines,Asiatic Region,2,2,130,2,65.0,33
80,Peru,Latin America,2,2,7,0,3.5,29
81,Barbados,Latin America,2,2,34,1,17.0,9
82,Botswana,Africa,2,2,20,1,10.0,20
83,Zimbabwe,Africa,2,2,75,0,37.5,13
84,Montenegro,Eastern Europe,2,2,16,3,8.0,15
85,Uzbekistan,Asiatic Region,2,2,44,37,22.0,18
86,Bahrain,Middle East,1,1,29,1,29.0,26
87,Moldova,Eastern Europe,1,1,0,0,0.0,10
88,Libya,Africa,1,1,1,0,1.0,12
89,Greenland,Western Europe,1,1,36,0,36.0,3
90,Burkina Faso,Africa,1,1,1,0,1.0,8
91,Tanzania,Africa,1,1,3,0,3.0,18
92,Uganda,Africa,1,0,0,0,0.0,18
93,Azerbaijan,Eastern Europe,1,1,1,0,1.0,19
94,Uruguay,Latin America,1,1,12,0,12.0,29
95,Vatican City State,Western Europe,1,1,7,0,7.0,2
96,Liechtenstein,Western Europe,1,1,1,0,1.0,25
97,Virgin Islands (U.S.),Latin America,1,1,4,0,4.0,2
98,Cambodia,Asiatic Region,1,1,1,0,1.0,9
99,Yemen,Middle East,1,1,7,0,7.0,18
100,Pakistan,Asiatic Region,1,1,13,7,13.0,74
101,Palestine,Middle East,1,1,22,4,22.0,22
102,Puerto Rico,Latin America,1,1,79,3,79.0,19
103,Ethiopia,Africa,1,1,1,0,1.0,22
104,Ghana,Africa,1,1,0,0,0.0,34
105,Malawi,Africa,1,1,2,0,2.0,8
106,Macedonia,Eastern Europe,1,1,7,4,7.0,14
107,Bolivia,Latin America,1,1,342,0,342.0,8
108,El Salvador,Latin America,1,1,0,0,0.0,5
