Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1750,1614,16336,4279,9.33,255
2,Brazil,Latin America,1673,1642,13122,4640,7.84,158
3,India,Asiatic Region,1330,1261,7925,3821,5.96,102
4,United Kingdom,Western Europe,1040,772,7646,1764,7.35,182
5,China,Asiatic Region,678,668,7211,2935,10.64,117
6,Japan,Asiatic Region,677,661,4721,1330,6.97,150
7,Saudi Arabia,Middle East,567,543,3816,927,6.73,69
8,Germany,Western Europe,480,466,6230,1367,12.98,152
9,Iran,Middle East,456,451,2481,532,5.44,79
10,Turkey,Middle East,442,434,3016,568,6.82,93
11,Italy,Western Europe,432,411,5528,1850,12.8,138
12,Indonesia,Asiatic Region,399,399,1254,694,3.14,30
13,Australia,Pacific Region,295,280,2826,472,9.58,129
14,Spain,Western Europe,270,267,3549,645,13.14,100
15,Canada,Northern America,261,234,2417,269,9.26,133
16,Switzerland,Western Europe,242,235,3546,498,14.65,135
17,South Korea,Asiatic Region,226,223,2241,384,9.92,93
18,Sweden,Western Europe,189,185,2277,337,12.05,140
19,Malaysia,Asiatic Region,179,170,1074,203,6.0,51
20,Russian Federation,Eastern Europe,172,172,729,125,4.24,24
21,Egypt,Africa/Middle East,167,164,1345,180,8.05,59
22,Thailand,Asiatic Region,160,156,1044,154,6.53,71
23,Netherlands,Western Europe,159,150,2229,325,14.02,134
24,France,Western Europe,143,138,1273,182,8.9,99
25,Poland,Eastern Europe,138,138,586,158,4.25,44
26,Hong Kong,Asiatic Region,105,103,1629,163,15.51,103
27,Denmark,Western Europe,103,99,1972,183,19.15,106
28,Chile,Latin America,103,98,983,98,9.54,56
29,Belgium,Western Europe,93,92,1270,163,13.66,112
30,Taiwan,Asiatic Region,92,79,623,138,6.77,66
31,Finland,Western Europe,92,88,889,145,9.66,111
32,Greece,Western Europe,90,84,921,77,10.23,80
33,Norway,Western Europe,88,83,1196,101,13.59,96
34,Portugal,Western Europe,81,79,1047,100,12.93,52
35,Pakistan,Asiatic Region,80,75,358,50,4.48,36
36,Mexico,Latin America,79,77,388,42,4.91,49
37,Romania,Eastern Europe,71,70,297,44,4.18,28
38,Iraq,Middle East,71,71,293,52,4.13,25
39,Israel,Middle East,69,63,424,40,6.14,84
40,Colombia,Latin America,66,66,550,55,8.33,48
41,Peru,Latin America,66,63,278,93,4.21,25
42,United Arab Emirates,Middle East,63,63,381,26,6.05,35
43,Ireland,Western Europe,63,58,1209,135,19.19,67
44,Jordan,Middle East,62,61,568,40,9.16,60
45,New Zealand,Pacific Region,58,54,561,68,9.67,80
46,Austria,Western Europe,58,56,468,51,8.07,57
47,Croatia,Eastern Europe,55,55,366,96,6.65,42
48,Singapore,Asiatic Region,42,41,492,56,11.71,58
49,Serbia,Eastern Europe,42,42,229,43,5.45,37
50,Lebanon,Middle East,42,42,326,19,7.76,38
51,Cuba,Latin America,37,33,35,16,0.95,11
52,Syrian Arab Republic,Middle East,33,33,158,24,4.79,29
53,South Africa,Africa,28,28,194,31,6.93,48
54,Nigeria,Africa,26,23,151,21,5.81,35
55,Hungary,Eastern Europe,24,24,267,52,11.13,40
56,Kuwait,Middle East,24,24,191,6,7.96,44
57,Ecuador,Latin America,23,23,162,14,7.04,13
58,Viet Nam,Asiatic Region,18,18,74,16,4.11,16
59,Yemen,Middle East,18,18,85,6,4.72,20
60,Argentina,Latin America,18,18,108,7,6.0,42
61,Nepal,Asiatic Region,17,17,69,9,4.06,18
62,Costa Rica,Latin America,17,16,59,8,3.47,17
63,Ukraine,Eastern Europe,15,15,58,16,3.87,10
64,Qatar,Middle East,15,14,161,17,10.73,17
65,Tunisia,Africa,14,14,71,8,5.07,13
66,Lithuania,Eastern Europe,12,12,112,17,9.33,34
67,Morocco,Africa,12,12,48,6,4.0,17
68,Albania,Eastern Europe,12,12,138,17,11.5,20
69,Slovenia,Eastern Europe,11,11,152,12,13.82,31
70,Czech Republic,Eastern Europe,10,10,53,12,5.3,33
71,Bosnia and Herzegovina,Eastern Europe,10,10,90,4,9.0,16
72,Sri Lanka,Asiatic Region,10,10,77,12,7.7,34
73,Libya,Africa,10,10,80,5,8.0,25
74,Paraguay,Latin America,9,9,11,1,1.22,12
75,Uruguay,Latin America,9,8,72,4,8.0,19
76,Tanzania,Africa,8,8,18,1,2.25,27
77,Bulgaria,Eastern Europe,8,8,245,12,30.63,16
78,Slovakia,Eastern Europe,7,7,22,2,3.14,11
79,Venezuela,Latin America,7,7,23,4,3.29,23
80,Macedonia,Eastern Europe,6,6,8,0,1.33,12
81,Jamaica,Latin America,6,4,27,7,4.5,12
82,Cyprus,Western Europe,6,6,78,1,13.0,14
83,Estonia,Eastern Europe,6,6,60,11,10.0,19
84,Sudan,Africa,6,6,24,2,4.0,21
85,Trinidad and Tobago,Latin America,5,4,29,1,5.8,19
86,Georgia,Eastern Europe,5,5,24,0,4.8,9
87,Azerbaijan,Eastern Europe,5,5,18,1,3.6,3
88,Bangladesh,Asiatic Region,5,5,16,2,3.2,11
89,Dominican Republic,Latin America,4,4,14,2,3.5,9
90,Ethiopia,Africa,4,4,28,3,7.0,14
91,Côte d’Ivoire,Africa,4,4,5,0,1.25,7
92,Philippines,Asiatic Region,4,4,16,0,4.0,17
93,Malta,Western Europe,3,3,8,1,2.67,42
94,Moldova,Eastern Europe,3,3,2,1,0.67,8
95,Cambodia,Asiatic Region,3,3,15,6,5.0,10
96,Bahrain,Middle East,3,3,26,0,8.67,11
97,Ghana,Africa,3,3,17,2,5.67,11
98,Palestine,Middle East,3,3,6,0,2.0,13
99,Burkina Faso,Africa,2,2,3,0,1.5,3
100,Myanmar,Asiatic Region,2,2,4,0,2.0,6
101,Uganda,Africa,2,2,12,4,6.0,19
102,Liechtenstein,Western Europe,2,2,39,0,19.5,40
103,Latvia,Eastern Europe,2,2,7,1,3.5,15
104,Kenya,Africa,2,1,10,4,5.0,15
105,Zambia,Africa,1,1,2,0,2.0,2
106,Armenia,Eastern Europe,1,1,4,0,4.0,4
107,Bolivia,Latin America,1,1,0,0,0.0,4
108,Belarus,Eastern Europe,1,1,6,1,6.0,7
109,Belize,Latin America,1,1,20,0,20.0,5
110,Democratic Republic Congo,Africa,1,1,11,0,11.0,2
111,Congo,Africa,1,1,0,0,0.0,3
112,Algeria,Africa,1,1,1,1,1.0,6
113,Fiji,Pacific Region,1,1,6,0,6.0,8
114,Faroe Islands,Western Europe,1,1,3,0,3.0,1
115,Grenada,Latin America,1,1,1,0,1.0,1
116,Guatemala,Latin America,1,1,6,1,6.0,21
117,Guyana,Latin America,1,1,2,1,2.0,2
118,Iceland,Western Europe,1,1,13,0,13.0,32
119,Kazakhstan,Asiatic Region,1,1,2,0,2.0,4
120,Laos,Asiatic Region,1,1,0,0,0.0,4
121,Montenegro,Eastern Europe,1,1,4,0,4.0,2
122,Madagascar,Africa,1,1,0,0,0.0,3
123,Mali,Africa,1,1,11,0,11.0,2
124,Mongolia,Asiatic Region,1,1,7,0,7.0,6
125,Malawi,Africa,1,1,6,0,6.0,4
126,Namibia,Africa,1,1,5,0,5.0,3
127,Oman,Middle East,1,1,13,1,13.0,11
128,Puerto Rico,Latin America,1,1,7,1,7.0,29
129,Senegal,Africa,1,1,1,0,1.0,13
130,Swaziland,Africa,1,1,1,0,1.0,1
131,Togo,Africa,1,1,3,0,3.0,2
132,Uzbekistan,Asiatic Region,1,1,4,2,4.0,4
