Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,195,166,6267,1453,32.14,128
2,Germany,Western Europe,74,68,1780,380,24.05,72
3,United Kingdom,Western Europe,68,66,2538,370,37.32,77
4,Brazil,Latin America,48,46,1570,507,32.71,71
5,Japan,Asiatic Region,43,43,1569,407,36.49,68
6,Turkey,Middle East,43,43,1813,300,42.16,64
7,Italy,Western Europe,34,34,1157,214,34.03,72
8,Greece,Western Europe,27,25,941,103,34.85,49
9,South Korea,Asiatic Region,18,18,789,148,43.83,65
10,Netherlands,Western Europe,17,17,915,48,53.82,56
11,Canada,Northern America,15,14,617,44,41.13,58
12,France,Western Europe,12,12,124,14,10.33,28
13,Israel,Middle East,12,12,287,28,23.92,39
14,Finland,Western Europe,12,12,519,78,43.25,38
15,Sweden,Western Europe,12,11,352,43,29.33,60
16,Belgium,Western Europe,12,11,492,8,41.0,47
17,Switzerland,Western Europe,11,9,315,23,28.64,51
18,Denmark,Western Europe,11,11,381,35,34.64,49
19,Taiwan,Asiatic Region,10,10,648,32,64.8,37
20,Norway,Western Europe,9,6,344,6,38.22,46
21,Austria,Western Europe,9,9,164,11,18.22,23
22,Hong Kong,Asiatic Region,8,8,299,45,37.38,42
23,Australia,Pacific Region,7,6,230,50,32.86,44
24,Peru,Latin America,6,6,285,19,47.5,19
25,India,Asiatic Region,6,5,229,61,38.17,47
26,China,Asiatic Region,4,4,66,11,16.5,47
27,Lebanon,Middle East,3,2,24,1,8.0,13
28,Tanzania,Africa,3,3,70,9,23.33,5
29,Singapore,Asiatic Region,3,3,75,2,25.0,20
30,Jordan,Middle East,3,3,132,11,44.0,27
31,Mexico,Latin America,2,2,28,0,14.0,16
32,Egypt,Africa/Middle East,2,2,109,1,54.5,31
33,Ireland,Western Europe,2,2,90,1,45.0,26
34,Iceland,Western Europe,2,2,114,1,57.0,9
35,Syrian Arab Republic,Middle East,2,2,206,4,103.0,16
36,Qatar,Middle East,1,1,28,0,28.0,7
37,Slovenia,Eastern Europe,1,1,18,6,18.0,19
38,South Africa,Africa,1,1,24,0,24.0,17
39,Thailand,Asiatic Region,1,1,53,0,53.0,29
40,Nigeria,Africa,1,1,67,5,67.0,13
41,Kuwait,Middle East,1,1,44,0,44.0,17
42,Hungary,Eastern Europe,1,1,28,1,28.0,8
43,Spain,Western Europe,1,1,42,10,42.0,34
44,Saudi Arabia,Middle East,1,1,81,10,81.0,31
