Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,311,212,3698,919,11.89,128
2,India,Asiatic Region,247,234,2374,867,9.61,47
3,Brazil,Latin America,221,206,2572,824,11.64,71
4,Italy,Western Europe,139,127,1507,624,10.84,72
5,United Kingdom,Western Europe,87,68,1119,306,12.86,77
6,South Korea,Asiatic Region,65,60,926,254,14.25,65
7,Switzerland,Western Europe,56,40,1036,194,18.5,51
8,Germany,Western Europe,55,54,887,197,16.13,72
9,China,Asiatic Region,52,40,718,156,13.81,47
10,Japan,Asiatic Region,51,47,449,98,8.8,68
11,Turkey,Middle East,49,42,556,92,11.35,64
12,Canada,Northern America,39,35,489,53,12.54,58
13,Iran,Middle East,31,27,399,111,12.87,33
14,France,Western Europe,25,25,151,9,6.04,28
15,Greece,Western Europe,22,13,315,38,14.32,49
16,Saudi Arabia,Middle East,21,20,287,15,13.67,31
17,Egypt,Africa/Middle East,19,18,211,20,11.11,31
18,Denmark,Western Europe,15,15,402,43,26.8,49
19,Sweden,Western Europe,15,15,617,61,41.13,60
20,Spain,Western Europe,14,14,132,13,9.43,34
21,Norway,Western Europe,13,12,149,25,11.46,46
22,United Arab Emirates,Middle East,10,10,176,7,17.6,20
23,Belgium,Western Europe,10,9,226,11,22.6,47
24,Netherlands,Western Europe,10,10,142,8,14.2,56
25,Hong Kong,Asiatic Region,9,7,94,5,10.44,42
26,Czech Republic,Eastern Europe,8,8,86,9,10.75,19
27,Australia,Pacific Region,8,6,133,9,16.63,44
28,Israel,Middle East,7,7,200,10,28.57,39
29,Paraguay,Latin America,7,7,113,28,16.14,14
30,Jordan,Middle East,6,6,108,4,18.0,27
31,Thailand,Asiatic Region,5,3,15,2,3.0,29
32,Syrian Arab Republic,Middle East,5,5,76,5,15.2,16
33,Finland,Western Europe,5,5,54,5,10.8,38
34,Poland,Eastern Europe,5,5,84,9,16.8,21
35,Slovenia,Eastern Europe,5,5,124,10,24.8,19
36,Taiwan,Asiatic Region,5,5,137,23,27.4,37
37,Portugal,Western Europe,5,5,55,3,11.0,15
38,Lebanon,Middle East,5,4,30,7,6.0,13
39,Morocco,Africa,4,4,15,0,3.75,12
40,Russian Federation,Eastern Europe,4,4,0,0,0.0,10
41,Liechtenstein,Western Europe,4,3,103,2,25.75,16
42,Malaysia,Asiatic Region,4,4,15,2,3.75,20
43,Peru,Latin America,3,3,53,0,17.67,19
44,Iraq,Middle East,3,3,58,0,19.33,9
45,Nigeria,Africa,3,3,6,0,2.0,13
46,Colombia,Latin America,3,3,95,1,31.67,18
47,Chile,Latin America,3,3,65,4,21.67,13
48,New Zealand,Pacific Region,3,3,83,8,27.67,27
49,Senegal,Africa,3,3,11,1,3.67,7
50,Singapore,Asiatic Region,2,2,15,0,7.5,20
51,Hungary,Eastern Europe,2,2,51,0,25.5,8
52,Guinea,Africa,2,2,1,0,0.5,2
53,Kenya,Africa,2,0,8,2,4.0,5
54,Kuwait,Middle East,2,1,11,0,5.5,17
55,Nepal,Asiatic Region,2,2,37,0,18.5,6
56,Yemen,Middle East,2,2,9,0,4.5,9
57,Sudan,Africa,2,2,10,2,5.0,6
58,Austria,Western Europe,2,2,0,0,0.0,23
59,Albania,Eastern Europe,2,2,54,2,27.0,8
60,Ireland,Western Europe,2,2,20,1,10.0,26
61,Qatar,Middle East,1,1,6,1,6.0,7
62,Puerto Rico,Latin America,1,1,8,0,8.0,7
63,Pakistan,Asiatic Region,1,1,10,2,10.0,12
64,Latvia,Eastern Europe,1,1,16,0,16.0,7
65,Lithuania,Eastern Europe,1,1,3,0,3.0,12
66,Tunisia,Africa,1,1,3,0,3.0,4
67,Argentina,Latin America,1,1,10,0,10.0,8
68,Serbia,Eastern Europe,1,1,4,0,4.0,11
69,Bahrain,Middle East,1,1,27,1,27.0,4
70,Croatia,Eastern Europe,1,1,36,3,36.0,19
71,Viet Nam,Asiatic Region,1,1,22,0,22.0,4
