Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,221,201,11872,3472,53.72,179
2,Japan,Asiatic Region,95,94,3173,686,33.4,94
3,Italy,Western Europe,90,89,5289,1161,58.77,110
4,Brazil,Latin America,89,89,3612,962,40.58,95
5,Germany,Western Europe,67,67,5031,809,75.09,109
6,United Kingdom,Western Europe,47,46,3295,465,70.11,117
7,Switzerland,Western Europe,40,40,4215,532,105.38,111
8,Turkey,Middle East,38,37,1380,197,36.32,63
9,Netherlands,Western Europe,35,34,2596,171,74.17,81
10,Sweden,Western Europe,34,34,4344,425,127.76,105
11,Spain,Western Europe,26,25,1950,226,75.0,85
12,France,Western Europe,23,23,582,72,25.3,56
13,China,Asiatic Region,19,19,576,163,30.32,59
14,Finland,Western Europe,16,15,636,104,39.75,55
15,Taiwan,Asiatic Region,16,16,591,155,36.94,58
16,South Korea,Asiatic Region,14,14,367,54,26.21,51
17,Denmark,Western Europe,14,14,1021,62,72.93,53
18,Canada,Northern America,13,13,794,62,61.08,57
19,Belgium,Western Europe,13,12,890,92,68.46,77
20,Israel,Middle East,13,12,390,38,30.0,67
21,Norway,Western Europe,10,10,272,54,27.2,50
22,India,Asiatic Region,9,9,216,45,24.0,60
23,Hong Kong,Asiatic Region,9,9,1616,33,179.56,57
24,New Zealand,Pacific Region,8,7,280,13,35.0,30
25,Australia,Pacific Region,8,8,1112,55,139.0,64
26,Ireland,Western Europe,6,6,948,39,158.0,36
27,Argentina,Latin America,6,6,111,20,18.5,22
28,Chile,Latin America,6,6,500,49,83.33,47
29,Egypt,Africa/Middle East,5,5,141,16,28.2,26
30,Greece,Western Europe,5,5,329,21,65.8,52
31,Jordan,Middle East,5,5,413,3,82.6,24
32,South Africa,Africa,5,5,263,18,52.6,24
33,Iran,Middle East,4,4,85,22,21.25,24
34,Sri Lanka,Asiatic Region,4,4,208,12,52.0,23
35,Poland,Eastern Europe,4,4,80,11,20.0,27
36,Serbia,Eastern Europe,4,4,418,5,104.5,25
37,Singapore,Asiatic Region,4,4,974,14,243.5,23
38,Thailand,Asiatic Region,4,4,121,22,30.25,37
39,Colombia,Latin America,3,3,123,14,41.0,38
40,Iceland,Western Europe,3,3,961,4,320.33,12
41,Hungary,Eastern Europe,3,3,166,8,55.33,32
42,Austria,Western Europe,3,3,84,5,28.0,35
43,Tunisia,Africa,3,3,11,6,3.67,4
44,Russian Federation,Eastern Europe,2,2,189,2,94.5,8
45,Morocco,Africa,2,2,1,0,0.5,7
46,Mexico,Latin America,2,2,154,6,77.0,30
47,United Arab Emirates,Middle East,2,2,152,8,76.0,15
48,Liechtenstein,Western Europe,2,1,50,3,25.0,16
49,Czech Republic,Eastern Europe,2,2,63,3,31.5,15
50,Lithuania,Eastern Europe,2,2,34,5,17.0,9
51,Sudan,Africa,1,1,31,0,31.0,7
52,Malaysia,Asiatic Region,1,1,15,7,15.0,20
53,Croatia,Eastern Europe,1,1,39,1,39.0,21
54,Guatemala,Latin America,1,1,136,2,136.0,11
55,Peru,Latin America,1,1,136,0,136.0,12
56,Portugal,Western Europe,1,1,51,6,51.0,26
57,Saudi Arabia,Middle East,1,1,23,1,23.0,36
58,Madagascar,Africa,1,1,7,1,7.0,2
59,Slovenia,Eastern Europe,1,1,44,0,44.0,9
60,Senegal,Africa,1,1,0,0,0.0,3
61,Yemen,Middle East,1,1,15,0,15.0,8
62,Iraq,Middle East,1,1,13,1,13.0,9
