Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2380,2143,81715,23289,34.33,312
2,Brazil,Latin America,1080,1062,29824,10029,27.61,174
3,United Kingdom,Western Europe,1015,924,29827,5234,29.39,217
4,Japan,Asiatic Region,926,925,21260,4299,22.96,172
5,Germany,Western Europe,685,666,23717,4273,34.62,188
6,Italy,Western Europe,591,578,17245,3484,29.18,181
7,Turkey,Middle East,471,464,11623,1886,24.68,117
8,India,Asiatic Region,303,285,6073,2021,20.04,126
9,Spain,Western Europe,294,280,6539,961,22.24,127
10,Canada,Northern America,288,234,8129,906,28.23,152
11,Netherlands,Western Europe,261,252,12836,1149,49.18,164
12,Sweden,Western Europe,252,247,11876,1494,47.13,196
13,Australia,Pacific Region,231,220,10495,1226,45.43,148
14,Switzerland,Western Europe,225,221,14468,1675,64.3,191
15,China,Asiatic Region,213,212,6373,1348,29.92,126
16,France,Western Europe,184,162,4940,531,26.85,119
17,South Korea,Asiatic Region,162,160,6497,1080,40.1,116
18,Israel,Middle East,145,142,5058,372,34.88,115
19,Greece,Western Europe,145,123,4447,288,30.67,103
20,Finland,Western Europe,128,125,6177,772,48.26,121
21,Taiwan,Asiatic Region,121,121,3791,620,31.33,91
22,Denmark,Western Europe,106,103,5664,566,53.43,131
23,Belgium,Western Europe,99,94,5698,531,57.56,146
24,Iran,Middle East,97,97,2559,392,26.38,82
25,Hong Kong,Asiatic Region,85,84,3108,191,36.56,125
26,Norway,Western Europe,72,69,2492,203,34.61,113
27,Austria,Western Europe,62,61,1788,110,28.84,93
28,Saudi Arabia,Middle East,58,57,1450,102,25.0,77
29,Poland,Eastern Europe,57,54,1250,127,21.93,54
30,Thailand,Asiatic Region,57,56,2551,152,44.75,83
31,New Zealand,Pacific Region,47,44,1350,93,28.72,87
32,Cuba,Latin America,43,43,62,22,1.44,25
33,Ireland,Western Europe,40,39,1535,137,38.38,87
34,Portugal,Western Europe,36,36,1262,82,35.06,62
35,Mexico,Latin America,35,35,984,92,28.11,60
36,Egypt,Africa/Middle East,33,32,1312,84,39.76,74
37,Chile,Latin America,30,30,1228,69,40.93,73
38,Jordan,Middle East,30,29,786,19,26.2,69
39,Singapore,Asiatic Region,30,30,997,56,33.23,69
40,Kuwait,Middle East,25,24,1294,59,51.76,57
41,Colombia,Latin America,25,25,1662,124,66.48,62
42,Morocco,Africa,23,23,111,6,4.83,24
43,South Africa,Africa,23,22,714,51,31.04,58
44,Argentina,Latin America,22,22,518,66,23.55,51
45,Malaysia,Asiatic Region,21,20,830,55,39.52,57
46,Nigeria,Africa,20,20,498,73,24.9,49
47,Tunisia,Africa,18,17,73,3,4.06,15
48,Hungary,Eastern Europe,16,16,573,21,35.81,56
49,Sri Lanka,Asiatic Region,15,14,441,28,29.4,43
50,Serbia,Eastern Europe,15,15,752,30,50.13,49
51,Croatia,Eastern Europe,14,14,236,23,16.86,50
52,Romania,Eastern Europe,14,14,297,18,21.21,33
53,Slovenia,Eastern Europe,12,12,245,25,20.42,44
54,Czech Republic,Eastern Europe,11,11,284,32,25.82,44
55,Puerto Rico,Latin America,11,11,252,12,22.91,35
56,Peru,Latin America,9,9,303,9,33.67,32
57,Venezuela,Latin America,8,8,79,3,9.88,30
58,Guatemala,Latin America,8,8,366,5,45.75,27
59,Lebanon,Middle East,8,8,187,10,23.38,45
60,United Arab Emirates,Middle East,7,6,163,4,23.29,45
61,Lithuania,Eastern Europe,7,7,312,7,44.57,43
62,Liechtenstein,Western Europe,6,5,404,25,67.33,48
63,Indonesia,Asiatic Region,5,5,144,3,28.8,36
64,Zimbabwe,Africa,4,4,81,0,20.25,21
65,Fiji,Pacific Region,4,4,84,1,21.0,9
66,Iraq,Middle East,4,4,42,0,10.5,29
67,Pakistan,Asiatic Region,4,3,232,35,58.0,42
68,Palau,Pacific Region,4,4,4,0,1.0,2
