Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,4513,4421,174250,87110,38.61,544
2,China,Asiatic Region,2234,2217,74089,52567,33.16,269
3,Germany,Western Europe,1309,1272,45374,12778,34.66,318
4,United Kingdom,Western Europe,1205,1173,51259,13548,42.54,346
5,India,Asiatic Region,803,778,18289,9035,22.78,157
6,France,Western Europe,796,788,28851,6959,36.24,278
7,Japan,Asiatic Region,730,724,20794,4685,28.48,231
8,Canada,Northern America,712,704,26723,4972,37.53,266
9,Italy,Western Europe,622,591,23727,5643,38.15,218
10,Australia,Pacific Region,585,571,24030,5419,41.08,233
11,Russian Federation,Eastern Europe,518,515,6990,2725,13.49,139
12,Spain,Western Europe,464,453,17308,4273,37.3,189
13,South Korea,Asiatic Region,398,395,10137,2027,25.47,144
14,Switzerland,Western Europe,364,355,19028,3316,52.27,232
15,Netherlands,Western Europe,360,356,18438,2950,51.22,238
16,Finland,Western Europe,343,342,13646,2821,39.78,173
17,Brazil,Latin America,317,314,7371,2609,23.25,147
18,Sweden,Western Europe,277,271,11186,1728,40.38,190
19,Norway,Western Europe,231,229,9549,1435,41.34,179
20,Taiwan,Asiatic Region,229,227,5369,1146,23.45,115
21,Poland,Eastern Europe,229,221,2343,946,10.23,94
22,Iran,Middle East,179,179,3504,1161,19.58,80
23,Austria,Western Europe,171,164,8470,1242,49.53,161
24,Belgium,Western Europe,156,155,6861,1000,43.98,159
25,Denmark,Western Europe,131,108,4762,685,36.35,148
26,Greece,Western Europe,126,123,5012,986,39.78,141
27,South Africa,Africa,119,118,5813,980,48.85,113
28,Hong Kong,Asiatic Region,117,116,4566,651,39.03,141
29,New Zealand,Pacific Region,108,102,3372,458,31.22,125
30,Turkey,Middle East,99,96,2586,354,26.12,90
31,Mexico,Latin America,86,86,1970,546,22.91,90
32,Czech Republic,Eastern Europe,84,84,3128,439,37.24,95
33,Israel,Middle East,80,76,3376,589,42.2,121
34,Malaysia,Asiatic Region,76,75,2404,722,31.63,80
35,Portugal,Western Europe,75,74,2346,741,31.28,113
36,Argentina,Latin America,75,75,1875,340,25.0,84
37,Saudi Arabia,Middle East,69,69,7608,438,110.26,75
