Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,5182,4980,248710,117819,47.99,525
2,China,Asiatic Region,2436,2424,54800,40730,22.5,301
3,United Kingdom,Western Europe,1453,1362,69348,17831,47.73,359
4,Germany,Western Europe,1363,1330,56829,14806,41.69,310
5,France,Western Europe,1224,1194,54233,14579,44.31,305
6,Japan,Asiatic Region,1086,1075,29967,7902,27.59,233
7,Canada,Northern America,995,945,40152,9042,40.35,267
8,Russian Federation,Eastern Europe,901,895,12035,4947,13.36,158
9,Italy,Western Europe,890,872,32695,11117,36.74,252
10,Australia,Pacific Region,613,585,24068,6936,39.26,266
11,India,Asiatic Region,573,566,12521,6855,21.85,163
12,Spain,Western Europe,408,388,15094,3584,37.0,201
13,Netherlands,Western Europe,388,341,22289,3337,57.45,249
14,Switzerland,Western Europe,372,358,21055,3629,56.6,236
15,Poland,Eastern Europe,289,287,2466,932,8.53,101
16,Brazil,Latin America,285,279,4127,1783,14.48,145
17,Norway,Western Europe,277,268,12400,3291,44.77,180
18,Sweden,Western Europe,260,256,9755,2043,37.52,176
19,Taiwan,Asiatic Region,232,227,6866,1661,29.59,126
20,South Africa,Africa,219,205,4949,1404,22.6,128
21,Finland,Western Europe,212,206,6976,1489,32.91,136
22,Denmark,Western Europe,210,199,7644,1244,36.4,150
23,New Zealand,Pacific Region,200,189,6025,1672,30.13,152
24,Austria,Western Europe,196,193,9586,1342,48.91,170
25,Belgium,Western Europe,195,191,6825,1167,35.0,171
26,South Korea,Asiatic Region,172,172,4474,820,26.01,127
27,Turkey,Middle East,162,159,4427,2152,27.33,114
28,Czech Republic,Eastern Europe,150,146,2765,871,18.43,91
29,Greece,Western Europe,139,135,4240,1054,30.5,121
30,Israel,Middle East,126,113,5440,978,43.17,123
31,Mexico,Latin America,125,123,3460,1036,27.68,98
32,Nigeria,Africa,121,121,927,232,7.66,48
33,Iran,Middle East,104,103,1608,697,15.46,99
34,Malaysia,Asiatic Region,100,99,1469,412,14.69,88
35,Hong Kong,Asiatic Region,89,86,4021,415,45.18,130
36,Ireland,Western Europe,80,76,3468,655,43.35,94
37,Croatia,Eastern Europe,73,73,607,216,8.32,54
38,Slovenia,Eastern Europe,70,68,526,251,7.51,57
39,Hungary,Eastern Europe,70,69,882,185,12.6,74
40,Portugal,Western Europe,69,69,3786,651,54.87,115
41,Argentina,Latin America,67,62,1735,623,25.9,92
42,Algeria,Africa,57,57,506,184,8.88,48
43,Chile,Latin America,53,51,2504,526,47.25,97
44,Iceland,Western Europe,49,44,4000,452,81.63,106
45,Pakistan,Asiatic Region,47,47,373,127,7.94,60
46,Slovakia,Eastern Europe,46,45,1077,215,23.41,59
47,Romania,Eastern Europe,45,45,1219,317,27.09,66
48,Côte d’Ivoire,Africa,44,44,434,78,9.86,25
49,Jordan,Middle East,44,44,592,78,13.45,38
50,Venezuela,Latin America,44,44,151,55,3.43,36
51,Ukraine,Eastern Europe,42,42,672,160,16.0,61
52,Singapore,Asiatic Region,36,36,1430,126,39.72,91
53,Indonesia,Asiatic Region,35,35,1764,478,50.4,83
54,Egypt,Africa/Middle East,35,35,572,153,16.34,68
55,Thailand,Asiatic Region,35,30,532,89,15.2,64
56,Tunisia,Africa,35,35,475,204,13.57,49
57,Estonia,Eastern Europe,29,29,643,232,22.17,56
58,Bulgaria,Eastern Europe,25,25,699,105,27.96,46
59,Lithuania,Eastern Europe,25,25,194,94,7.76,29
60,Morocco,Africa,20,20,451,183,22.55,61
61,Saudi Arabia,Middle East,20,20,225,85,11.25,84
62,United Arab Emirates,Middle East,18,16,632,95,35.11,46
63,Kuwait,Middle East,15,15,96,15,6.4,22
64,Philippines,Asiatic Region,15,14,485,99,32.33,46
65,Peru,Latin America,15,15,396,101,26.4,61
66,Bangladesh,Asiatic Region,15,15,515,102,34.33,54
67,Colombia,Latin America,14,14,234,58,16.71,56
68,Serbia,Eastern Europe,13,12,432,186,33.23,39
69,Georgia,Eastern Europe,13,13,214,84,16.46,30
70,Kenya,Africa,12,11,101,14,8.42,51
71,Cameroon,Africa,12,12,315,144,26.25,34
72,Ghana,Africa,10,10,152,11,15.2,29
73,Niger,Africa,10,10,691,24,69.1,28
74,Sri Lanka,Asiatic Region,10,10,350,19,35.0,38
75,Mongolia,Asiatic Region,10,10,262,61,26.2,42
76,Jamaica,Latin America,9,9,76,17,8.44,20
77,Oman,Middle East,9,8,120,14,13.33,34
78,Tanzania,Africa,9,8,519,35,57.67,32
79,Viet Nam,Asiatic Region,9,9,572,150,63.56,64
80,Kazakhstan,Asiatic Region,9,9,45,12,5.0,27
81,Puerto Rico,Latin America,9,8,255,21,28.33,45
82,New Caledonia,Pacific Region,9,9,336,27,37.33,45
83,Iraq,Middle East,8,8,62,15,7.75,39
84,Cyprus,Western Europe,8,7,156,26,19.5,48
