Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1932,1931,112864,56686,58.42,376
2,United Kingdom,Western Europe,507,507,25086,7366,49.48,263
3,Canada,Northern America,400,400,20113,4923,50.28,213
4,France,Western Europe,397,397,19935,4965,50.21,218
5,Germany,Western Europe,307,307,17241,4867,56.16,234
6,Russian Federation,Eastern Europe,293,293,5060,1682,17.27,116
7,Australia,Pacific Region,279,279,12022,3357,43.09,193
8,Italy,Western Europe,221,221,7145,2852,32.33,174
9,Japan,Asiatic Region,217,217,8016,2219,36.94,160
10,Spain,Western Europe,133,132,6535,2660,49.14,160
11,Netherlands,Western Europe,99,99,6464,874,65.29,178
12,Switzerland,Western Europe,94,94,7255,1181,77.18,178
13,India,Asiatic Region,92,92,2486,1204,27.02,135
14,Sweden,Western Europe,79,79,5103,900,64.59,147
15,New Zealand,Pacific Region,69,69,2024,543,29.33,121
16,China,Asiatic Region,67,67,4311,2846,64.34,236
17,Norway,Western Europe,62,62,4104,844,66.19,143
18,Belgium,Western Europe,54,54,2759,363,51.09,143
19,South Africa,Africa,53,53,1679,513,31.68,97
20,Argentina,Latin America,47,46,1979,1146,42.11,101
21,Israel,Middle East,46,46,2500,508,54.35,103
22,Denmark,Western Europe,44,44,1935,411,43.98,116
23,Finland,Western Europe,41,41,1435,371,35.0,107
24,Taiwan,Asiatic Region,39,39,2155,1383,55.26,99
25,Poland,Eastern Europe,38,38,603,170,15.87,85
26,Austria,Western Europe,37,37,1490,450,40.27,120
27,Brazil,Latin America,33,33,1460,658,44.24,127
28,Mexico,Latin America,33,33,829,358,25.12,85
29,Egypt,Africa/Middle East,28,28,956,297,34.14,61
30,Greece,Western Europe,27,27,1399,206,51.81,93
31,Turkey,Middle East,27,27,635,259,23.52,98
32,Indonesia,Asiatic Region,17,17,740,114,43.53,56
33,Czech Republic,Eastern Europe,17,17,679,226,39.94,73
34,Philippines,Asiatic Region,17,17,340,107,20.0,49
35,Nigeria,Africa,17,17,261,54,15.35,49
36,Ireland,Western Europe,16,16,651,54,40.69,76
37,Saudi Arabia,Middle East,15,15,198,52,13.2,53
38,Hungary,Eastern Europe,14,14,482,161,34.43,75
39,Romania,Eastern Europe,13,13,562,92,43.23,60
40,Hong Kong,Asiatic Region,13,13,230,79,17.69,101
41,South Korea,Asiatic Region,13,13,494,195,38.0,97
42,Ukraine,Eastern Europe,13,13,369,23,28.38,45
43,Morocco,Africa,13,13,187,137,14.38,61
44,Kenya,Africa,12,12,478,96,39.83,57
45,Venezuela,Latin America,11,11,64,40,5.82,39
46,Malaysia,Asiatic Region,10,10,136,71,13.6,69
47,Chile,Latin America,10,10,463,133,46.3,87
48,Singapore,Asiatic Region,9,9,226,57,25.11,65
49,Portugal,Western Europe,9,9,793,170,88.11,94
50,Jordan,Middle East,8,8,147,34,18.38,39
51,Kuwait,Middle East,8,8,176,39,22.0,25
52,Iran,Middle East,7,7,245,106,35.0,99
53,Sudan,Africa,7,7,95,19,13.57,22
54,Zimbabwe,Africa,6,6,353,9,58.83,38
55,Ecuador,Latin America,6,6,182,38,30.33,47
56,Iceland,Western Europe,6,6,431,48,71.83,56
57,Oman,Middle East,6,6,177,23,29.5,32
58,Slovenia,Eastern Europe,6,6,63,38,10.5,39
59,United Arab Emirates,Middle East,6,6,201,121,33.5,41
60,Thailand,Asiatic Region,5,5,183,13,36.6,52
61,Puerto Rico,Latin America,5,5,569,35,113.8,34
62,Estonia,Eastern Europe,5,5,276,74,55.2,52
63,Colombia,Latin America,5,5,78,16,15.6,51
64,Viet Nam,Asiatic Region,4,4,303,97,75.75,65
65,Bulgaria,Eastern Europe,4,4,147,38,36.75,39
66,Niger,Africa,4,4,119,11,29.75,26
67,Belarus,Eastern Europe,4,4,1,1,0.25,30
68,Senegal,Africa,3,3,93,33,31.0,32
69,Bolivia,Latin America,3,3,207,15,69.0,48
70,Peru,Latin America,3,3,56,7,18.67,51
71,Namibia,Africa,3,3,145,34,48.33,33
72,Ethiopia,Africa,3,3,33,8,11.0,66
73,Burkina Faso,Africa,3,3,129,8,43.0,29
74,Sri Lanka,Asiatic Region,3,2,17,6,5.67,49
75,Kazakhstan,Asiatic Region,3,3,25,1,8.33,28
76,Cameroon,Africa,3,3,62,22,20.67,44
77,Botswana,Africa,3,3,117,6,39.0,42
78,Zambia,Africa,3,3,62,10,20.67,25
79,Ghana,Africa,3,3,78,27,26.0,41
80,Nepal,Asiatic Region,3,3,142,25,47.33,59
81,Algeria,Africa,2,2,8,1,4.0,37
82,Syrian Arab Republic,Middle East,2,2,64,22,32.0,45
83,Serbia,Eastern Europe,2,2,18,7,9.0,40
84,Uganda,Africa,2,2,49,5,24.5,26
85,Tanzania,Africa,2,2,38,6,19.0,43
86,Armenia,Eastern Europe,2,2,10,3,5.0,21
87,Croatia,Eastern Europe,2,2,30,15,15.0,41
88,Georgia,Eastern Europe,2,2,87,3,43.5,24
89,Bahamas,Latin America,2,2,148,9,74.0,9
90,Iraq,Middle East,2,2,36,7,18.0,31
91,Pakistan,Asiatic Region,2,2,47,11,23.5,61
92,Tunisia,Africa,2,2,119,25,59.5,53
93,Mongolia,Asiatic Region,2,2,64,18,32.0,41
94,Lebanon,Middle East,1,1,32,17,32.0,28
95,Malawi,Africa,1,1,54,5,54.0,20
96,Jamaica,Latin America,1,1,21,1,21.0,20
97,New Caledonia,Pacific Region,1,1,7,2,7.0,29
98,Panama,Latin America,1,1,113,0,113.0,41
99,Papua New Guinea,Pacific Region,1,1,44,0,44.0,12
100,Cyprus,Western Europe,1,1,31,1,31.0,26
101,Solomon Islands,Pacific Region,1,1,109,4,109.0,7
102,Central African Republic,Africa,1,1,4,2,4.0,9
103,Slovakia,Eastern Europe,1,1,83,46,83.0,45
104,Sierra Leone,Africa,1,1,6,0,6.0,6
105,El Salvador,Latin America,1,1,0,0,0.0,8
106,Chad,Africa,1,1,30,11,30.0,14
107,Togo,Africa,1,1,22,6,22.0,14
108,Tajikistan,Asiatic Region,1,1,52,0,52.0,19
109,Benin,Africa,1,1,22,1,22.0,22
110,Uruguay,Latin America,1,1,33,3,33.0,34
111,Uzbekistan,Asiatic Region,1,1,15,4,15.0,31
112,Latvia,Eastern Europe,1,1,0,0,0.0,19
113,Madagascar,Africa,1,1,32,2,32.0,24
