Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,1267,1257,21220,18432,16.75,157
2,Russian Federation,Eastern Europe,515,510,3695,2832,7.17,68
3,United States,Northern America,377,349,8510,2168,22.57,166
4,Australia,Pacific Region,263,254,7129,1552,27.11,149
5,Canada,Northern America,223,203,4985,1273,22.35,130
6,United Kingdom,Western Europe,187,172,3494,758,18.68,114
7,Brazil,Latin America,176,170,1282,536,7.28,60
8,Poland,Eastern Europe,148,147,1258,495,8.5,49
9,Germany,Western Europe,132,129,3825,676,28.98,99
10,Italy,Western Europe,95,93,2262,831,23.81,69
11,France,Western Europe,93,77,2392,476,25.72,89
12,Spain,Western Europe,86,82,2075,401,24.13,73
13,Norway,Western Europe,82,46,963,336,11.74,86
14,Iran,Middle East,75,74,1338,604,17.84,55
15,South Korea,Asiatic Region,72,70,528,127,7.33,42
16,Japan,Asiatic Region,61,59,747,126,12.25,62
17,Turkey,Middle East,60,58,741,217,12.35,52
18,India,Asiatic Region,59,56,1218,579,20.64,60
19,South Africa,Africa,47,45,961,222,20.45,55
20,Czech Republic,Eastern Europe,42,42,331,114,7.88,38
21,Sweden,Western Europe,38,28,613,115,16.13,46
22,Netherlands,Western Europe,35,34,639,76,18.26,70
23,Mexico,Latin America,33,30,380,163,11.52,35
24,Saudi Arabia,Middle East,28,24,873,236,31.18,34
25,Finland,Western Europe,28,21,393,102,14.04,45
26,Portugal,Western Europe,26,24,760,91,29.23,42
27,Argentina,Latin America,23,23,150,77,6.52,34
28,Austria,Western Europe,22,21,425,51,19.32,48
29,Chile,Latin America,22,18,443,106,20.14,46
30,Denmark,Western Europe,19,18,406,66,21.37,48
31,New Zealand,Pacific Region,19,19,338,126,17.79,54
32,Egypt,Africa/Middle East,19,19,345,113,18.16,41
33,Switzerland,Western Europe,18,17,233,12,12.94,57
34,Belgium,Western Europe,17,14,314,62,18.47,47
35,Greece,Western Europe,17,17,802,108,47.18,41
36,Slovakia,Eastern Europe,17,17,151,43,8.88,21
37,Oman,Middle East,17,17,134,21,7.88,24
38,Hong Kong,Asiatic Region,17,17,197,20,11.59,46
39,Taiwan,Asiatic Region,15,14,109,4,7.27,23
40,Malaysia,Asiatic Region,15,15,199,62,13.27,38
41,Ireland,Western Europe,12,8,141,18,11.75,34
42,Pakistan,Asiatic Region,10,9,888,120,88.8,30
43,Serbia,Eastern Europe,10,10,169,32,16.9,23
44,Angola,Africa,9,9,3,0,0.33,5
45,Hungary,Eastern Europe,9,9,530,31,58.89,24
46,Nigeria,Africa,9,9,118,48,13.11,25
47,Colombia,Latin America,9,7,83,31,9.22,23
48,Kazakhstan,Asiatic Region,9,9,17,6,1.89,12
49,Viet Nam,Asiatic Region,9,9,89,24,9.89,18
50,Mongolia,Asiatic Region,8,8,33,12,4.13,11
51,United Arab Emirates,Middle East,8,8,116,25,14.5,25
52,Bulgaria,Eastern Europe,8,8,194,5,24.25,32
53,Thailand,Asiatic Region,8,8,78,10,9.75,16
54,Lithuania,Eastern Europe,7,7,16,9,2.29,7
55,Indonesia,Asiatic Region,7,7,66,23,9.43,31
56,Singapore,Asiatic Region,7,6,47,0,6.71,9
57,Israel,Middle East,6,5,100,29,16.67,19
58,Ukraine,Eastern Europe,6,6,30,5,5.0,21
59,Tanzania,Africa,6,6,106,48,17.67,15
60,Philippines,Asiatic Region,6,6,81,14,13.5,17
61,Romania,Eastern Europe,6,5,125,14,20.83,29
62,Kyrgyzstan,Asiatic Region,5,5,24,12,4.8,7
63,Dominican Republic,Latin America,5,5,85,9,17.0,10
64,Morocco,Africa,5,3,38,21,7.6,26
65,Algeria,Africa,4,4,43,21,10.75,14
66,Cameroon,Africa,4,4,102,49,25.5,14
67,Tunisia,Africa,4,4,49,18,12.25,16
68,Croatia,Eastern Europe,4,4,107,12,26.75,20
69,Latvia,Eastern Europe,4,4,8,3,2.0,4
70,Ecuador,Latin America,4,4,35,15,8.75,12
71,Yemen,Middle East,3,3,60,21,20.0,22
72,Bangladesh,Asiatic Region,3,3,67,9,22.33,17
73,Sudan,Africa,3,3,49,6,16.33,9
74,Sri Lanka,Asiatic Region,2,2,22,0,11.0,10
75,Uruguay,Latin America,2,2,45,14,22.5,4
76,Cuba,Latin America,2,2,8,0,4.0,12
77,Venezuela,Latin America,2,2,25,1,12.5,17
78,Myanmar,Asiatic Region,2,2,5,1,2.5,8
79,Iceland,Western Europe,2,2,12,2,6.0,10
80,Iraq,Middle East,2,2,9,2,4.5,17
81,Estonia,Eastern Europe,2,2,32,1,16.0,12
82,Costa Rica,Latin America,2,2,25,23,12.5,9
83,Fiji,Pacific Region,2,2,121,1,60.5,2
84,Peru,Latin America,2,1,46,22,23.0,25
85,Kenya,Africa,2,2,15,3,7.5,8
86,Mali,Africa,1,1,11,0,11.0,6
87,Azerbaijan,Eastern Europe,1,1,2,0,2.0,18
88,Bosnia and Herzegovina,Eastern Europe,1,1,35,3,35.0,2
89,Burkina Faso,Africa,1,1,3,0,3.0,5
90,Bolivia,Latin America,1,1,6,1,6.0,10
91,Botswana,Africa,1,1,20,3,20.0,12
92,Cook Islands,Pacific Region,1,1,0,0,0.0,0
93,Cyprus,Western Europe,1,1,84,4,84.0,9
94,Djibouti,Africa,1,1,10,5,10.0,4
95,Ghana,Africa,1,1,2,0,2.0,20
96,Jamaica,Latin America,1,1,6,0,6.0,4
97,Cambodia,Asiatic Region,1,1,4,1,4.0,2
98,Kuwait,Middle East,1,1,52,3,52.0,7
99,Laos,Asiatic Region,1,1,1,0,1.0,4
100,Luxembourg,Western Europe,1,1,21,0,21.0,5
101,Libya,Africa,1,1,2,0,2.0,13
102,Montenegro,Eastern Europe,1,1,33,1,33.0,2
103,Macedonia,Eastern Europe,1,1,4,3,4.0,7
104,Namibia,Africa,1,1,12,4,12.0,15
105,Nicaragua,Latin America,1,1,0,0,0.0,1
106,Panama,Latin America,1,1,10,0,10.0,4
107,Slovenia,Eastern Europe,1,1,54,0,54.0,23
108,Suriname,Latin America,1,1,10,2,10.0,3
109,Chad,Africa,1,1,10,0,10.0,2
110,Turkmenistan,Asiatic Region,1,1,15,0,15.0,2
111,Uzbekistan,Asiatic Region,1,1,11,4,11.0,9
