Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,4397,4164,221422,107931,50.36,510
2,United Kingdom,Western Europe,913,901,50862,11331,55.71,312
3,Germany,Western Europe,875,862,44249,11221,50.57,279
4,Japan,Asiatic Region,871,858,24852,7878,28.53,226
5,France,Western Europe,813,795,51525,12324,63.38,292
6,Russian Federation,Eastern Europe,667,663,13683,3913,20.51,163
7,Canada,Northern America,611,600,22275,4843,36.46,256
8,Italy,Western Europe,540,534,21955,9755,40.66,218
9,China,Asiatic Region,501,498,17105,12875,34.14,268
10,Australia,Pacific Region,462,445,23515,5096,50.9,261
11,Netherlands,Western Europe,278,277,12917,1660,46.46,206
12,Norway,Western Europe,200,198,6841,1383,34.21,173
13,Switzerland,Western Europe,191,188,15896,2316,83.23,227
14,Spain,Western Europe,165,163,8340,2928,50.55,158
15,India,Asiatic Region,148,143,3915,1871,26.45,141
16,Brazil,Latin America,131,124,2927,1384,22.34,132
17,Sweden,Western Europe,129,122,5497,772,42.61,154
18,New Zealand,Pacific Region,125,122,5996,1716,47.97,143
19,Finland,Western Europe,96,94,3838,823,39.98,115
20,Mexico,Latin America,88,85,2704,1184,30.73,103
21,Czech Republic,Eastern Europe,85,83,1664,732,19.58,96
22,Austria,Western Europe,82,81,2220,312,27.07,127
23,Greece,Western Europe,80,80,4941,1540,61.76,109
24,Denmark,Western Europe,79,77,4722,485,59.77,140
25,Poland,Eastern Europe,73,70,1220,341,16.71,86
26,South Africa,Africa,69,68,2801,710,40.59,126
27,Hungary,Eastern Europe,69,69,819,223,11.87,78
28,Belgium,Western Europe,66,64,3019,437,45.74,136
29,Taiwan,Asiatic Region,63,62,2656,844,42.16,133
30,Israel,Middle East,50,50,2025,360,40.5,120
31,South Korea,Asiatic Region,48,48,801,176,16.69,112
32,Turkey,Middle East,45,45,3260,1494,72.44,111
33,Argentina,Latin America,42,42,1797,562,42.79,93
34,Indonesia,Asiatic Region,39,38,2840,913,72.82,78
35,Saudi Arabia,Middle East,37,37,936,146,25.3,75
36,Egypt,Africa/Middle East,33,33,2085,146,63.18,57
37,Nigeria,Africa,31,31,602,115,19.42,36
38,Slovakia,Eastern Europe,27,27,643,100,23.81,59
39,Chile,Latin America,21,21,1099,352,52.33,101
40,Puerto Rico,Latin America,20,20,813,66,40.65,43
41,Portugal,Western Europe,19,19,512,121,26.95,90
42,Ireland,Western Europe,19,19,594,71,31.26,86
43,Colombia,Latin America,19,19,643,362,33.84,53
44,Ukraine,Eastern Europe,18,17,539,67,29.94,62
45,Hong Kong,Asiatic Region,16,16,770,130,48.13,101
46,Romania,Eastern Europe,16,16,538,281,33.63,56
47,Venezuela,Latin America,15,15,81,14,5.4,39
48,Iceland,Western Europe,14,12,683,174,48.79,84
49,Estonia,Eastern Europe,12,12,304,96,25.33,43
50,Iran,Middle East,10,10,466,172,46.6,87
51,Zimbabwe,Africa,9,9,151,20,16.78,42
52,New Caledonia,Pacific Region,9,9,270,30,30.0,45
53,Singapore,Asiatic Region,8,7,259,16,32.38,64
54,Morocco,Africa,7,7,575,154,82.14,52
55,Croatia,Eastern Europe,7,7,131,45,18.71,47
56,Kuwait,Middle East,7,7,81,16,11.57,19
57,Slovenia,Eastern Europe,6,6,1133,160,188.83,43
58,Thailand,Asiatic Region,6,6,477,33,79.5,46
59,Costa Rica,Latin America,6,6,358,66,59.67,51
60,Bulgaria,Eastern Europe,6,6,1843,50,307.17,59
61,Georgia,Eastern Europe,5,5,1655,24,331.0,30
62,Tajikistan,Asiatic Region,5,5,132,2,26.4,23
63,Peru,Latin America,4,4,78,3,19.5,59
64,Kazakhstan,Asiatic Region,4,4,154,26,38.5,28
65,Belarus,Eastern Europe,4,4,24,2,6.0,23
66,Viet Nam,Asiatic Region,4,4,201,53,50.25,44
67,Cameroon,Africa,4,4,368,194,92.0,27
68,Ecuador,Latin America,4,4,180,10,45.0,52
69,Pakistan,Asiatic Region,4,4,73,31,18.25,49
70,Oman,Middle East,3,3,7,1,2.33,34
71,French Polynesia,Pacific Region,3,3,99,7,33.0,24
72,Papua New Guinea,Pacific Region,3,3,44,4,14.67,21
73,Philippines,Asiatic Region,3,3,85,45,28.33,44
74,Kyrgyzstan,Asiatic Region,3,3,37,6,12.33,36
75,Syrian Arab Republic,Middle East,3,3,35,5,11.67,26
76,Mongolia,Asiatic Region,3,3,477,4,159.0,40
77,Malaysia,Asiatic Region,3,3,295,15,98.33,59
78,United Arab Emirates,Middle East,3,3,2,0,0.67,39
79,Azerbaijan,Eastern Europe,3,3,17,10,5.67,32
80,Jordan,Middle East,3,3,307,75,102.33,37
81,Uganda,Africa,2,2,48,12,24.0,24
82,Kenya,Africa,2,2,34,12,17.0,35
83,Ethiopia,Africa,2,2,35,14,17.5,51
84,Madagascar,Africa,2,2,11,1,5.5,21
85,Nicaragua,Latin America,2,2,172,17,86.0,25
86,Cuba,Latin America,2,2,85,6,42.5,23
87,Nepal,Asiatic Region,2,2,102,13,51.0,39
88,Brunei Darussalam,Asiatic Region,2,2,42,8,21.0,20
89,Angola,Africa,2,1,197,5,98.5,14
90,Albania,Eastern Europe,2,2,226,58,113.0,21
91,Serbia,Eastern Europe,1,1,19,10,19.0,33
92,Botswana,Africa,1,1,40,1,40.0,33
93,Bolivia,Latin America,1,1,31,0,31.0,31
94,Solomon Islands,Pacific Region,1,1,3,1,3.0,8
95,Yemen,Middle East,1,1,97,4,97.0,31
96,Djibouti,Africa,1,1,0,0,0.0,8
97,Algeria,Africa,1,1,31,15,31.0,43
98,Bermuda,Latin America,1,1,27,0,27.0,28
99,Suriname,Latin America,1,1,7,0,7.0,5
100,Libya,Africa,1,1,1,1,1.0,15
101,Luxembourg,Western Europe,1,1,52,6,52.0,48
102,Lebanon,Middle East,1,1,3,0,3.0,22
103,Tonga,Pacific Region,1,1,3,0,3.0,1
104,Fiji,Pacific Region,1,1,3,1,3.0,21
105,Trinidad and Tobago,Latin America,1,1,8,3,8.0,34
106,Burkina Faso,Africa,1,1,31,0,31.0,10
107,Jamaica,Latin America,1,1,0,0,0.0,19
108,Ghana,Africa,1,1,90,4,90.0,22
109,Haïti,Latin America,1,1,55,18,55.0,13
110,Uruguay,Latin America,1,1,321,57,321.0,22
111,Armenia,Eastern Europe,1,1,1615,10,1615.0,23
112,Guyana,Latin America,1,1,70,3,70.0,7
113,Vanuatu,Pacific Region,1,1,3,0,3.0,15
114,Congo,Africa,1,1,48,2,48.0,24
115,Reunion,Africa,1,1,25,0,25.0,9
116,Côte d’Ivoire,Africa,1,1,45,4,45.0,18
