Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1452,1444,30640,9714,21.1,267
2,China,Asiatic Region,705,700,3060,2117,4.34,199
3,Canada,Northern America,313,313,9161,2024,29.27,187
4,United Kingdom,Western Europe,271,271,7280,1717,26.86,176
5,Germany,Western Europe,226,225,2347,595,10.38,124
6,Japan,Asiatic Region,219,216,3663,799,16.73,152
7,India,Asiatic Region,175,174,2044,640,11.68,122
8,Russian Federation,Eastern Europe,168,168,328,195,1.95,62
9,Australia,Pacific Region,166,166,6096,1117,36.72,171
10,France,Western Europe,105,105,2245,426,21.38,140
11,Italy,Western Europe,100,97,4535,1150,45.35,157
12,Norway,Western Europe,88,88,1556,226,17.68,104
13,South Africa,Africa,70,70,1484,121,21.2,78
14,Brazil,Latin America,65,65,559,106,8.6,91
15,Spain,Western Europe,48,46,606,161,12.63,110
16,Mexico,Latin America,47,46,547,125,11.64,62
17,Taiwan,Asiatic Region,44,44,1202,232,27.32,94
18,Turkey,Middle East,43,43,813,281,18.91,119
19,Netherlands,Western Europe,39,39,685,77,17.56,91
20,New Zealand,Pacific Region,38,38,549,188,14.45,82
21,Sweden,Western Europe,35,35,917,89,26.2,90
22,Saudi Arabia,Middle East,34,34,254,56,7.47,69
23,Egypt,Africa/Middle East,34,34,303,46,8.91,65
24,Argentina,Latin America,34,34,171,11,5.03,38
25,Greece,Western Europe,32,28,1391,234,43.47,111
26,South Korea,Asiatic Region,30,30,791,109,26.37,107
27,Poland,Eastern Europe,26,26,348,30,13.38,59
28,Israel,Middle East,26,26,1011,40,38.88,64
29,Austria,Western Europe,24,24,194,40,8.08,68
30,Hong Kong,Asiatic Region,23,23,651,63,28.3,130
31,Chile,Latin America,20,20,80,19,4.0,60
32,Singapore,Asiatic Region,19,19,1545,229,81.32,119
33,Croatia,Eastern Europe,19,19,200,18,10.53,29
34,Hungary,Eastern Europe,19,19,49,17,2.58,30
35,Kuwait,Middle East,18,18,329,58,18.28,37
36,United Arab Emirates,Middle East,16,16,201,7,12.56,49
37,Switzerland,Western Europe,16,16,447,58,27.94,111
38,Thailand,Asiatic Region,15,15,473,35,31.53,81
39,Belgium,Western Europe,15,15,101,17,6.73,74
40,Oman,Middle East,14,14,198,15,14.14,38
41,Venezuela,Latin America,13,13,240,18,18.46,38
42,Nigeria,Africa,11,11,30,16,2.73,41
43,Ukraine,Eastern Europe,10,10,27,6,2.7,35
44,Iran,Middle East,10,10,288,97,28.8,108
45,Denmark,Western Europe,10,10,155,10,15.5,59
46,Finland,Western Europe,10,10,203,20,20.3,60
47,Jordan,Middle East,9,9,94,21,10.44,35
48,Portugal,Western Europe,9,9,251,34,27.89,70
49,Estonia,Eastern Europe,7,7,37,24,5.29,27
50,Indonesia,Asiatic Region,6,6,50,1,8.33,45
51,Ghana,Africa,5,5,84,6,16.8,21
52,Lebanon,Middle East,5,5,79,3,15.8,30
53,Colombia,Latin America,5,5,88,10,17.6,39
54,Malaysia,Asiatic Region,5,5,9,2,1.8,71
55,Peru,Latin America,5,5,18,0,3.6,23
56,Slovenia,Eastern Europe,5,5,293,25,58.6,48
57,Bangladesh,Asiatic Region,4,4,182,7,45.5,36
58,Morocco,Africa,3,3,9,1,3.0,24
59,El Salvador,Latin America,3,3,41,9,13.67,9
60,Czech Republic,Eastern Europe,3,3,53,0,17.67,53
61,Ireland,Western Europe,3,3,114,4,38.0,52
62,Puerto Rico,Latin America,2,2,17,0,8.5,13
63,Kazakhstan,Asiatic Region,2,2,7,0,3.5,24
64,Costa Rica,Latin America,2,2,0,0,0.0,16
65,Botswana,Africa,2,2,2,1,1.0,12
66,Sri Lanka,Asiatic Region,2,2,55,0,27.5,18
67,Bahrain,Middle East,2,2,4,0,2.0,12
68,Bulgaria,Eastern Europe,2,2,11,7,5.5,27
69,Viet Nam,Asiatic Region,2,2,14,1,7.0,47
70,Zambia,Africa,2,2,32,1,16.0,13
71,Zimbabwe,Africa,1,1,17,1,17.0,12
72,Iraq,Middle East,1,1,3,0,3.0,37
73,Kenya,Africa,1,1,4,0,4.0,13
74,Libya,Africa,1,1,1,0,1.0,15
75,Macedonia,Eastern Europe,1,1,2,0,2.0,19
76,Guyana,Latin America,1,1,19,6,19.0,2
77,New Caledonia,Pacific Region,1,1,3,0,3.0,8
78,Guinea,Africa,1,1,0,0,0.0,2
79,Nepal,Asiatic Region,1,1,11,0,11.0,27
80,Ethiopia,Africa,1,1,11,0,11.0,22
81,Panama,Latin America,1,1,4,1,4.0,10
82,Papua New Guinea,Pacific Region,1,1,20,0,20.0,8
83,Pakistan,Asiatic Region,1,1,12,0,12.0,46
84,Ecuador,Latin America,1,1,0,0,0.0,21
85,Qatar,Middle East,1,1,45,0,45.0,34
86,Romania,Eastern Europe,1,1,1,0,1.0,35
87,Serbia,Eastern Europe,1,1,1,0,1.0,31
88,Cuba,Latin America,1,1,0,0,0.0,9
89,Senegal,Africa,1,1,12,3,12.0,9
90,Syrian Arab Republic,Middle East,1,1,17,17,17.0,11
91,Bolivia,Latin America,1,1,0,0,0.0,12
92,Uganda,Africa,1,1,0,0,0.0,10
93,Yemen,Middle East,1,1,0,0,0.0,12
94,Iceland,Western Europe,1,1,117,8,117.0,44
