Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2357,2335,120988,57682,51.33,399
2,United Kingdom,Western Europe,669,655,36600,9406,54.71,259
3,Germany,Western Europe,602,599,31574,9326,52.45,236
4,Russian Federation,Eastern Europe,481,480,5362,1742,11.15,119
5,France,Western Europe,462,457,25489,6238,55.17,233
6,Japan,Asiatic Region,420,416,15904,4383,37.87,175
7,Canada,Northern America,370,364,19787,4893,53.48,214
8,China,Asiatic Region,290,290,5511,3124,19.0,196
9,Australia,Pacific Region,262,256,17069,5296,65.15,203
10,Italy,Western Europe,241,237,9484,2960,39.35,173
11,Netherlands,Western Europe,225,222,15685,2610,69.71,177
12,Spain,Western Europe,163,163,9584,3206,58.8,167
13,Norway,Western Europe,157,154,7709,2107,49.1,165
14,India,Asiatic Region,119,119,2424,1204,20.37,114
15,Denmark,Western Europe,119,118,8151,1258,68.5,145
16,Sweden,Western Europe,105,103,4681,904,44.58,141
17,Taiwan,Asiatic Region,97,96,3134,1146,32.31,109
18,Poland,Eastern Europe,96,95,2536,727,26.42,88
19,Switzerland,Western Europe,94,93,5210,970,55.43,149
20,Belgium,Western Europe,71,71,3418,442,48.14,136
21,Mexico,Latin America,67,66,3108,579,46.39,82
22,Greece,Western Europe,64,64,2920,898,45.63,106
23,New Zealand,Pacific Region,64,63,2596,501,40.56,119
24,South Korea,Asiatic Region,62,62,1804,599,29.1,105
25,Brazil,Latin America,55,55,2316,1017,42.11,124
26,South Africa,Africa,53,52,3970,1018,74.91,101
27,Argentina,Latin America,49,49,2253,802,45.98,85
28,Israel,Middle East,49,49,1616,421,32.98,95
29,Portugal,Western Europe,45,45,2018,633,44.84,118
30,Finland,Western Europe,44,44,2064,487,46.91,104
31,Chile,Latin America,42,42,1691,411,40.26,91
32,Austria,Western Europe,29,29,1178,168,40.62,98
33,Ukraine,Eastern Europe,28,28,329,68,11.75,56
34,Turkey,Middle East,28,28,1010,504,36.07,82
35,Hong Kong,Asiatic Region,24,20,910,182,37.92,102
36,Iceland,Western Europe,17,16,698,139,41.06,61
37,Egypt,Africa/Middle East,15,15,336,38,22.4,57
38,Ireland,Western Europe,14,14,545,44,38.93,88
39,Croatia,Eastern Europe,14,14,587,227,41.93,62
40,Thailand,Asiatic Region,12,12,210,16,17.5,54
41,Puerto Rico,Latin America,11,11,497,15,45.18,38
42,Singapore,Asiatic Region,11,11,115,10,10.45,56
43,Philippines,Asiatic Region,10,10,1357,83,135.7,55
44,Indonesia,Asiatic Region,10,10,912,142,91.2,63
45,Bulgaria,Eastern Europe,9,9,249,77,27.67,47
46,New Caledonia,Pacific Region,9,9,340,55,37.78,63
47,Bermuda,Latin America,9,9,985,44,109.44,66
48,Iran,Middle East,8,8,123,30,15.38,60
49,Estonia,Eastern Europe,8,8,190,65,23.75,61
50,Tunisia,Africa,8,8,360,69,45.0,49
51,Czech Republic,Eastern Europe,8,8,195,36,24.38,53
52,Tanzania,Africa,7,7,91,31,13.0,36
53,Morocco,Africa,7,7,251,112,35.86,47
54,Monaco,Western Europe,6,6,362,56,60.33,57
55,Colombia,Latin America,6,6,305,77,50.83,45
56,Bangladesh,Asiatic Region,5,5,85,31,17.0,42
57,Saudi Arabia,Middle East,5,5,119,38,23.8,64
58,Uruguay,Latin America,4,4,358,61,89.5,42
59,Faroe Islands,Western Europe,4,4,147,56,36.75,30
60,Fiji,Pacific Region,4,4,88,5,22.0,26
61,Romania,Eastern Europe,4,4,138,21,34.5,54
62,Kazakhstan,Asiatic Region,3,3,222,1,74.0,12
63,Kenya,Africa,3,3,215,21,71.67,46
64,Kuwait,Middle East,3,3,112,11,37.33,31
65,Lithuania,Eastern Europe,3,3,26,0,8.67,43
66,Latvia,Eastern Europe,3,3,126,17,42.0,31
