Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,34469,33602,1312054,609426,38.06,312
2,Germany,Western Europe,15211,14887,429991,124815,28.27,201
3,United Kingdom,Western Europe,14590,14109,450618,129130,30.89,211
4,China,Asiatic Region,11771,11627,241639,149347,20.53,157
5,France,Western Europe,10837,10591,307061,81560,28.33,182
6,Russian Federation,Eastern Europe,7829,7786,90686,31713,11.58,94
7,Italy,Western Europe,6961,6829,149109,53100,21.42,132
8,Canada,Northern America,6387,6240,205010,44871,32.1,166
9,Spain,Western Europe,6044,5877,130991,45816,21.67,119
10,Australia,Pacific Region,5590,5458,132105,35209,23.63,119
11,Japan,Asiatic Region,5202,5132,131528,31854,25.28,135
12,Argentina,Latin America,4914,4864,81638,40720,16.61,83
13,Switzerland,Western Europe,3661,3601,133180,24226,36.38,146
14,Netherlands,Western Europe,3467,3407,125274,20980,36.13,141
15,Sweden,Western Europe,3408,3348,100812,21985,29.58,120
16,Brazil,Latin America,2809,2776,57107,22567,20.33,96
17,Poland,Eastern Europe,2582,2546,43692,13340,16.92,76
18,Norway,Western Europe,2378,2348,99418,18690,41.81,116
19,Austria,Western Europe,2129,2085,52568,9029,24.69,92
20,India,Asiatic Region,2088,2053,47784,24138,22.89,90
21,Czech Republic,Eastern Europe,1991,1964,26074,8140,13.1,62
22,Belgium,Western Europe,1939,1901,52024,8812,26.83,96
23,Denmark,Western Europe,1596,1574,76626,9161,48.01,103
24,South Africa,Africa,1418,1363,29326,8331,20.68,73
25,South Korea,Asiatic Region,1243,1230,28617,5585,23.02,75
26,Mexico,Latin America,1237,1229,20104,5321,16.25,55
27,Romania,Eastern Europe,1234,1223,11148,2840,9.03,48
28,New Zealand,Pacific Region,1176,1159,39345,7042,33.46,85
29,Turkey,Middle East,1086,1062,12676,4517,11.67,49
30,Hungary,Eastern Europe,1078,1064,18244,3838,16.92,61
31,Finland,Western Europe,1037,1022,38899,8052,37.51,91
32,Portugal,Western Europe,981,960,19576,4402,19.96,66
33,Iran,Middle East,873,870,14432,5506,16.53,45
34,Chile,Latin America,837,824,18564,6339,22.18,60
35,Greece,Western Europe,803,779,20660,5076,25.73,66
36,Egypt,Africa/Middle East,769,764,9839,3315,12.79,43
37,Israel,Middle East,698,641,20966,3736,30.04,69
38,Taiwan,Asiatic Region,685,679,13439,2032,19.62,57
39,Slovakia,Eastern Europe,611,603,7101,1937,11.62,37
40,Ireland,Western Europe,600,586,37156,1965,61.93,61
41,Estonia,Eastern Europe,534,526,12039,3095,22.54,51
42,Saudi Arabia,Middle East,515,504,7353,1327,14.28,35
43,Thailand,Asiatic Region,500,488,4740,1373,9.48,29
44,Morocco,Africa,459,451,8295,1861,18.07,45
45,Ukraine,Eastern Europe,448,445,5449,1342,12.16,33
46,Slovenia,Eastern Europe,431,428,4465,1013,10.36,32
