Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,1403,1390,901,638,0.64,157
2,United States,Northern America,1393,1346,1023,483,0.73,312
3,Germany,Western Europe,799,769,671,263,0.84,201
4,United Kingdom,Western Europe,691,669,526,162,0.76,211
5,Italy,Western Europe,556,532,576,287,1.04,132
6,France,Western Europe,470,453,313,110,0.67,182
7,Russian Federation,Eastern Europe,457,452,264,155,0.58,94
8,Spain,Western Europe,417,411,314,128,0.75,119
9,Japan,Asiatic Region,276,269,176,50,0.64,135
10,Canada,Northern America,263,255,230,73,0.87,166
11,Australia,Pacific Region,263,260,231,65,0.88,119
12,Argentina,Latin America,235,234,192,124,0.82,83
13,Brazil,Latin America,233,230,174,83,0.75,96
14,Switzerland,Western Europe,206,203,168,52,0.82,146
15,India,Asiatic Region,204,201,169,72,0.83,90
16,Poland,Eastern Europe,195,195,152,67,0.78,76
17,Saudi Arabia,Middle East,178,177,234,96,1.31,35
18,South Korea,Asiatic Region,178,178,118,42,0.66,75
19,Netherlands,Western Europe,160,158,117,23,0.73,141
20,Austria,Western Europe,155,151,144,52,0.93,92
21,Sweden,Western Europe,155,153,146,54,0.94,120
22,Romania,Eastern Europe,128,127,111,52,0.87,48
23,Mexico,Latin America,114,114,78,22,0.68,55
24,Czech Republic,Eastern Europe,113,110,93,25,0.82,62
25,Egypt,Africa/Middle East,112,111,137,51,1.22,43
26,Belgium,Western Europe,111,107,82,18,0.74,96
27,Norway,Western Europe,106,106,89,17,0.84,116
28,Taiwan,Asiatic Region,103,101,103,19,1.0,57
29,Denmark,Western Europe,95,94,92,22,0.97,103
30,South Africa,Africa,92,83,67,17,0.73,73
31,Portugal,Western Europe,89,88,78,21,0.88,66
32,Hungary,Eastern Europe,87,83,51,15,0.59,61
33,Turkey,Middle East,81,79,54,12,0.67,49
34,Greece,Western Europe,79,76,77,22,0.97,66
35,Slovakia,Eastern Europe,77,75,70,42,0.91,37
36,Iran,Middle East,68,67,41,12,0.6,45
37,Thailand,Asiatic Region,64,63,50,20,0.78,29
38,Pakistan,Asiatic Region,63,63,139,64,2.21,25
39,Israel,Middle East,60,58,32,7,0.53,69
40,Chile,Latin America,54,52,33,9,0.61,60
41,Ireland,Western Europe,52,52,45,8,0.87,61
42,New Zealand,Pacific Region,47,46,32,10,0.68,85
43,Morocco,Africa,45,44,51,21,1.13,45
44,Croatia,Eastern Europe,44,42,25,5,0.57,33
45,Finland,Western Europe,41,39,47,6,1.15,91
46,Slovenia,Eastern Europe,41,41,28,3,0.68,32
47,Ukraine,Eastern Europe,39,39,48,28,1.23,33
48,Malaysia,Asiatic Region,37,37,68,19,1.84,27
49,Hong Kong,Asiatic Region,37,36,41,12,1.11,65
50,Bangladesh,Asiatic Region,36,36,48,10,1.33,14
51,United Arab Emirates,Middle East,33,27,42,11,1.27,23
52,Estonia,Eastern Europe,31,30,13,3,0.42,51
53,Serbia,Eastern Europe,30,30,23,7,0.77,20
54,Bulgaria,Eastern Europe,29,29,34,5,1.17,39
55,Algeria,Africa,28,28,15,3,0.54,22
56,Viet Nam,Asiatic Region,27,27,13,2,0.48,21
57,Singapore,Asiatic Region,27,27,23,5,0.85,30
58,Iraq,Middle East,25,25,27,10,1.08,10
59,Colombia,Latin America,23,23,9,2,0.39,35
60,Tunisia,Africa,20,20,9,4,0.45,34
61,Indonesia,Asiatic Region,20,20,16,3,0.8,34
62,Ethiopia,Africa,17,16,16,6,0.94,21
63,Ecuador,Latin America,14,14,2,0,0.14,28
64,Philippines,Asiatic Region,13,13,9,2,0.69,18
65,Nigeria,Africa,13,13,8,2,0.62,17
66,Peru,Latin America,13,13,7,2,0.54,39
67,Lithuania,Eastern Europe,12,12,3,0,0.25,23
68,Panama,Latin America,12,12,5,1,0.42,34
69,Uruguay,Latin America,12,12,10,1,0.83,31
70,Cyprus,Western Europe,11,10,8,0,0.73,20
71,Kenya,Africa,11,11,8,1,0.73,28
72,Mongolia,Asiatic Region,11,11,6,0,0.55,31
73,Jordan,Middle East,11,11,9,0,0.82,19
74,Lebanon,Middle East,11,11,10,3,0.91,21
75,Iceland,Western Europe,10,10,4,1,0.4,45
76,North Korea,Asiatic Region,9,9,2,1,0.22,4
77,Latvia,Eastern Europe,8,8,3,2,0.38,16
78,Uzbekistan,Asiatic Region,8,8,3,2,0.38,8
79,Nepal,Asiatic Region,8,8,14,2,1.75,16
80,Qatar,Middle East,8,7,21,3,2.63,12
81,Malta,Western Europe,7,7,11,2,1.57,21
82,Venezuela,Latin America,7,7,6,0,0.86,32
83,Georgia,Eastern Europe,7,5,2,0,0.29,24
84,Madagascar,Africa,7,7,0,0,0.0,16
85,Armenia,Eastern Europe,6,6,1,1,0.17,13
86,Palestine,Middle East,6,6,8,0,1.33,6
87,Kazakhstan,Asiatic Region,6,6,2,0,0.33,17
88,Kuwait,Middle East,6,6,15,0,2.5,8
89,Myanmar,Asiatic Region,6,6,2,1,0.33,16
90,Jamaica,Latin America,5,5,3,3,0.6,17
91,Zambia,Africa,4,4,2,0,0.5,8
92,Sudan,Africa,4,4,1,1,0.25,7
