Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,6855,6821,334295,183064,48.77,681
2,Germany,Western Europe,1543,1519,69537,18616,45.07,467
3,France,Western Europe,1141,1141,50204,12640,44.0,407
4,United Kingdom,Western Europe,1131,1128,51485,13324,45.52,465
5,Russian Federation,Eastern Europe,932,932,14501,3893,15.56,229
6,Japan,Asiatic Region,776,775,30885,7923,39.8,311
7,Italy,Western Europe,685,684,26567,6994,38.78,356
8,Canada,Northern America,593,593,35898,5944,60.54,344
9,Netherlands,Western Europe,477,476,22157,3976,46.45,326
10,Spain,Western Europe,432,432,18870,4284,43.68,308
11,Australia,Pacific Region,373,373,22371,3929,59.98,316
12,India,Asiatic Region,286,286,5582,2221,19.52,176
13,China,Asiatic Region,269,269,5739,2883,21.33,270
14,Sweden,Western Europe,190,190,8302,1036,43.69,229
15,Brazil,Latin America,172,172,6978,1583,40.57,188
16,Poland,Eastern Europe,167,167,5593,897,33.49,198
17,Switzerland,Western Europe,151,151,5847,820,38.72,289
18,Belgium,Western Europe,147,147,5126,825,34.87,199
19,Israel,Middle East,144,143,8622,991,59.88,206
20,Mexico,Latin America,137,137,4884,1114,35.65,172
21,Ukraine,Eastern Europe,135,135,2569,371,19.03,118
22,Chile,Latin America,121,121,5177,789,42.79,246
23,Finland,Western Europe,116,116,2567,592,22.13,163
24,Denmark,Western Europe,109,109,4723,391,43.33,211
25,South Africa,Africa,101,101,4609,958,45.63,189
26,Taiwan,Asiatic Region,99,98,2235,306,22.58,169
27,Czech Republic,Eastern Europe,78,77,1448,451,18.56,127
28,Greece,Western Europe,78,78,1614,447,20.69,137
29,Norway,Western Europe,77,77,2187,315,28.4,158
30,Argentina,Latin America,69,68,2153,356,31.2,121
31,South Korea,Asiatic Region,68,68,1921,237,28.25,179
32,Austria,Western Europe,59,59,1065,208,18.05,175
33,Hungary,Eastern Europe,58,58,1753,291,30.22,150
34,New Zealand,Pacific Region,51,51,2561,680,50.22,136
35,Ireland,Western Europe,31,31,1683,161,54.29,145
36,Turkey,Middle East,29,29,1327,129,45.76,94
37,Bulgaria,Eastern Europe,25,25,238,44,9.52,76
38,Slovakia,Eastern Europe,22,22,140,35,6.36,61
39,Portugal,Western Europe,20,20,791,77,39.55,157
40,Hong Kong,Asiatic Region,18,18,407,45,22.61,96
41,Armenia,Eastern Europe,16,16,619,48,38.69,83
42,Egypt,Africa/Middle East,15,15,110,57,7.33,49
43,Puerto Rico,Latin America,13,13,642,23,49.38,64
44,Estonia,Eastern Europe,13,13,523,68,40.23,61
45,Kazakhstan,Asiatic Region,12,12,80,5,6.67,37
46,Georgia,Eastern Europe,12,12,218,52,18.17,69
47,Nigeria,Africa,11,11,86,18,7.82,36
48,Tajikistan,Asiatic Region,11,11,26,14,2.36,23
49,Venezuela,Latin America,11,11,527,20,47.91,74
50,Indonesia,Asiatic Region,10,10,530,152,53.0,60
51,Romania,Eastern Europe,10,10,97,20,9.7,73
52,Singapore,Asiatic Region,9,9,582,12,64.67,57
53,Saudi Arabia,Middle East,8,8,42,10,5.25,68
54,Uzbekistan,Asiatic Region,7,7,37,5,5.29,51
55,Lithuania,Eastern Europe,7,7,36,10,5.14,47
56,Morocco,Africa,6,6,176,52,29.33,43
57,Croatia,Eastern Europe,6,6,317,40,52.83,90
58,Congo,Africa,5,5,333,1,66.6,17
59,Colombia,Latin America,5,5,38,8,7.6,47
60,Algeria,Africa,5,5,208,59,41.6,44
61,Iran,Middle East,5,5,11,6,2.2,67
62,Latvia,Eastern Europe,4,4,35,2,8.75,19
63,Iceland,Western Europe,4,4,98,5,24.5,97
64,Uruguay,Latin America,4,4,103,9,25.75,33
65,United Arab Emirates,Middle East,3,3,11,1,3.67,53
66,Pakistan,Asiatic Region,3,3,0,0,0.0,49
67,Slovenia,Eastern Europe,3,3,28,6,9.33,83
68,Thailand,Asiatic Region,3,3,39,4,13.0,62
69,Mongolia,Asiatic Region,2,2,151,24,75.5,23
70,Azerbaijan,Eastern Europe,2,2,1,0,0.5,16
71,Svalbard and Jan Mayen,Western Europe,2,2,26,0,13.0,7
72,Belarus,Eastern Europe,2,2,15,2,7.5,21
73,Lebanon,Middle East,2,2,236,4,118.0,29
