Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,10517,10420,58393,35149,5.55,681
2,China,Asiatic Region,5349,5307,21150,11926,3.95,270
3,Germany,Western Europe,4001,3979,29314,11538,7.33,467
4,United Kingdom,Western Europe,3996,3965,30111,11948,7.54,465
5,France,Western Europe,3002,2968,20850,7015,6.95,407
6,Italy,Western Europe,2737,2707,19714,7229,7.2,356
7,Japan,Asiatic Region,2224,2188,11807,3954,5.31,311
8,Spain,Western Europe,1991,1982,15819,4857,7.95,308
9,Russian Federation,Eastern Europe,1586,1576,6832,1949,4.31,229
10,Canada,Northern America,1523,1510,11339,2651,7.45,344
11,Netherlands,Western Europe,1498,1484,12908,3433,8.62,326
12,India,Asiatic Region,1494,1479,7576,2545,5.07,176
13,Australia,Pacific Region,1476,1463,11623,3116,7.87,316
14,Chile,Latin America,1184,1184,8776,2476,7.41,246
15,Switzerland,Western Europe,988,986,8963,2352,9.07,289
16,Sweden,Western Europe,820,814,6385,1327,7.79,229
17,South Korea,Asiatic Region,738,733,4959,1033,6.72,179
18,Brazil,Latin America,721,719,4244,1012,5.89,188
19,Belgium,Western Europe,641,634,5326,1262,8.31,199
20,Poland,Eastern Europe,630,630,4856,927,7.71,198
21,Denmark,Western Europe,555,552,5346,957,9.63,211
22,South Africa,Africa,522,519,3827,956,7.33,189
23,Mexico,Latin America,508,508,2925,562,5.76,172
24,Taiwan,Asiatic Region,503,501,3152,581,6.27,169
25,Austria,Western Europe,486,468,2988,653,6.15,175
26,Israel,Middle East,407,400,3132,635,7.7,206
27,Finland,Western Europe,396,395,2805,497,7.08,163
28,Czech Republic,Eastern Europe,365,365,1937,400,5.31,127
29,Portugal,Western Europe,331,328,3137,490,9.48,157
30,Norway,Western Europe,325,322,2181,455,6.71,158
31,Greece,Western Europe,303,301,2530,366,8.35,137
32,Argentina,Latin America,297,294,1241,246,4.18,121
33,Hungary,Eastern Europe,271,268,2833,370,10.45,150
34,Ireland,Western Europe,245,241,2006,311,8.19,145
35,Ukraine,Eastern Europe,228,228,625,202,2.74,118
36,United Arab Emirates,Middle East,226,205,689,180,3.05,53
37,Iran,Middle East,213,212,1017,236,4.77,67
38,Turkey,Middle East,178,174,526,102,2.96,94
39,New Zealand,Pacific Region,172,169,870,252,5.06,136
40,Hong Kong,Asiatic Region,153,150,1551,159,10.14,96
41,Saudi Arabia,Middle East,132,132,478,115,3.62,68
42,Romania,Eastern Europe,119,118,418,78,3.51,73
43,Pakistan,Asiatic Region,110,110,550,223,5.0,49
44,Egypt,Africa/Middle East,97,96,312,105,3.22,49
45,Thailand,Asiatic Region,94,94,459,99,4.88,62
46,Slovakia,Eastern Europe,94,93,318,51,3.38,61
47,Malaysia,Asiatic Region,93,93,770,140,8.28,40
48,Croatia,Eastern Europe,84,84,977,89,11.63,90
49,Nigeria,Africa,74,73,299,119,4.04,36
50,Macao,Asiatic Region,67,64,196,29,2.93,26
51,Indonesia,Asiatic Region,64,63,450,146,7.03,60
52,Serbia,Eastern Europe,62,62,303,45,4.89,52
53,Singapore,Asiatic Region,58,53,266,48,4.59,57
54,Bulgaria,Eastern Europe,58,56,304,46,5.24,76
55,Colombia,Latin America,55,54,154,26,2.8,47
56,Estonia,Eastern Europe,55,54,295,37,5.36,61
57,Ethiopia,Africa,52,52,79,19,1.52,35
58,Morocco,Africa,51,51,348,42,6.82,43
59,Slovenia,Eastern Europe,47,47,561,38,11.94,83
60,Georgia,Eastern Europe,43,43,189,28,4.4,69
61,Armenia,Eastern Europe,41,41,220,41,5.37,83
62,Lithuania,Eastern Europe,41,41,245,28,5.98,47
63,Kazakhstan,Asiatic Region,40,40,122,26,3.05,37
64,Iceland,Western Europe,38,38,280,34,7.37,97
65,Viet Nam,Asiatic Region,37,37,199,38,5.38,35
66,Algeria,Africa,34,34,340,24,10.0,44
67,Peru,Latin America,33,33,77,7,2.33,51
68,Bangladesh,Asiatic Region,28,27,327,55,11.68,33
69,Puerto Rico,Latin America,24,24,161,5,6.71,64
70,Ecuador,Latin America,23,23,132,32,5.74,35
71,Uzbekistan,Asiatic Region,23,23,147,62,6.39,51
72,Cyprus,Western Europe,21,21,120,29,5.71,40
73,Luxembourg,Western Europe,20,18,18,3,0.9,30
74,Uganda,Africa,19,19,103,13,5.42,18
75,Tunisia,Africa,18,18,29,8,1.61,21
76,Malta,Western Europe,18,18,97,16,5.39,35
77,Nepal,Asiatic Region,16,16,42,7,2.63,25
78,Uruguay,Latin America,14,14,58,2,4.14,33
79,Rwanda,Africa,14,14,29,8,2.07,13
80,Costa Rica,Latin America,14,14,27,5,1.93,35
81,Namibia,Africa,14,14,121,11,8.64,61
82,Venezuela,Latin America,14,14,90,13,6.43,74
83,Oman,Middle East,14,14,86,15,6.14,22
84,Iraq,Middle East,13,13,117,48,9.0,17
85,Latvia,Eastern Europe,13,13,25,4,1.92,19
86,Lebanon,Middle East,12,12,102,6,8.5,29
87,Kenya,Africa,12,12,62,7,5.17,24
88,Sri Lanka,Asiatic Region,12,11,10,1,0.83,22
89,Cuba,Latin America,11,11,3,3,0.27,20
90,Monaco,Western Europe,10,10,671,19,67.1,31
91,French Polynesia,Pacific Region,9,9,20,2,2.22,23
92,Philippines,Asiatic Region,9,9,18,3,2.0,23
93,Jordan,Middle East,8,8,16,10,2.0,19
94,Bosnia and Herzegovina,Eastern Europe,8,8,62,2,7.75,6
95,Greenland,Western Europe,7,7,22,8,3.14,16
96,Ghana,Africa,7,7,81,12,11.57,12
97,Sudan,Africa,6,6,66,5,11.0,19
98,Madagascar,Africa,6,6,54,6,9.0,9
99,Guatemala,Latin America,6,6,3,0,0.5,9
100,Senegal,Africa,5,5,13,0,2.6,21
101,Angola,Africa,5,5,0,0,0.0,4
102,Azerbaijan,Eastern Europe,5,5,5,0,1.0,16
103,Benin,Africa,5,5,16,7,3.2,18
104,Cameroon,Africa,5,5,58,9,11.6,16
105,Myanmar,Asiatic Region,5,5,33,13,6.6,10
106,Mongolia,Asiatic Region,5,5,14,1,2.8,23
107,Svalbard and Jan Mayen,Western Europe,5,5,17,0,3.4,7
108,Tanzania,Africa,5,5,10,5,2.0,12
109,Qatar,Middle East,4,4,27,2,6.75,31
110,Brunei Darussalam,Asiatic Region,4,4,89,5,22.25,5
111,Belarus,Eastern Europe,4,4,3,2,0.75,21
112,Tajikistan,Asiatic Region,4,4,2,0,0.5,23
113,Zimbabwe,Africa,4,4,17,1,4.25,8
114,Bolivia,Latin America,3,3,2,0,0.67,25
115,Panama,Latin America,3,3,4,0,1.33,14
116,North Korea,Asiatic Region,3,3,4,0,1.33,3
117,Albania,Eastern Europe,3,3,53,1,17.67,11
118,Nicaragua,Latin America,3,3,3,0,1.0,7
119,Botswana,Africa,3,3,54,4,18.0,18
120,Trinidad and Tobago,Latin America,3,3,10,1,3.33,24
121,Moldova,Eastern Europe,3,3,14,3,4.67,4
122,Honduras,Latin America,3,3,6,0,2.0,5
123,Côte d’Ivoire,Africa,2,2,4,0,2.0,17
124,Macedonia,Eastern Europe,2,2,30,14,15.0,14
125,Libya,Africa,2,2,77,0,38.5,8
126,Kuwait,Middle East,2,2,12,0,6.0,16
127,Kyrgyzstan,Asiatic Region,2,2,7,1,3.5,17
128,Fiji,Pacific Region,2,2,8,5,4.0,21
129,Bermuda,Latin America,2,2,13,1,6.5,19
130,Burkina Faso,Africa,2,2,8,0,4.0,16
131,Swaziland,Africa,1,1,46,7,46.0,6
132,Congo,Africa,1,1,0,0,0.0,17
133,Zambia,Africa,1,1,46,7,46.0,11
134,Democratic Republic Congo,Africa,1,1,3,0,3.0,2
135,Cook Islands,Pacific Region,1,1,5,0,5.0,2
136,Gabon,Africa,1,1,11,2,11.0,2
137,Guadeloupe,Latin America,1,1,3,0,3.0,11
138,Haïti,Latin America,1,1,10,1,10.0,3
139,Bahamas,Latin America,1,1,5,4,5.0,5
140,Paraguay,Latin America,1,1,8,3,8.0,6
141,Palestine,Middle East,1,1,5,1,5.0,7
142,Montserrat,Latin America,1,1,10,1,10.0,9
143,Burundi,Africa,1,1,3,1,3.0,1
144,Bahrain,Middle East,1,1,0,0,0.0,6
145,Mauritius,Africa,1,1,3,0,3.0,5
146,Montenegro,Eastern Europe,1,1,0,0,0.0,4
147,Malawi,Africa,1,1,46,4,46.0,6
148,Andorra,Western Europe,1,1,8,0,8.0,4
