Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,488,475,10017,3644,20.53,169
2,China,Asiatic Region,439,435,11825,9550,26.94,138
3,United Kingdom,Western Europe,229,223,5049,1548,22.05,139
4,Germany,Western Europe,204,202,4041,1194,19.81,114
5,Italy,Western Europe,156,154,3157,1398,20.24,91
6,France,Western Europe,141,139,2561,863,18.16,106
7,Spain,Western Europe,136,132,1858,621,13.66,86
8,Australia,Pacific Region,134,133,4159,866,31.04,120
9,Russian Federation,Eastern Europe,128,126,1183,554,9.24,66
10,Canada,Northern America,123,122,2711,613,22.04,104
11,Argentina,Latin America,86,86,713,386,8.29,55
12,Czech Republic,Eastern Europe,67,67,386,119,5.76,40
13,Switzerland,Western Europe,65,63,1419,266,21.83,81
14,Netherlands,Western Europe,64,62,1399,219,21.86,89
15,Brazil,Latin America,60,60,1027,371,17.12,67
16,Poland,Eastern Europe,54,53,1023,315,18.94,58
17,Austria,Western Europe,47,47,705,110,15.0,59
18,Japan,Asiatic Region,45,44,662,221,14.71,75
19,Turkey,Middle East,45,45,520,203,11.56,53
20,Norway,Western Europe,45,44,1188,340,26.4,89
21,Hungary,Eastern Europe,38,38,795,114,20.92,35
22,India,Asiatic Region,36,35,567,322,15.75,61
23,Portugal,Western Europe,32,30,729,102,22.78,46
24,Belgium,Western Europe,30,29,573,137,19.1,61
25,Denmark,Western Europe,30,29,662,142,22.07,67
26,New Zealand,Pacific Region,28,26,766,146,27.36,58
27,South Korea,Asiatic Region,27,26,1047,161,38.78,48
28,Sweden,Western Europe,26,26,483,86,18.58,61
29,Slovakia,Eastern Europe,24,24,240,81,10.0,21
30,South Africa,Africa,24,24,606,70,25.25,47
31,Saudi Arabia,Middle East,20,20,1042,133,52.1,31
32,Iran,Middle East,19,19,345,172,18.16,41
33,Chile,Latin America,15,15,274,99,18.27,46
34,Egypt,Africa/Middle East,14,14,302,88,21.57,38
35,Romania,Eastern Europe,14,14,182,48,13.0,37
36,Mexico,Latin America,13,13,106,24,8.15,39
37,Slovenia,Eastern Europe,13,12,115,30,8.85,25
38,Malaysia,Asiatic Region,12,12,167,51,13.92,34
39,Croatia,Eastern Europe,10,10,87,28,8.7,23
40,Ecuador,Latin America,9,9,67,17,7.44,12
41,Bulgaria,Eastern Europe,9,9,219,14,24.33,28
42,Greece,Western Europe,9,9,573,52,63.67,40
43,Colombia,Latin America,8,8,126,33,15.75,22
