Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,26196,25379,1176814,571843,44.92,900
2,China,Asiatic Region,13836,13768,284418,212052,20.56,474
3,United Kingdom,Western Europe,8353,7940,388787,109472,46.54,625
4,Germany,Western Europe,7353,7142,326824,95166,44.45,586
5,France,Western Europe,5994,5864,273009,73349,45.55,532
6,Italy,Western Europe,4719,4594,181666,60418,38.5,447
7,Canada,Northern America,4648,4497,191915,39203,41.29,481
8,Japan,Asiatic Region,4362,4284,145263,38370,33.3,408
9,Russian Federation,Eastern Europe,3841,3797,64086,21210,16.68,289
10,Australia,Pacific Region,3398,3258,166622,41493,49.04,479
11,Spain,Western Europe,2917,2831,110889,30534,38.01,391
12,Netherlands,Western Europe,2691,2614,114371,18548,42.5,441
13,India,Asiatic Region,2324,2232,51443,23809,22.14,255
14,Switzerland,Western Europe,1759,1709,111371,18778,63.31,408
15,Brazil,Latin America,1452,1391,39674,14261,27.32,260
16,Norway,Western Europe,1249,1219,48658,9943,38.96,308
17,Sweden,Western Europe,1195,1161,53618,9092,44.87,323
18,Poland,Eastern Europe,1187,1164,27579,7669,23.23,231
19,South Korea,Asiatic Region,1066,1055,38784,6557,36.38,254
20,Belgium,Western Europe,998,968,42187,6388,42.27,294
21,Taiwan,Asiatic Region,883,864,27994,5724,31.7,235
22,Mexico,Latin America,862,851,23806,6488,27.62,203
23,Austria,Western Europe,856,832,32318,5611,37.75,277
24,South Africa,Africa,823,804,26051,6390,31.65,246
25,Denmark,Western Europe,816,792,41311,5965,50.63,298
26,Turkey,Middle East,808,787,20924,6871,25.9,194
27,Finland,Western Europe,800,781,36618,6906,45.77,247
28,Chile,Latin America,778,767,35419,8769,45.53,262
29,New Zealand,Pacific Region,690,655,27268,6332,39.52,229
30,Argentina,Latin America,667,659,18815,7026,28.21,182
31,Greece,Western Europe,659,645,24076,5126,36.53,213
32,Portugal,Western Europe,627,613,25353,5507,40.44,225
33,Czech Republic,Eastern Europe,619,610,15870,3773,25.64,170
34,Israel,Middle East,558,544,23346,3922,41.84,247
35,Iran,Middle East,514,512,13164,5351,25.61,160
36,Hungary,Eastern Europe,502,495,14736,2531,29.35,183
37,Hong Kong,Asiatic Region,446,426,20519,2364,46.01,231
38,Ireland,Western Europe,346,332,16317,1866,47.16,191
39,Ukraine,Eastern Europe,336,335,5997,1092,17.85,132
40,Egypt,Africa/Middle East,247,246,6216,1240,25.17,117
41,Slovenia,Eastern Europe,241,230,5087,1058,21.11,120
42,Croatia,Eastern Europe,223,220,5515,1239,24.73,114
43,Slovakia,Eastern Europe,221,218,3785,712,17.13,104
44,Nigeria,Africa,182,182,1751,537,9.62,82
45,Bulgaria,Eastern Europe,180,178,4467,587,24.82,101
46,Estonia,Eastern Europe,176,172,4273,1163,24.28,118
47,Romania,Eastern Europe,174,172,3745,918,21.52,124
48,Thailand,Asiatic Region,152,151,6052,889,39.82,130
49,Saudi Arabia,Middle East,152,150,3026,427,19.91,134
50,Iceland,Western Europe,148,143,5775,1363,39.02,156
51,Singapore,Asiatic Region,145,141,5852,476,40.36,153
52,Venezuela,Latin America,140,139,2598,352,18.56,99
53,Malaysia,Asiatic Region,124,124,3989,688,32.17,144
54,Indonesia,Asiatic Region,122,121,3263,842,26.75,116
55,Colombia,Latin America,120,119,2152,504,17.93,106
56,Lithuania,Eastern Europe,113,113,1302,383,11.52,75
57,Pakistan,Asiatic Region,104,104,3022,563,29.06,103
58,Morocco,Africa,98,98,3462,844,35.33,102
59,Algeria,Africa,95,95,1473,350,15.51,87
60,United Arab Emirates,Middle East,83,82,1321,156,15.92,86
61,Jordan,Middle East,78,78,2033,233,26.06,72
62,Kuwait,Middle East,75,74,541,118,7.21,56
63,Tunisia,Africa,72,70,1481,523,20.57,82
64,Oman,Middle East,70,70,2015,193,28.79,78
65,Puerto Rico,Latin America,67,67,2004,85,29.91,87
66,Viet Nam,Asiatic Region,59,59,3105,587,52.63,114
67,Ethiopia,Africa,57,56,3241,1084,56.86,97
68,Serbia,Eastern Europe,54,54,1142,409,21.15,86
69,Philippines,Asiatic Region,53,51,2056,318,38.79,101
70,Georgia,Eastern Europe,51,49,1067,291,20.92,80
71,Kenya,Africa,50,49,1751,175,35.02,92
72,Botswana,Africa,46,45,1147,138,24.93,65
73,Peru,Latin America,45,44,2257,297,50.16,100
74,Armenia,Eastern Europe,42,42,3959,279,94.26,87
75,Bangladesh,Asiatic Region,41,41,1572,315,38.34,94
76,Sri Lanka,Asiatic Region,39,39,1901,163,48.74,77
77,Kazakhstan,Asiatic Region,37,37,423,28,11.43,56
78,Tanzania,Africa,37,36,1383,121,37.38,71
79,Azerbaijan,Eastern Europe,36,35,399,53,11.08,48
80,Lebanon,Middle East,36,35,1195,180,33.19,65
81,Mongolia,Asiatic Region,34,34,4660,391,137.06,75
82,Ecuador,Latin America,32,32,1498,217,46.81,78
83,Belarus,Eastern Europe,31,30,378,11,12.19,49
84,Zimbabwe,Africa,30,30,1136,188,37.87,65
85,Namibia,Africa,30,30,2535,152,84.5,81
86,New Caledonia,Pacific Region,28,28,1024,152,36.57,78
87,Uzbekistan,Asiatic Region,28,28,1137,57,40.61,59
88,Cameroon,Africa,27,25,802,464,29.7,69
89,Ghana,Africa,26,26,530,96,20.38,63
90,Qatar,Middle East,26,26,171,17,6.58,51
91,Luxembourg,Western Europe,26,26,1225,135,47.12,79
92,Costa Rica,Latin America,25,23,919,96,36.76,75
93,Libya,Africa,25,25,289,10,11.56,38
94,Kyrgyzstan,Asiatic Region,24,24,595,90,24.79,53
95,Nepal,Asiatic Region,24,24,1509,95,62.88,96
96,Uruguay,Latin America,22,21,640,197,29.09,72
97,Cuba,Latin America,22,22,1163,56,52.86,53
98,Syrian Arab Republic,Middle East,22,22,801,85,36.41,55
99,Trinidad and Tobago,Latin America,20,19,402,51,20.1,51
100,Latvia,Eastern Europe,19,19,201,38,10.58,49
101,Bermuda,Latin America,18,17,1398,120,77.67,87
102,Bahrain,Middle East,18,12,278,7,15.44,33
103,Cyprus,Western Europe,18,17,1029,57,57.17,87
104,Côte d’Ivoire,Africa,18,18,920,28,51.11,45
105,Bolivia,Latin America,17,15,560,61,32.94,73
106,Monaco,Western Europe,17,16,956,50,56.24,69
107,Jamaica,Latin America,16,16,1036,51,64.75,50
108,Macedonia,Eastern Europe,15,15,390,57,26.0,36
109,Panama,Latin America,15,14,663,137,44.2,67
