Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2354,2114,21462,8127,9.12,243
2,India,Asiatic Region,1381,1213,4205,2098,3.04,74
3,United Kingdom,Western Europe,1218,1086,11515,3061,9.45,165
4,Russian Federation,Eastern Europe,1156,1074,5244,3673,4.54,51
5,China,Asiatic Region,919,778,6602,3568,7.18,102
6,Malaysia,Asiatic Region,816,806,3150,1240,3.86,60
7,Germany,Western Europe,813,697,6806,1513,8.37,119
8,Italy,Western Europe,729,631,7006,2354,9.61,114
9,France,Western Europe,689,641,3860,666,5.6,102
10,Australia,Pacific Region,618,514,5912,1323,9.57,117
11,Indonesia,Asiatic Region,616,614,3027,1936,4.91,43
12,Spain,Western Europe,518,496,3371,986,6.51,90
13,Poland,Eastern Europe,473,397,2828,1050,5.98,46
14,Brazil,Latin America,368,358,1745,581,4.74,48
15,Czech Republic,Eastern Europe,351,327,1879,717,5.35,47
16,Canada,Northern America,335,296,2973,468,8.87,107
17,Japan,Asiatic Region,297,254,1591,284,5.36,50
18,Greece,Western Europe,273,257,1257,367,4.6,59
19,Turkey,Middle East,271,233,1287,286,4.75,53
20,Netherlands,Western Europe,256,241,3413,524,13.33,110
21,South Africa,Africa,252,218,2397,582,9.51,48
22,Iran,Middle East,244,236,1012,189,4.15,36
23,Belgium,Western Europe,239,218,1651,196,6.91,76
24,South Korea,Asiatic Region,231,219,1387,291,6.0,49
25,Switzerland,Western Europe,214,181,2477,352,11.57,83
26,Slovakia,Eastern Europe,175,172,1497,573,8.55,39
27,Ukraine,Eastern Europe,167,136,867,579,5.19,30
28,Sweden,Western Europe,161,137,2059,335,12.79,77
29,Lithuania,Eastern Europe,159,131,1043,186,6.56,27
30,Romania,Eastern Europe,153,109,863,343,5.64,40
31,Taiwan,Asiatic Region,144,135,812,135,5.64,51
32,Thailand,Asiatic Region,138,134,458,100,3.32,31
33,Nigeria,Africa,138,122,697,310,5.05,33
34,Portugal,Western Europe,137,113,893,212,6.52,54
