Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3373,3256,125883,45554,37.32,565
2,United Kingdom,Western Europe,1141,1111,32039,6390,28.08,261
3,Germany,Western Europe,658,653,19345,3720,29.4,165
4,Australia,Pacific Region,554,538,14170,2489,25.58,174
5,Canada,Northern America,435,425,11987,1344,27.56,193
6,France,Western Europe,409,399,7739,1172,18.92,157
7,China,Asiatic Region,381,377,11100,4571,29.13,145
8,Spain,Western Europe,363,357,7489,1527,20.63,140
9,Taiwan,Asiatic Region,333,328,4425,826,13.29,86
10,Netherlands,Western Europe,301,297,12059,869,40.06,168
11,Italy,Western Europe,276,269,7787,1279,28.21,146
12,India,Asiatic Region,251,249,1988,692,7.92,67
13,Switzerland,Western Europe,238,228,8322,613,34.97,141
14,Hong Kong,Asiatic Region,208,203,10378,812,49.89,172
15,Japan,Asiatic Region,204,201,2672,509,13.1,88
16,South Korea,Asiatic Region,159,158,4164,478,26.19,107
17,Malaysia,Asiatic Region,120,119,1647,615,13.73,65
18,Belgium,Western Europe,115,113,3329,255,28.95,109
19,Russian Federation,Eastern Europe,115,112,497,289,4.32,44
20,Sweden,Western Europe,111,111,3255,333,29.32,121
21,Singapore,Asiatic Region,111,110,4806,190,43.3,116
22,New Zealand,Pacific Region,99,93,3072,186,31.03,95
23,Turkey,Middle East,98,93,1043,127,10.64,71
24,Greece,Western Europe,91,89,2170,220,23.85,83
25,Austria,Western Europe,90,89,2520,238,28.0,83
26,Denmark,Western Europe,88,88,3318,276,37.7,103
27,Finland,Western Europe,70,69,2440,189,34.86,100
28,Portugal,Western Europe,66,66,1705,168,25.83,73
29,Israel,Middle East,63,63,1256,125,19.94,89
30,South Africa,Africa,57,56,461,127,8.09,54
31,Colombia,Latin America,57,57,224,64,3.93,30
32,Brazil,Latin America,53,52,999,202,18.85,53
33,Czech Republic,Eastern Europe,52,52,479,171,9.21,49
34,Ireland,Western Europe,51,48,1117,134,21.9,79
35,Norway,Western Europe,48,48,1792,139,37.33,90
36,Thailand,Asiatic Region,46,46,629,92,13.67,49
37,Pakistan,Asiatic Region,42,42,534,113,12.71,45
38,Poland,Eastern Europe,40,40,390,71,9.75,41
39,United Arab Emirates,Middle East,39,39,1023,64,26.23,56
40,Tunisia,Africa,35,34,305,56,8.71,53
41,Iran,Middle East,34,34,544,92,16.0,33
42,Chile,Latin America,33,31,372,32,11.27,48
43,Mexico,Latin America,33,33,497,35,15.06,46
44,Argentina,Latin America,28,27,361,31,12.89,44
45,Jordan,Middle East,25,25,247,22,9.88,26
46,Indonesia,Asiatic Region,23,23,231,86,10.04,34
47,Nigeria,Africa,22,22,123,39,5.59,32
48,Ghana,Africa,20,20,150,28,7.5,37
49,Saudi Arabia,Middle East,20,20,327,35,16.35,49
50,Philippines,Asiatic Region,19,18,335,25,17.63,29
51,Hungary,Eastern Europe,18,18,279,42,15.5,32
52,Slovenia,Eastern Europe,18,17,292,35,16.22,30
53,Lithuania,Eastern Europe,18,18,373,131,20.72,44
54,Lebanon,Middle East,17,17,573,12,33.71,45
55,Cyprus,Western Europe,17,17,280,13,16.47,45
56,Romania,Eastern Europe,14,14,116,18,8.29,27
57,Luxembourg,Western Europe,13,13,194,7,14.92,35
58,Serbia,Eastern Europe,12,12,230,26,19.17,17
59,Egypt,Africa/Middle East,12,12,419,51,34.92,40
60,Kuwait,Middle East,12,12,110,11,9.17,25
61,Croatia,Eastern Europe,11,11,115,15,10.45,22
62,Bahrain,Middle East,10,10,193,10,19.3,25
