Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,5399,5362,273529,107956,50.66,791
2,United Kingdom,Western Europe,1495,1482,55458,13296,37.1,427
3,Canada,Northern America,644,640,20359,2373,31.61,316
4,Australia,Pacific Region,530,525,12730,2522,24.02,268
5,Germany,Western Europe,430,429,8482,1834,19.73,284
6,Netherlands,Western Europe,347,346,10712,1317,30.87,297
7,France,Western Europe,297,296,11892,1615,40.04,255
8,Spain,Western Europe,206,205,6848,1032,33.24,226
9,Italy,Western Europe,192,192,5900,1118,30.73,234
10,Japan,Asiatic Region,182,182,3461,623,19.02,147
11,Hong Kong,Asiatic Region,170,168,5996,444,35.27,227
12,Belgium,Western Europe,156,153,4337,387,27.8,193
13,Switzerland,Western Europe,147,147,5170,429,35.17,220
14,Sweden,Western Europe,141,141,7879,862,55.88,220
15,Norway,Western Europe,131,131,4315,541,32.94,170
16,Israel,Middle East,126,126,5537,372,43.94,154
17,South Korea,Asiatic Region,105,104,3015,288,28.71,168
18,India,Asiatic Region,103,103,4001,765,38.84,172
19,New Zealand,Pacific Region,102,102,3283,270,32.19,153
20,Czech Republic,Eastern Europe,89,89,301,70,3.38,78
21,South Africa,Africa,89,87,747,250,8.39,110
22,Taiwan,Asiatic Region,86,86,2059,237,23.94,154
23,Denmark,Western Europe,76,75,3270,267,43.03,182
24,Finland,Western Europe,74,74,1923,210,25.99,150
25,Singapore,Asiatic Region,69,69,2169,178,31.43,167
26,Austria,Western Europe,67,64,1879,143,28.04,157
27,Greece,Western Europe,66,65,1199,225,18.17,126
28,China,Asiatic Region,58,58,2824,1041,48.69,229
29,Ireland,Western Europe,50,50,1495,150,29.9,133
30,Mexico,Latin America,40,39,1087,64,27.18,100
31,Turkey,Middle East,39,39,912,194,23.38,141
32,Brazil,Latin America,38,38,810,156,21.32,118
33,Russian Federation,Eastern Europe,29,29,377,60,13.0,82
34,Argentina,Latin America,26,26,851,72,32.73,79
35,Nigeria,Africa,25,25,148,48,5.92,67
36,Malaysia,Asiatic Region,24,24,233,73,9.71,118
37,Chile,Latin America,19,19,404,31,21.26,95
38,Poland,Eastern Europe,19,19,461,57,24.26,74
39,Hungary,Eastern Europe,16,16,1150,50,71.88,71
40,Portugal,Western Europe,16,16,814,62,50.88,127
41,Indonesia,Asiatic Region,14,14,226,17,16.14,80
42,Slovakia,Eastern Europe,12,12,42,11,3.5,55
43,Philippines,Asiatic Region,11,11,637,42,57.91,63
44,Saudi Arabia,Middle East,10,10,386,13,38.6,92
45,Bangladesh,Asiatic Region,10,10,275,28,27.5,63
46,Cyprus,Western Europe,10,10,211,19,21.1,71
47,Kenya,Africa,10,10,194,41,19.4,80
48,Thailand,Asiatic Region,9,9,431,11,47.89,84
49,Pakistan,Asiatic Region,9,9,190,18,21.11,96
50,Ghana,Africa,7,7,188,28,26.86,68
51,Tanzania,Africa,7,7,181,28,25.86,47
52,Slovenia,Eastern Europe,7,7,96,10,13.71,59
53,Bulgaria,Eastern Europe,6,6,119,5,19.83,36
54,Sri Lanka,Asiatic Region,6,6,163,11,27.17,40
55,Iceland,Western Europe,6,6,270,14,45.0,42
56,Egypt,Africa/Middle East,6,6,42,5,7.0,78
57,Ethiopia,Africa,6,6,192,14,32.0,71
58,United Arab Emirates,Middle East,5,5,88,2,17.6,82
59,Cameroon,Africa,5,5,67,6,13.4,41
60,Zimbabwe,Africa,4,4,23,2,5.75,38
61,Barbados,Latin America,4,4,31,1,7.75,26
62,Papua New Guinea,Pacific Region,4,4,56,1,14.0,14
63,Venezuela,Latin America,3,3,57,6,19.0,27
64,Côte d’Ivoire,Africa,3,3,56,0,18.67,24
65,Colombia,Latin America,3,3,263,15,87.67,72
66,Costa Rica,Latin America,3,3,75,4,25.0,37
67,Zambia,Africa,3,3,17,0,5.67,32
68,Kuwait,Middle East,3,3,62,4,20.67,43
69,Romania,Eastern Europe,3,3,129,11,43.0,58
70,Lebanon,Middle East,3,3,41,4,13.67,69
71,Bahrain,Middle East,3,3,20,1,6.67,32
72,Macedonia,Eastern Europe,3,3,19,2,6.33,26
73,Jordan,Middle East,3,3,16,5,5.33,35
74,Iran,Middle East,3,3,8,0,2.67,110
75,Tunisia,Africa,2,2,2,2,1.0,83
76,Estonia,Eastern Europe,2,2,26,7,13.0,41
77,Honduras,Latin America,2,2,116,1,58.0,16
78,Croatia,Eastern Europe,2,2,2,1,1.0,39
79,Jamaica,Latin America,2,2,38,6,19.0,21
80,Mali,Africa,2,2,75,0,37.5,20
81,Uruguay,Latin America,2,2,10,0,5.0,30
82,Viet Nam,Asiatic Region,2,2,27,5,13.5,73
83,Peru,Latin America,1,1,14,0,14.0,48
84,Panama,Latin America,1,1,1,0,1.0,10
85,Oman,Middle East,1,1,46,0,46.0,49
86,Nicaragua,Latin America,1,1,9,0,9.0,16
87,Sudan,Africa,1,1,12,3,12.0,16
88,Niger,Africa,1,1,1,0,1.0,14
89,Mozambique,Africa,1,1,36,0,36.0,25
90,Macao,Asiatic Region,1,1,560,3,560.0,50
91,Mongolia,Asiatic Region,1,1,145,0,145.0,14
92,Senegal,Africa,1,1,5,0,5.0,30
93,Swaziland,Africa,1,1,27,0,27.0,13
94,Luxembourg,Western Europe,1,1,10,1,10.0,61
95,Lithuania,Eastern Europe,1,1,23,0,23.0,68
96,Cayman Islands,Latin America,1,1,101,0,101.0,5
97,Trinidad and Tobago,Latin America,1,1,2,0,2.0,23
98,French Guiana,Latin America,1,1,1,1,1.0,7
99,Fiji,Pacific Region,1,1,9,0,9.0,32
100,Ukraine,Eastern Europe,1,1,2,0,2.0,45
101,Uganda,Africa,1,1,19,7,19.0,42
102,Eritrea,Africa,1,1,0,0,0.0,5
103,Burkina Faso,Africa,1,1,19,0,19.0,25
104,Botswana,Africa,1,1,10,2,10.0,18
105,Albania,Eastern Europe,1,1,0,0,0.0,18
106,Brunei Darussalam,Asiatic Region,1,1,0,0,0.0,21
107,French Polynesia,Pacific Region,1,1,180,3,180.0,5
108,Puerto Rico,Latin America,1,1,9,0,9.0,23
