Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3867,3641,121341,35591,31.38,342
2,China,Asiatic Region,3822,3792,140919,88166,36.87,305
3,Germany,Western Europe,1450,1394,34024,7423,23.46,199
4,India,Asiatic Region,1298,1288,30393,10066,23.42,182
5,United Kingdom,Western Europe,1203,1134,39144,6993,32.54,224
6,Italy,Western Europe,971,941,24417,6135,25.15,168
7,South Korea,Asiatic Region,815,802,21700,3473,26.63,162
8,France,Western Europe,793,772,18820,3372,23.73,174
9,Japan,Asiatic Region,688,658,22380,3919,32.53,176
10,Spain,Western Europe,638,614,19032,3792,29.83,164
11,Australia,Pacific Region,559,548,19043,3037,34.07,176
12,Canada,Northern America,535,521,18471,2616,34.53,186
13,Malaysia,Asiatic Region,524,519,8896,1691,16.98,135
14,Iran,Middle East,517,516,17158,5119,33.19,135
15,Poland,Eastern Europe,504,498,5771,1799,11.45,85
16,Netherlands,Western Europe,413,404,11629,1656,28.16,167
17,Sweden,Western Europe,372,356,12108,1805,32.55,154
18,Russian Federation,Eastern Europe,368,359,4094,1686,11.13,82
19,Brazil,Latin America,343,335,6904,1865,20.13,114
20,Norway,Western Europe,334,330,6287,1256,18.82,128
21,Switzerland,Western Europe,300,290,11469,1281,38.23,148
22,Taiwan,Asiatic Region,264,262,6146,801,23.28,138
23,Turkey,Middle East,256,251,6472,1224,25.28,139
24,Denmark,Western Europe,255,247,10333,1481,40.52,145
25,Austria,Western Europe,242,234,4601,600,19.01,109
26,Colombia,Latin America,228,221,1574,577,6.9,53
27,Belgium,Western Europe,222,216,6560,779,29.55,111
28,Saudi Arabia,Middle East,221,219,10122,1696,45.8,115
29,Indonesia,Asiatic Region,208,205,1465,512,7.04,61
30,Latvia,Eastern Europe,195,194,1086,347,5.57,34
31,Singapore,Asiatic Region,189,184,11205,964,59.29,157
32,Portugal,Western Europe,181,177,4690,832,25.91,102
33,Finland,Western Europe,177,171,4692,686,26.51,98
34,Greece,Western Europe,172,159,5203,707,30.25,113
35,Czech Republic,Eastern Europe,171,170,2287,438,13.37,72
36,Hong Kong,Asiatic Region,153,150,8565,953,55.98,136
37,Mexico,Latin America,150,147,2694,455,17.96,81
38,Thailand,Asiatic Region,149,147,2772,359,18.6,88
39,Egypt,Africa/Middle East,147,146,5289,922,35.98,91
40,Romania,Eastern Europe,147,146,2197,411,14.95,62
41,Nigeria,Africa,120,114,2143,410,17.86,66
42,South Africa,Africa,111,110,3829,519,34.5,91
43,Argentina,Latin America,107,100,1650,294,15.42,61
44,Algeria,Africa,93,92,1917,402,20.61,69
45,Pakistan,Asiatic Region,92,92,5021,861,54.58,100
46,Israel,Middle East,88,85,6832,445,77.64,79
47,Ireland,Western Europe,80,78,2321,285,29.01,98
