Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,3565,3557,63685,42693,17.86,291
2,United States,Northern America,3476,3450,50107,17254,14.42,315
3,India,Asiatic Region,1104,1099,13995,5946,12.68,127
4,Japan,Asiatic Region,824,819,15657,3226,19.0,170
5,South Korea,Asiatic Region,812,809,13214,3356,16.27,151
6,Germany,Western Europe,748,745,17829,4502,23.84,189
7,France,Western Europe,663,653,10547,2215,15.91,151
8,Russian Federation,Eastern Europe,597,594,3577,2009,5.99,89
9,United Kingdom,Western Europe,587,586,19236,4274,32.77,179
10,Italy,Western Europe,414,406,9078,2297,21.93,131
11,Iran,Middle East,392,388,11277,3412,28.77,127
12,Spain,Western Europe,389,387,8745,1532,22.48,132
13,Canada,Northern America,318,313,7321,1051,23.02,152
14,Ukraine,Eastern Europe,246,246,731,469,2.97,42
15,Switzerland,Western Europe,232,228,11737,1287,50.59,136
16,Turkey,Middle East,231,226,4018,896,17.39,136
17,Sweden,Western Europe,200,199,4988,760,24.94,105
18,Australia,Pacific Region,187,186,7188,921,38.44,125
19,Poland,Eastern Europe,149,149,2085,507,13.99,64
20,Brazil,Latin America,147,147,1286,352,8.75,67
21,Egypt,Africa/Middle East,136,133,2933,772,21.57,87
22,Netherlands,Western Europe,135,133,3957,512,29.31,114
23,Saudi Arabia,Middle East,127,127,4619,502,36.37,94
24,Malaysia,Asiatic Region,127,126,5544,932,43.65,112
25,Belgium,Western Europe,122,122,2751,309,22.55,94
26,Czech Republic,Eastern Europe,119,119,1472,391,12.37,63
27,Taiwan,Asiatic Region,109,109,3969,267,36.41,90
28,Finland,Western Europe,106,104,1945,386,18.35,73
29,Austria,Western Europe,94,88,1188,179,12.64,65
30,Greece,Western Europe,74,73,1442,294,19.49,71
31,Pakistan,Asiatic Region,74,74,2205,260,29.8,57
32,Portugal,Western Europe,64,64,949,200,14.83,71
33,Norway,Western Europe,62,61,1557,221,25.11,61
34,Hungary,Eastern Europe,61,61,790,136,12.95,53
35,Denmark,Western Europe,61,61,1858,281,30.46,84
36,Serbia,Eastern Europe,59,59,380,102,6.44,33
37,Singapore,Asiatic Region,59,59,6026,464,102.14,128
38,Thailand,Asiatic Region,55,55,1411,138,25.65,65
39,Hong Kong,Asiatic Region,55,54,2672,205,48.58,102
40,Mexico,Latin America,48,46,285,77,5.94,43
41,Slovenia,Eastern Europe,47,45,489,124,10.4,46
42,South Africa,Africa,46,46,950,140,20.65,53
43,Slovakia,Eastern Europe,43,43,225,63,5.23,33
44,Indonesia,Asiatic Region,41,41,622,145,15.17,36
45,United Arab Emirates,Middle East,41,40,515,105,12.56,47
46,Romania,Eastern Europe,36,36,674,197,18.72,51
47,Algeria,Africa,36,35,964,166,26.78,63
48,Argentina,Latin America,32,31,807,63,25.22,42
49,Israel,Middle East,31,30,483,46,15.58,52
50,Ireland,Western Europe,25,25,519,46,20.76,48
51,Lithuania,Eastern Europe,23,23,277,37,12.04,29
