Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,27472,27350,494880,341537,18.01,436
2,United States,Northern America,9514,9288,164625,36706,17.3,507
3,India,Asiatic Region,6754,6309,82740,30963,12.25,302
4,United Kingdom,Western Europe,4380,4263,80802,13919,18.45,333
5,Italy,Western Europe,3810,3616,53513,13136,14.05,235
6,South Korea,Asiatic Region,3801,3747,58339,11428,15.35,251
7,Spain,Western Europe,3668,3557,46965,10361,12.8,254
8,Germany,Western Europe,3631,3550,56625,11233,15.59,308
9,Australia,Pacific Region,2715,2627,64998,8771,23.94,282
10,Canada,Northern America,2436,2373,43833,5597,17.99,294
11,Iran,Middle East,2375,2349,46307,13431,19.5,191
12,Japan,Asiatic Region,2135,2105,30188,4881,14.14,274
13,Russian Federation,Eastern Europe,2089,2049,11447,3516,5.48,106
14,Poland,Eastern Europe,1998,1982,23431,7564,11.73,126
15,France,Western Europe,1735,1680,26859,3541,15.48,251
16,Brazil,Latin America,1635,1609,21522,5037,13.16,174
17,Malaysia,Asiatic Region,1533,1420,28114,5842,18.34,253
18,Turkey,Middle East,1469,1433,25150,5085,17.12,225
19,Taiwan,Asiatic Region,1427,1400,21120,2923,14.8,204
20,Pakistan,Asiatic Region,1357,1345,21753,4897,16.03,148
21,Netherlands,Western Europe,1318,1292,23238,3017,17.63,229
22,Saudi Arabia,Middle East,1295,1269,29116,5228,22.48,187
23,Sweden,Western Europe,1273,1236,23150,2813,18.19,221
24,Denmark,Western Europe,1135,1114,22429,2933,19.76,215
25,Portugal,Western Europe,1106,1044,15308,2480,13.84,159
26,Egypt,Africa/Middle East,998,941,16713,4699,16.75,143
27,Hong Kong,Asiatic Region,960,934,24127,2830,25.13,204
28,Indonesia,Asiatic Region,913,885,5964,1414,6.53,96
29,Viet Nam,Asiatic Region,848,817,17171,2279,20.25,100
30,Singapore,Asiatic Region,841,819,23581,2411,28.04,233
31,Norway,Western Europe,811,789,11631,1464,14.34,147
32,Switzerland,Western Europe,749,740,14877,1613,19.86,213
33,Thailand,Asiatic Region,746,725,8469,1139,11.35,133
34,Greece,Western Europe,710,679,10305,1686,14.51,173
35,South Africa,Africa,696,663,9411,1513,13.52,124
36,Belgium,Western Europe,687,668,11486,1349,16.72,175
37,Finland,Western Europe,670,655,11868,1399,17.71,145
38,United Arab Emirates,Middle East,649,579,8502,1418,13.1,110
39,Mexico,Latin America,642,637,7506,1194,11.69,122
40,Romania,Eastern Europe,630,608,6916,1104,10.98,96
41,Czech Republic,Eastern Europe,624,618,7713,1258,12.36,93
42,Austria,Western Europe,541,529,7382,923,13.65,145
43,Chile,Latin America,453,445,5770,754,12.74,86
44,Colombia,Latin America,412,403,4382,833,10.64,84
45,Bulgaria,Eastern Europe,398,392,898,298,2.26,57
46,Nigeria,Africa,388,372,4941,868,12.73,102
47,Morocco,Africa,377,358,3423,812,9.08,76
48,Ireland,Western Europe,358,348,6333,685,17.69,132
49,New Zealand,Pacific Region,349,345,4943,491,14.16,111
50,Philippines,Asiatic Region,333,319,2968,469,8.91,64
51,Serbia,Eastern Europe,310,301,2627,367,8.47,79
52,Hungary,Eastern Europe,306,302,3448,584,11.27,90
53,Ukraine,Eastern Europe,304,299,1884,787,6.2,55
54,Algeria,Africa,295,282,3452,617,11.7,108
55,Bangladesh,Asiatic Region,294,288,5178,1045,17.61,90
56,Croatia,Eastern Europe,290,281,3626,546,12.5,79
57,Qatar,Middle East,279,274,5102,867,18.29,86
58,Iraq,Middle East,278,275,4248,746,15.28,86
59,Tunisia,Africa,263,250,2339,335,8.89,93
60,Lithuania,Eastern Europe,256,254,3435,455,13.42,72
61,Sri Lanka,Asiatic Region,249,241,1442,260,5.79,57
62,Slovakia,Eastern Europe,242,239,2721,531,11.24,57
63,Israel,Middle East,214,207,3774,392,17.64,135
