Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,66715,66324,425555,312169,6.38,473
2,United States,Northern America,20276,19637,124235,32547,6.13,587
3,India,Asiatic Region,16127,15134,78813,31879,4.89,337
4,Russian Federation,Eastern Europe,9809,9670,16117,6811,1.64,148
5,United Kingdom,Western Europe,8130,7881,64754,11513,7.96,391
6,Germany,Western Europe,7869,7616,44079,10235,5.6,353
7,Italy,Western Europe,6301,5976,36584,10000,5.81,265
8,South Korea,Asiatic Region,6014,5945,43066,9349,7.16,273
9,Japan,Asiatic Region,5152,5026,24765,5172,4.81,316
10,Iran,Middle East,4995,4892,42480,12533,8.5,216
11,Spain,Western Europe,4924,4774,30027,6334,6.1,299
12,Australia,Pacific Region,4758,4621,48196,7584,10.13,324
13,Canada,Northern America,4562,4439,33824,5041,7.41,353
14,France,Western Europe,4065,3997,22138,3757,5.45,302
15,Poland,Eastern Europe,3912,3860,20028,7488,5.12,142
16,Brazil,Latin America,3678,3570,17020,4194,4.63,203
17,Malaysia,Asiatic Region,3290,3133,25973,5572,7.89,259
18,Saudi Arabia,Middle East,3246,3167,30341,7222,9.35,210
19,Indonesia,Asiatic Region,3097,3068,6798,2104,2.2,109
20,Turkey,Middle East,2745,2703,21652,5326,7.89,251
21,Netherlands,Western Europe,2264,2170,16879,2279,7.46,279
22,Pakistan,Asiatic Region,2262,2224,22449,6167,9.92,166
23,Taiwan,Asiatic Region,2241,2202,15905,2691,7.1,229
24,Egypt,Africa/Middle East,2229,2140,18624,5519,8.36,159
25,Sweden,Western Europe,2148,2102,18590,2415,8.65,252
26,Ukraine,Eastern Europe,1952,1931,3789,2482,1.94,71
27,Denmark,Western Europe,1935,1887,14868,2200,7.68,244
28,Portugal,Western Europe,1769,1613,11234,1859,6.35,175
29,Norway,Western Europe,1618,1576,10050,1619,6.21,190
30,Switzerland,Western Europe,1518,1476,10587,1472,6.97,249
