Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,10420,10246,75050,56634,7.2,202
2,United States,Northern America,6802,6719,30852,13293,4.54,318
3,India,Asiatic Region,3099,3039,10230,4975,3.3,108
4,United Kingdom,Western Europe,1563,1515,13134,2705,8.4,180
5,Italy,Western Europe,1455,1401,7688,2681,5.28,137
6,Germany,Western Europe,1421,1389,7141,2237,5.03,145
7,Russian Federation,Eastern Europe,1372,1300,3460,1936,2.52,82
8,France,Western Europe,985,931,5554,978,5.64,147
9,Canada,Northern America,880,865,7234,1335,8.22,157
10,Japan,Asiatic Region,873,852,3965,1119,4.54,111
11,South Korea,Asiatic Region,755,727,5145,1154,6.81,119
12,Australia,Pacific Region,701,689,8160,1387,11.64,143
13,Brazil,Latin America,611,603,2629,728,4.3,72
14,Iran,Middle East,607,607,6103,1999,10.05,108
15,Spain,Western Europe,571,533,2940,728,5.15,106
16,Netherlands,Western Europe,450,433,3255,544,7.23,121
17,Poland,Eastern Europe,425,402,1725,625,4.06,70
18,Malaysia,Asiatic Region,419,397,1232,323,2.94,62
19,Turkey,Middle East,413,407,3043,720,7.37,94
20,Ukraine,Eastern Europe,339,254,1402,1131,4.14,31
21,Indonesia,Asiatic Region,271,271,555,210,2.05,33
22,Sweden,Western Europe,246,242,1710,251,6.95,106
23,Taiwan,Asiatic Region,238,234,1502,219,6.31,91
24,Belgium,Western Europe,238,219,1574,311,6.61,100
25,Singapore,Asiatic Region,224,215,2621,381,11.7,102
26,Austria,Western Europe,204,155,517,124,2.53,71
27,Saudi Arabia,Middle East,203,199,2119,449,10.44,75
28,Hong Kong,Asiatic Region,192,181,2494,351,12.99,106
29,Tunisia,Africa,184,178,575,150,3.13,43
30,Czech Republic,Eastern Europe,182,178,416,115,2.29,43
31,Portugal,Western Europe,179,168,1402,216,7.83,89
32,Switzerland,Western Europe,175,168,1352,232,7.73,81
33,Israel,Middle East,165,163,517,122,3.13,92
34,Finland,Western Europe,163,157,1119,202,6.87,77
35,Slovakia,Eastern Europe,157,146,453,168,2.89,30
36,Viet Nam,Asiatic Region,156,155,2220,430,14.23,53
37,South Africa,Africa,154,145,1197,192,7.77,69
38,Egypt,Africa/Middle East,143,139,916,359,6.41,63
39,Norway,Western Europe,137,134,1223,184,8.93,86
40,Romania,Eastern Europe,117,97,342,79,2.92,47
41,United Arab Emirates,Middle East,112,111,694,83,6.2,47
42,Greece,Western Europe,109,106,948,195,8.7,81
43,Algeria,Africa,109,109,509,97,4.67,49
44,Mexico,Latin America,104,103,495,121,4.76,51
45,Thailand,Asiatic Region,102,101,310,67,3.04,52
46,Pakistan,Asiatic Region,90,90,717,219,7.97,54
47,Denmark,Western Europe,84,83,698,127,8.31,65
48,Hungary,Eastern Europe,73,71,305,135,4.18,37
49,Iraq,Middle East,65,64,486,81,7.48,32
50,Ireland,Western Europe,64,62,568,97,8.88,52
51,New Zealand,Pacific Region,62,60,476,58,7.68,46
52,Nigeria,Africa,61,59,184,55,3.02,29
53,Argentina,Latin America,59,57,166,50,2.81,39
54,Serbia,Eastern Europe,59,52,389,69,6.59,39
55,Chile,Latin America,56,56,291,84,5.2,48
56,Colombia,Latin America,51,47,353,53,6.92,31
57,Croatia,Eastern Europe,40,37,249,77,6.23,27
58,Kazakhstan,Asiatic Region,39,39,211,46,5.41,19
59,Qatar,Middle East,38,38,1005,54,26.45,45
60,Philippines,Asiatic Region,37,37,106,55,2.86,16
61,Jordan,Middle East,35,35,179,52,5.11,30
62,Luxembourg,Western Europe,32,32,325,52,10.16,30
63,Bangladesh,Asiatic Region,32,32,205,32,6.41,25
64,Morocco,Africa,32,31,128,26,4.0,29
65,Peru,Latin America,32,32,129,55,4.03,21
66,Macao,Asiatic Region,31,31,481,48,15.52,33
67,Ethiopia,Africa,29,29,162,23,5.59,19
68,Ecuador,Latin America,28,28,40,18,1.43,16
69,Slovenia,Eastern Europe,28,27,242,51,8.64,45
70,Belarus,Eastern Europe,27,26,129,10,4.78,13
71,Kuwait,Middle East,26,26,181,36,6.96,29
72,Lithuania,Eastern Europe,19,19,75,23,3.95,18
73,Bulgaria,Eastern Europe,19,19,35,12,1.84,36
74,Estonia,Eastern Europe,18,18,131,16,7.28,16
75,Georgia,Eastern Europe,15,14,101,45,6.73,23
76,Oman,Middle East,15,15,69,9,4.6,25
77,Cyprus,Western Europe,14,14,56,6,4.0,23
78,Botswana,Africa,12,12,33,9,2.75,5
79,Venezuela,Latin America,12,12,69,14,5.75,20
80,Azerbaijan,Eastern Europe,11,11,222,36,20.18,21
81,Latvia,Eastern Europe,11,10,42,14,3.82,14
82,Lebanon,Middle East,10,10,103,20,10.3,30
83,Costa Rica,Latin America,9,9,33,2,3.67,8
