Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,1784,1767,8937,6061,5.01,62
2,United States,Northern America,1202,1135,4327,1228,3.6,127
3,Italy,Western Europe,807,719,2850,1173,3.53,61
4,United Kingdom,Western Europe,694,621,3629,936,5.23,110
5,Japan,Asiatic Region,580,572,745,285,1.28,42
6,Australia,Pacific Region,496,449,3695,1019,7.45,82
7,Turkey,Middle East,463,441,1698,679,3.67,38
8,India,Asiatic Region,450,401,3270,1193,7.27,58
9,Iran,Middle East,446,427,4118,1321,9.23,47
10,Spain,Western Europe,380,356,903,323,2.38,38
11,South Korea,Asiatic Region,347,335,1017,291,2.93,38
12,Germany,Western Europe,271,252,820,249,3.03,52
13,Iraq,Middle East,266,264,1276,526,4.8,29
14,Canada,Northern America,230,223,1524,239,6.63,59
15,Portugal,Western Europe,187,153,1273,258,6.81,38
16,Egypt,Africa/Middle East,176,140,835,275,4.74,41
17,Malaysia,Asiatic Region,174,162,1704,491,9.79,45
18,Brazil,Latin America,162,158,705,239,4.35,32
19,France,Western Europe,161,151,663,135,4.12,41
20,Poland,Eastern Europe,150,141,641,233,4.27,21
21,Netherlands,Western Europe,143,122,527,91,3.69,71
22,United Arab Emirates,Middle East,132,66,334,99,2.53,28
23,Saudi Arabia,Middle East,129,124,1230,352,9.53,35
24,New Zealand,Pacific Region,128,126,428,94,3.34,34
25,Indonesia,Asiatic Region,125,120,434,193,3.47,20
26,Hong Kong,Asiatic Region,118,116,930,203,7.88,58
27,Chile,Latin America,113,105,243,99,2.15,22
28,Belgium,Western Europe,105,98,545,85,5.19,38
29,Greece,Western Europe,95,87,266,112,2.8,30
30,Denmark,Western Europe,87,71,262,89,3.01,41
31,Switzerland,Western Europe,81,79,345,86,4.26,38
32,Sweden,Western Europe,79,72,559,77,7.08,41
33,Nigeria,Africa,71,64,392,70,5.52,28
34,South Africa,Africa,68,64,365,95,5.37,27
35,Russian Federation,Eastern Europe,68,66,368,249,5.41,21
36,Viet Nam,Asiatic Region,68,64,665,140,9.78,25
37,Pakistan,Asiatic Region,66,60,723,249,10.95,26
38,Norway,Western Europe,66,52,314,67,4.76,29
39,Austria,Western Europe,66,63,261,55,3.95,27
40,Czech Republic,Eastern Europe,63,61,111,27,1.76,18
41,Mexico,Latin America,62,61,158,27,2.55,17
42,Algeria,Africa,62,55,295,71,4.76,20
43,Morocco,Africa,60,42,295,121,4.92,18
44,Colombia,Latin America,59,55,159,15,2.69,17
45,Singapore,Asiatic Region,58,55,393,77,6.78,48
46,Lebanon,Middle East,57,53,123,31,2.16,16
