Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,8220,7942,264691,97044,32.2,632
2,China,Asiatic Region,7781,7713,152925,86472,19.65,300
3,India,Asiatic Region,2349,2332,31819,11356,13.55,196
4,South Korea,Asiatic Region,2262,2248,37343,7137,16.51,221
5,Germany,Western Europe,2142,2080,55541,12155,25.93,308
6,United Kingdom,Western Europe,2123,2038,59910,11204,28.22,338
7,Italy,Western Europe,1635,1585,32357,7905,19.79,218
8,Japan,Asiatic Region,1562,1538,26710,6496,17.1,252
9,Canada,Northern America,1462,1424,29150,5359,19.94,248
10,France,Western Europe,1383,1274,25850,5161,18.69,227
11,Australia,Pacific Region,1029,1000,29786,4923,28.95,225
12,Spain,Western Europe,854,843,22409,3948,26.24,192
13,Taiwan,Asiatic Region,830,818,11587,1714,13.96,146
14,Netherlands,Western Europe,703,670,23535,3096,33.48,233
15,Brazil,Latin America,647,640,9580,2405,14.81,123
16,Iran,Middle East,632,630,12623,3905,19.97,123
17,Switzerland,Western Europe,624,612,21345,2662,34.21,241
18,Russian Federation,Eastern Europe,582,572,4736,2134,8.14,109
19,Singapore,Asiatic Region,487,478,16629,1770,34.15,190
20,Poland,Eastern Europe,428,425,5526,1512,12.91,93
21,Sweden,Western Europe,427,414,12907,1517,30.23,167
22,Belgium,Western Europe,412,397,10869,1446,26.38,160
23,Turkey,Middle East,406,401,7913,1332,19.49,110
24,Portugal,Western Europe,400,388,8793,1658,21.98,128
25,Malaysia,Asiatic Region,357,357,6486,1105,18.17,95
26,Czech Republic,Eastern Europe,338,336,3924,747,11.61,97
27,Austria,Western Europe,324,311,6806,1062,21.01,146
28,Denmark,Western Europe,302,293,10124,1481,33.52,158
29,Saudi Arabia,Middle East,294,293,7126,950,24.24,107
30,Hong Kong,Asiatic Region,269,263,11177,891,41.55,135
31,Greece,Western Europe,259,255,3269,587,12.62,89
32,Mexico,Latin America,244,242,2464,471,10.1,82
33,Ireland,Western Europe,227,220,6451,976,28.42,141
34,Finland,Western Europe,224,218,5457,695,24.36,122
35,Israel,Middle East,220,214,5964,632,27.11,146
36,Egypt,Africa/Middle East,196,196,2737,642,13.96,75
37,Norway,Western Europe,192,189,3998,510,20.82,87
38,Argentina,Latin America,190,190,1441,239,7.58,68
39,New Zealand,Pacific Region,161,160,2766,561,17.18,98
40,Thailand,Asiatic Region,150,149,2240,276,14.93,76
41,Romania,Eastern Europe,147,147,1687,466,11.48,64
42,South Africa,Africa,132,128,2067,386,15.66,75
43,Colombia,Latin America,128,128,1019,107,7.96,46
44,Viet Nam,Asiatic Region,119,119,1040,103,8.74,46
45,Pakistan,Asiatic Region,112,112,2432,487,21.71,67
46,Hungary,Eastern Europe,110,108,1536,194,13.96,59
47,Ukraine,Eastern Europe,103,102,991,445,9.62,51
48,Serbia,Eastern Europe,100,100,996,159,9.96,52
49,Slovenia,Eastern Europe,96,96,2264,311,23.58,70
50,Slovakia,Eastern Europe,93,93,689,94,7.41,48
51,Lebanon,Middle East,81,80,548,81,6.77,31
52,Chile,Latin America,70,69,1146,145,16.37,54
53,Indonesia,Asiatic Region,63,63,558,150,8.86,37
54,Tunisia,Africa,62,59,913,183,14.73,44
55,United Arab Emirates,Middle East,55,53,729,94,13.25,48
56,Cuba,Latin America,51,51,212,30,4.16,36
57,Croatia,Eastern Europe,49,48,319,76,6.51,35
58,Cyprus,Western Europe,46,44,569,66,12.37,39
59,Iraq,Middle East,42,42,757,204,18.02,43
60,Bulgaria,Eastern Europe,42,41,216,41,5.14,48
61,Qatar,Middle East,41,41,824,84,20.1,45
62,Estonia,Eastern Europe,41,40,806,79,19.66,38
63,Bangladesh,Asiatic Region,36,36,365,56,10.14,43
64,Latvia,Eastern Europe,35,34,443,92,12.66,34
65,Ecuador,Latin America,35,35,202,51,5.77,20
66,Algeria,Africa,32,32,457,64,14.28,32
67,Lithuania,Eastern Europe,31,30,433,83,13.97,39
68,Uruguay,Latin America,25,25,219,26,8.76,27
69,Macao,Asiatic Region,24,23,271,32,11.29,38
70,Venezuela,Latin America,24,24,124,37,5.17,28
71,Jordan,Middle East,23,23,452,45,19.65,42
72,Nigeria,Africa,20,20,231,53,11.55,32
73,Kazakhstan,Asiatic Region,17,17,159,35,9.35,26
74,Luxembourg,Western Europe,17,15,1436,36,84.47,34
75,Philippines,Asiatic Region,16,16,215,36,13.44,25
76,Peru,Latin America,15,15,88,11,5.87,22
77,Belarus,Eastern Europe,13,13,60,24,4.62,30
78,Iceland,Western Europe,11,11,926,4,84.18,34
79,Kuwait,Middle East,10,10,62,8,6.2,27
80,Morocco,Africa,10,10,119,14,11.9,34
81,Malta,Western Europe,9,9,183,11,20.33,19
82,Sudan,Africa,9,9,36,5,4.0,14
83,Sri Lanka,Asiatic Region,9,8,80,10,8.89,19
84,Azerbaijan,Eastern Europe,9,9,27,3,3.0,13
85,Bahrain,Middle East,9,9,258,9,28.67,19
86,Oman,Middle East,9,9,101,13,11.22,22
87,Macedonia,Eastern Europe,8,8,64,15,8.0,16
88,Ethiopia,Africa,8,8,22,4,2.75,26
89,Puerto Rico,Latin America,8,8,163,3,20.38,26
90,Georgia,Eastern Europe,8,8,144,9,18.0,23
91,Nepal,Asiatic Region,8,8,39,3,4.88,17
92,Brunei Darussalam,Asiatic Region,8,8,149,25,18.63,16
93,Ghana,Africa,8,8,57,4,7.13,13
94,Kenya,Africa,7,7,58,7,8.29,19
95,Bosnia and Herzegovina,Eastern Europe,7,7,221,10,31.57,22
96,Uganda,Africa,7,7,14,2,2.0,11
97,Liechtenstein,Western Europe,6,6,329,24,54.83,16
98,Palestine,Middle East,5,5,202,9,40.4,17
99,Mongolia,Asiatic Region,5,5,29,2,5.8,11
100,Armenia,Eastern Europe,4,4,67,6,16.75,13
101,Rwanda,Africa,4,4,15,3,3.75,10
102,Panama,Latin America,3,3,80,4,26.67,15
103,Costa Rica,Latin America,3,3,12,7,4.0,16
