Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1610,1525,41446,10413,25.74,288
2,United Kingdom,Western Europe,474,464,17926,2955,37.82,245
3,Germany,Western Europe,440,433,4552,670,10.35,168
4,Japan,Asiatic Region,356,355,9152,1121,25.71,163
5,Canada,Northern America,286,277,8546,1295,29.88,193
6,China,Asiatic Region,275,274,6831,3414,24.84,246
7,India,Asiatic Region,196,189,3595,1045,18.34,172
8,France,Western Europe,183,183,5270,899,28.8,176
9,Hong Kong,Asiatic Region,156,156,7062,1064,45.27,186
10,Italy,Western Europe,150,147,6166,1154,41.11,181
11,Australia,Pacific Region,133,130,5767,1114,43.36,193
12,South Korea,Asiatic Region,128,127,3508,419,27.41,152
13,Taiwan,Asiatic Region,123,122,3462,391,28.15,135
14,Singapore,Asiatic Region,98,98,4071,296,41.54,148
15,Turkey,Middle East,94,94,2835,571,30.16,164
16,Netherlands,Western Europe,93,92,2063,234,22.18,149
17,Spain,Western Europe,83,82,3177,649,38.28,164
18,Sweden,Western Europe,77,76,3993,412,51.86,143
19,Switzerland,Western Europe,71,67,2052,150,28.9,166
20,Greece,Western Europe,67,65,4417,353,65.93,146
21,Denmark,Western Europe,56,54,3340,337,59.64,154
22,Brazil,Latin America,53,52,1416,101,26.72,121
23,Egypt,Africa/Middle East,41,41,1334,90,32.54,106
24,Poland,Eastern Europe,39,38,1699,199,43.56,87
25,Mexico,Latin America,34,34,1196,88,35.18,76
26,Belgium,Western Europe,34,34,1750,168,51.47,136
27,Israel,Middle East,33,33,1170,81,35.45,86
28,Finland,Western Europe,32,31,1745,166,54.53,101
29,New Zealand,Pacific Region,29,27,810,76,27.93,83
30,Portugal,Western Europe,28,27,1449,176,51.75,134
31,Thailand,Asiatic Region,28,28,630,93,22.5,106
32,Saudi Arabia,Middle East,27,27,1670,112,61.85,114
33,South Africa,Africa,26,26,1189,74,45.73,86
34,Norway,Western Europe,26,25,1015,64,39.04,107
35,Iran,Middle East,24,24,379,81,15.79,144
36,Argentina,Latin America,23,22,497,23,21.61,61
37,Malaysia,Asiatic Region,21,21,831,214,39.57,143
38,Austria,Western Europe,21,21,143,25,6.81,91
39,Hungary,Eastern Europe,16,16,107,22,6.69,54
40,Czech Republic,Eastern Europe,15,15,459,37,30.6,72
41,Jordan,Middle East,14,14,373,58,26.64,56
42,Kuwait,Middle East,11,11,338,9,30.73,50
43,Ireland,Western Europe,11,11,550,194,50.0,93
44,Nigeria,Africa,10,10,362,66,36.2,61
45,Russian Federation,Eastern Europe,10,10,74,33,7.4,53
46,Lebanon,Middle East,9,9,272,24,30.22,57
47,Slovenia,Eastern Europe,8,8,285,9,35.63,70
48,Bulgaria,Eastern Europe,8,8,293,22,36.63,27
49,United Arab Emirates,Middle East,8,8,151,5,18.88,80
50,Slovakia,Eastern Europe,7,7,160,13,22.86,44
51,Romania,Eastern Europe,7,7,202,14,28.86,61
52,Oman,Middle East,7,7,557,18,79.57,46
53,Chile,Latin America,7,7,187,33,26.71,56
54,Indonesia,Asiatic Region,6,6,105,29,17.5,56
55,Algeria,Africa,6,6,14,7,2.33,98
56,Colombia,Latin America,6,6,94,8,15.67,69
57,Bangladesh,Asiatic Region,6,6,64,6,10.67,50
58,Venezuela,Latin America,5,5,132,4,26.4,27
59,Philippines,Asiatic Region,5,5,101,1,20.2,39
60,Croatia,Eastern Europe,5,5,155,10,31.0,59
61,Serbia,Eastern Europe,4,4,302,10,75.5,54
62,Cuba,Latin America,4,4,3,1,0.75,29
63,Puerto Rico,Latin America,4,3,34,3,8.5,22
64,Cyprus,Western Europe,3,3,351,9,117.0,57
65,Ukraine,Eastern Europe,3,3,20,2,6.67,29
66,Bahrain,Middle East,3,3,67,2,22.33,27
67,Pakistan,Asiatic Region,2,2,58,2,29.0,80
68,Iceland,Western Europe,2,2,208,3,104.0,32
69,Cameroon,Africa,2,2,34,18,17.0,33
70,Tunisia,Africa,2,2,113,8,56.5,58
71,Morocco,Africa,2,2,122,10,61.0,45
72,Lithuania,Eastern Europe,2,2,4,0,2.0,50
73,Malawi,Africa,1,1,34,2,34.0,12
74,Macao,Asiatic Region,1,1,39,0,39.0,37
75,Nepal,Asiatic Region,1,1,10,0,10.0,24
76,Costa Rica,Latin America,1,1,0,0,0.0,11
77,Moldova,Eastern Europe,1,1,2,0,2.0,4
78,Sri Lanka,Asiatic Region,1,1,8,5,8.0,39
79,Botswana,Africa,1,1,10,0,10.0,13
80,Liechtenstein,Western Europe,1,1,9,1,9.0,10
81,Estonia,Eastern Europe,1,1,3,1,3.0,35
82,Turkmenistan,Asiatic Region,1,1,9,0,9.0,1
83,Iraq,Middle East,1,1,9,0,9.0,66
84,Uganda,Africa,1,1,5,1,5.0,11
85,Honduras,Latin America,1,1,0,0,0.0,5
