Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,6234,6041,138311,44158,22.19,389
2,China,Asiatic Region,5861,5827,89943,62989,15.35,274
3,United Kingdom,Western Europe,1705,1615,41748,8141,24.49,270
4,Germany,Western Europe,1299,1284,19871,3973,15.3,202
5,Italy,Western Europe,1171,1138,30250,8672,25.83,203
6,Canada,Northern America,1114,1083,31212,5778,28.02,226
7,Japan,Asiatic Region,1086,1069,19008,4227,17.5,196
8,India,Asiatic Region,1001,961,19217,5659,19.2,183
9,France,Western Europe,851,835,20540,4080,24.14,190
10,Australia,Pacific Region,826,798,33430,6120,40.47,232
11,Spain,Western Europe,817,788,20518,4388,25.11,174
12,South Korea,Asiatic Region,777,769,20669,3170,26.6,176
13,Iran,Middle East,716,708,22162,7118,30.95,165
14,Netherlands,Western Europe,512,499,15361,2405,30.0,200
15,Taiwan,Asiatic Region,468,462,13087,1787,27.96,155
16,Portugal,Western Europe,396,384,12432,2285,31.39,163
17,Turkey,Middle East,393,375,11907,2070,30.3,165
18,Hong Kong,Asiatic Region,369,346,14980,2242,40.6,206
19,Brazil,Latin America,336,329,7889,1356,23.48,125
20,Switzerland,Western Europe,334,320,10183,1361,30.49,172
21,Poland,Eastern Europe,332,329,5228,1341,15.75,105
22,Greece,Western Europe,299,289,10838,1652,36.25,175
23,Belgium,Western Europe,284,278,8627,1060,30.38,148
24,Sweden,Western Europe,276,267,7068,1017,25.61,156
25,Austria,Western Europe,263,256,3024,357,11.5,106
26,Singapore,Asiatic Region,212,205,7466,760,35.22,173
27,Czech Republic,Eastern Europe,208,205,2639,458,12.69,80
28,Lithuania,Eastern Europe,202,200,1858,752,9.2,58
29,Denmark,Western Europe,187,182,6404,965,34.25,148
30,New Zealand,Pacific Region,167,163,5718,1012,34.24,115
31,Mexico,Latin America,136,132,2100,301,15.44,88
32,South Africa,Africa,132,131,2341,289,17.73,88
33,Croatia,Eastern Europe,131,129,1017,250,7.76,60
34,Israel,Middle East,131,126,4962,399,37.88,115
35,Malaysia,Asiatic Region,129,128,4372,965,33.89,142
36,Egypt,Africa/Middle East,126,124,3225,519,25.6,116
37,Norway,Western Europe,112,109,3410,450,30.45,124
38,Slovakia,Eastern Europe,112,112,668,298,5.96,48
39,Hungary,Eastern Europe,105,101,797,214,7.59,59
40,Romania,Eastern Europe,103,103,1281,211,12.44,70
41,Russian Federation,Eastern Europe,101,98,1460,333,14.46,70
42,Thailand,Asiatic Region,96,96,3735,399,38.91,113
43,Finland,Western Europe,94,91,1837,269,19.54,109
44,Chile,Latin America,88,84,2928,307,33.27,88
45,Saudi Arabia,Middle East,86,85,2674,393,31.09,125
46,Slovenia,Eastern Europe,85,84,1688,208,19.86,78
47,Ireland,Western Europe,82,81,3359,299,40.96,102
48,Colombia,Latin America,62,62,1634,203,26.35,78
49,Serbia,Eastern Europe,62,61,1511,173,24.37,66
50,Algeria,Africa,62,62,1540,233,24.84,103
51,Ukraine,Eastern Europe,61,60,416,171,6.82,38
52,United Arab Emirates,Middle East,56,55,1053,126,18.8,85
53,Jordan,Middle East,53,53,735,75,13.87,58
54,Argentina,Latin America,48,46,1130,144,23.54,68
55,Viet Nam,Asiatic Region,40,37,828,162,20.7,92
56,Cyprus,Western Europe,35,35,1361,116,38.89,68
57,Estonia,Eastern Europe,32,30,528,101,16.5,44
58,Bangladesh,Asiatic Region,32,32,992,127,31.0,58
59,Pakistan,Asiatic Region,30,30,1128,193,37.6,89
60,Nigeria,Africa,29,28,1673,159,57.69,60
61,Kuwait,Middle East,26,25,599,32,23.04,53
62,Tunisia,Africa,25,25,738,64,29.52,65
63,Indonesia,Asiatic Region,24,24,585,41,24.38,62
64,Luxembourg,Western Europe,22,22,818,90,37.18,46
65,Lebanon,Middle East,22,22,423,26,19.23,65
66,Macedonia,Eastern Europe,20,20,332,20,16.6,25
67,Bulgaria,Eastern Europe,18,17,240,27,13.33,43
68,Latvia,Eastern Europe,18,18,151,35,8.39,33
69,Oman,Middle East,16,16,444,30,27.75,50
70,Cuba,Latin America,14,14,114,13,8.14,26
71,Morocco,Africa,13,13,161,29,12.38,51
72,Puerto Rico,Latin America,13,13,254,10,19.54,30
73,Venezuela,Latin America,13,13,323,13,24.85,38
74,Sri Lanka,Asiatic Region,13,12,490,54,37.69,45
75,Iraq,Middle East,12,12,150,19,12.5,71
76,Philippines,Asiatic Region,9,9,41,1,4.56,31
77,Palestine,Middle East,9,9,235,18,26.11,44
78,Malta,Western Europe,8,8,57,16,7.13,19
79,Iceland,Western Europe,8,8,322,70,40.25,38
80,Syrian Arab Republic,Middle East,8,8,131,2,16.38,22
81,Libya,Africa,7,7,78,10,11.14,27
82,Bahrain,Middle East,6,6,55,2,9.17,30
83,Macao,Asiatic Region,6,6,317,60,52.83,47
84,Azerbaijan,Eastern Europe,6,6,42,12,7.0,18
85,Ethiopia,Africa,6,6,233,79,38.83,28
86,Ghana,Africa,5,5,109,11,21.8,32
87,Bosnia and Herzegovina,Eastern Europe,5,5,13,0,2.6,21
88,Panama,Latin America,5,5,2,0,0.4,9
89,Qatar,Middle East,5,5,102,3,20.4,59
90,Ecuador,Latin America,4,4,18,1,4.5,42
91,Uganda,Africa,4,4,64,4,16.0,29
92,Tanzania,Africa,4,4,14,5,3.5,22
93,Trinidad and Tobago,Latin America,4,4,14,1,3.5,16
94,Nepal,Asiatic Region,4,4,42,0,10.5,26
95,Cameroon,Africa,4,4,123,28,30.75,37
96,Belarus,Eastern Europe,3,3,11,3,3.67,15
97,Namibia,Africa,3,3,51,3,17.0,8
98,Uruguay,Latin America,3,3,22,4,7.33,18
99,Uzbekistan,Asiatic Region,3,3,126,15,42.0,20
100,Montenegro,Eastern Europe,3,3,63,9,21.0,19
101,Cambodia,Asiatic Region,3,3,226,11,75.33,13
102,Kenya,Africa,3,3,13,0,4.33,26
103,Malawi,Africa,3,3,35,1,11.67,14
104,Yemen,Middle East,3,3,11,1,3.67,24
105,Costa Rica,Latin America,3,3,63,4,21.0,24
106,Albania,Eastern Europe,2,2,59,3,29.5,17
107,Liechtenstein,Western Europe,2,2,1,0,0.5,11
108,Botswana,Africa,2,2,11,0,5.5,15
109,Bhutan,Asiatic Region,2,2,1,0,0.5,6
110,Bolivia,Latin America,2,2,88,2,44.0,11
111,Sudan,Africa,2,2,5,0,2.5,21
112,Georgia,Eastern Europe,2,2,0,0,0.0,26
113,Honduras,Latin America,2,2,42,2,21.0,6
114,Maldives,Asiatic Region,1,1,99,0,99.0,2
115,Barbados,Latin America,1,1,106,0,106.0,9
116,El Salvador,Latin America,1,1,1,0,1.0,5
117,Afghanistan,Asiatic Region,1,1,0,0,0.0,10
118,Côte d’Ivoire,Africa,1,1,63,2,63.0,12
119,Kazakhstan,Asiatic Region,1,1,0,0,0.0,28
120,Laos,Asiatic Region,1,1,1,0,1.0,6
121,Cape Verde,Africa,1,1,38,5,38.0,6
122,Guinea,Africa,1,1,71,0,71.0,3
123,Nicaragua,Latin America,1,1,5,1,5.0,4
124,Armenia,Eastern Europe,1,1,11,1,11.0,11
125,Mozambique,Africa,1,1,4,1,4.0,6
126,Mongolia,Asiatic Region,1,1,9,2,9.0,6
127,Moldova,Eastern Europe,1,1,0,0,0.0,6
128,Dominican Republic,Latin America,1,1,0,0,0.0,12
129,Guam,Pacific Region,1,1,6,0,6.0,6
130,Mali,Africa,1,1,24,0,24.0,6
131,Seychelles,Africa,1,1,19,0,19.0,4
132,Reunion,Africa,1,1,22,0,22.0,2
