Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,636,636,23611,9019,37.12,248
2,China,Asiatic Region,411,411,5103,3003,12.42,118
3,Russian Federation,Eastern Europe,254,254,1586,864,6.24,60
4,France,Western Europe,247,247,7063,2124,28.6,151
5,Germany,Western Europe,177,176,7279,1693,41.12,149
6,United Kingdom,Western Europe,175,173,5096,1034,29.12,124
7,Japan,Asiatic Region,120,120,3409,901,28.41,95
8,Italy,Western Europe,115,115,4279,1053,37.21,116
9,Canada,Northern America,89,89,1933,475,21.72,84
10,South Korea,Asiatic Region,64,64,1657,515,25.89,86
11,Singapore,Asiatic Region,64,64,3128,300,48.88,83
12,Spain,Western Europe,57,57,2215,689,38.86,97
13,Taiwan,Asiatic Region,54,54,1232,260,22.81,55
14,Australia,Pacific Region,53,53,2449,652,46.21,100
15,Poland,Eastern Europe,49,49,836,248,17.06,57
16,Hong Kong,Asiatic Region,44,44,1220,200,27.73,71
17,Sweden,Western Europe,40,40,2088,308,52.2,76
18,India,Asiatic Region,40,40,922,350,23.05,74
19,Belgium,Western Europe,34,34,1314,142,38.65,69
20,Greece,Western Europe,33,33,1193,239,36.15,64
21,Netherlands,Western Europe,33,33,1765,265,53.48,105
22,Austria,Western Europe,32,32,596,96,18.63,59
23,Israel,Middle East,31,29,862,131,27.81,60
24,Switzerland,Western Europe,29,29,1216,106,41.93,87
25,Brazil,Latin America,22,22,459,143,20.86,52
26,Turkey,Middle East,20,20,604,106,30.2,54
27,Portugal,Western Europe,17,17,422,83,24.82,52
28,Denmark,Western Europe,14,14,338,47,24.14,54
29,Argentina,Latin America,14,14,127,32,9.07,47
30,Norway,Western Europe,13,13,562,31,43.23,55
31,Czech Republic,Eastern Europe,13,13,143,50,11.0,37
32,Morocco,Africa,10,10,137,47,13.7,20
33,Iran,Middle East,10,10,556,227,55.6,71
34,Ukraine,Eastern Europe,10,10,22,17,2.2,24
35,Romania,Eastern Europe,9,9,426,23,47.33,33
36,Finland,Western Europe,7,7,245,12,35.0,32
37,Slovakia,Eastern Europe,7,7,83,12,11.86,24
38,Hungary,Eastern Europe,5,5,120,2,24.0,22
39,Slovenia,Eastern Europe,5,5,157,15,31.4,30
40,Bulgaria,Eastern Europe,5,5,164,41,32.8,26
41,Tunisia,Africa,5,5,55,8,11.0,24
42,Mexico,Latin America,5,5,1771,95,354.2,32
43,Croatia,Eastern Europe,4,4,74,1,18.5,19
44,Serbia,Eastern Europe,4,4,68,8,17.0,19
45,Ireland,Western Europe,4,4,33,6,8.25,33
46,Egypt,Africa/Middle East,4,4,39,25,9.75,44
47,South Africa,Africa,4,4,250,27,62.5,34
48,Chile,Latin America,3,3,39,11,13.0,38
49,Belarus,Eastern Europe,3,3,96,14,32.0,13
50,Saudi Arabia,Middle East,3,3,80,2,26.67,60
51,Algeria,Africa,3,3,9,1,3.0,32
52,New Zealand,Pacific Region,3,2,166,8,55.33,28
53,Pakistan,Asiatic Region,2,2,15,5,7.5,48
54,Uzbekistan,Asiatic Region,2,2,0,0,0.0,8
55,Oman,Middle East,2,2,23,12,11.5,17
56,Venezuela,Latin America,2,2,24,3,12.0,10
57,Luxembourg,Western Europe,2,2,13,0,6.5,28
58,Thailand,Asiatic Region,2,2,22,3,11.0,24
59,Macao,Asiatic Region,1,1,13,6,13.0,14
60,Armenia,Eastern Europe,1,1,0,0,0.0,5
61,Azerbaijan,Eastern Europe,1,1,2,0,2.0,9
62,Bangladesh,Asiatic Region,1,1,16,1,16.0,16
63,Botswana,Africa,1,1,2,0,2.0,5
64,Colombia,Latin America,1,1,30,2,30.0,20
65,Cuba,Latin America,1,1,0,0,0.0,9
66,Cyprus,Western Europe,1,1,8,0,8.0,24
67,Indonesia,Asiatic Region,1,1,16,1,16.0,14
68,Iceland,Western Europe,1,1,46,1,46.0,7
69,Jordan,Middle East,1,1,5,0,5.0,16
70,Kenya,Africa,1,1,3,0,3.0,2
71,Liechtenstein,Western Europe,1,1,20,0,20.0,2
72,Lithuania,Eastern Europe,1,1,34,5,34.0,8
73,Macedonia,Eastern Europe,1,1,0,0,0.0,6
74,United Arab Emirates,Middle East,1,1,1,0,1.0,26
75,Malaysia,Asiatic Region,1,1,10,8,10.0,34
76,Peru,Latin America,1,1,91,3,91.0,8
77,Qatar,Middle East,1,1,3,1,3.0,15
78,Uruguay,Latin America,1,1,36,1,36.0,8
79,Zimbabwe,Africa,1,1,4,2,4.0,4
