Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,29954,29602,281945,206830,9.41,382
2,United States,Northern America,11290,10805,112320,35577,9.95,544
3,India,Asiatic Region,6795,5427,39096,16639,5.75,180
4,Germany,Western Europe,4056,3852,27056,8268,6.67,246
5,United Kingdom,Western Europe,3196,3023,44006,7974,13.77,306
6,Russian Federation,Eastern Europe,3046,2666,12126,7745,3.98,98
7,Italy,Western Europe,2890,2663,29406,7561,10.18,247
8,France,Western Europe,2731,2602,19471,4438,7.13,246
9,Japan,Asiatic Region,2571,2478,14536,3766,5.65,219
10,South Korea,Asiatic Region,2510,2437,23987,5090,9.56,197
11,Canada,Northern America,2125,2011,26871,4163,12.65,259
12,Australia,Pacific Region,1796,1730,30504,4504,16.98,264
13,Spain,Western Europe,1742,1614,15901,3501,9.13,219
14,Poland,Eastern Europe,1631,1301,7295,2416,4.47,118
15,Brazil,Latin America,1453,1384,11387,2561,7.84,144
16,Iran,Middle East,1364,1321,16572,4599,12.15,139
17,Taiwan,Asiatic Region,1268,1236,9327,1596,7.36,176
18,Malaysia,Asiatic Region,1199,1126,8809,2145,7.35,111
19,Portugal,Western Europe,1050,915,8089,1297,7.7,133
20,Hong Kong,Asiatic Region,925,910,17605,2291,19.03,221
21,Netherlands,Western Europe,889,851,7703,1591,8.66,175
22,Ukraine,Eastern Europe,884,809,4486,3599,5.07,45
23,Indonesia,Asiatic Region,848,838,2381,1057,2.81,50
24,Singapore,Asiatic Region,832,797,15525,1637,18.66,206
25,Sweden,Western Europe,831,797,9522,1358,11.46,178
26,Mexico,Latin America,773,710,5270,1120,6.82,127
27,Turkey,Middle East,686,660,7164,1301,10.44,153
28,Saudi Arabia,Middle East,677,659,9008,1510,13.31,123
29,Czech Republic,Eastern Europe,660,599,3128,870,4.74,82
30,Switzerland,Western Europe,596,569,7657,1248,12.85,194
31,Pakistan,Asiatic Region,585,573,5561,1328,9.51,76
32,Belgium,Western Europe,578,543,4773,923,8.26,161
33,Morocco,Africa,573,478,2021,755,3.53,50
34,Denmark,Western Europe,548,527,6900,1251,12.59,147
35,Austria,Western Europe,524,485,4548,928,8.68,101
36,South Africa,Africa,523,473,4065,705,7.77,97
37,Norway,Western Europe,508,464,3715,727,7.31,125
38,Algeria,Africa,501,366,3291,621,6.57,80
39,Greece,Western Europe,442,406,3727,726,8.43,134
40,Egypt,Africa/Middle East,408,387,4324,916,10.6,95
41,Finland,Western Europe,396,387,3082,558,7.78,111
42,Bangladesh,Asiatic Region,387,382,2590,505,6.69,47
43,Tunisia,Africa,385,375,2574,479,6.69,70
44,Viet Nam,Asiatic Region,360,283,4464,1016,12.4,70
45,Colombia,Latin America,344,340,1277,333,3.71,53
46,Romania,Eastern Europe,340,270,1610,412,4.74,88
47,Iraq,Middle East,337,332,1786,641,5.3,45
48,Thailand,Asiatic Region,331,322,1662,262,5.02,68
49,United Arab Emirates,Middle East,314,300,3176,421,10.11,84
50,Slovakia,Eastern Europe,295,256,1225,421,4.15,61
51,Israel,Middle East,287,284,2426,414,8.45,158
52,Ecuador,Latin America,260,247,950,260,3.65,33
53,Hungary,Eastern Europe,250,185,1107,322,4.43,70
54,Chile,Latin America,225,218,1758,352,7.81,114
55,New Zealand,Pacific Region,207,198,2301,306,11.12,106
56,Nigeria,Africa,207,196,1084,299,5.24,34
57,Ireland,Western Europe,206,185,1685,248,8.18,85
58,Serbia,Eastern Europe,179,144,736,168,4.11,58
59,Jordan,Middle East,174,171,1564,256,8.99,55
60,Bosnia and Herzegovina,Eastern Europe,163,34,336,35,2.06,23
61,Qatar,Middle East,159,157,3319,292,20.87,85
62,Slovenia,Eastern Europe,133,105,1336,228,10.05,74
63,Philippines,Asiatic Region,125,123,311,97,2.49,24
64,Macao,Asiatic Region,124,123,3434,379,27.69,107
65,Bulgaria,Eastern Europe,120,114,454,154,3.78,38
66,Argentina,Latin America,117,114,579,111,4.95,70
67,Latvia,Eastern Europe,111,77,241,98,2.17,20
68,Kazakhstan,Asiatic Region,105,99,714,167,6.8,29
69,Sudan,Africa,103,103,180,19,1.75,18
70,Sri Lanka,Asiatic Region,92,91,345,30,3.75,31
71,Oman,Middle East,91,86,566,73,6.22,38
72,Estonia,Eastern Europe,91,85,639,150,7.02,39
73,Croatia,Eastern Europe,88,68,689,90,7.83,52
74,Lithuania,Eastern Europe,86,71,470,105,5.47,32
75,Azerbaijan,Eastern Europe,82,79,209,86,2.55,21
76,Lebanon,Middle East,75,73,435,81,5.8,44
77,Cyprus,Western Europe,75,73,696,71,9.28,63
78,Luxembourg,Western Europe,59,54,470,51,7.97,39
79,Peru,Latin America,53,49,184,68,3.47,18
80,Kuwait,Middle East,52,51,263,38,5.06,45
81,Mauritius,Africa,44,42,104,13,2.36,10
82,Myanmar,Asiatic Region,41,39,85,5,2.07,10
83,Cameroon,Africa,40,40,459,208,11.48,30
84,Ghana,Africa,40,40,221,23,5.53,22
85,Belarus,Eastern Europe,36,33,80,10,2.22,19
86,Costa Rica,Latin America,34,33,195,37,5.74,23
87,Malta,Western Europe,32,27,200,33,6.25,26
88,Zimbabwe,Africa,27,27,30,0,1.11,11
89,Cuba,Latin America,25,21,161,22,6.44,26
90,Macedonia,Eastern Europe,23,22,97,24,4.22,25
91,Palestine,Middle East,22,22,213,22,9.68,23
92,Yemen,Middle East,22,22,241,50,10.95,19
93,Brunei Darussalam,Asiatic Region,21,20,228,9,10.86,27
94,Georgia,Eastern Europe,20,16,91,13,4.55,16
95,Bahrain,Middle East,19,19,29,1,1.53,21
96,Venezuela,Latin America,18,17,171,20,9.5,40
97,Montenegro,Eastern Europe,18,6,74,21,4.11,24
98,Uzbekistan,Asiatic Region,18,17,70,30,3.89,12
99,Puerto Rico,Latin America,17,17,39,9,2.29,17
100,Botswana,Africa,17,17,20,0,1.18,12
101,Ethiopia,Africa,17,14,93,37,5.47,20
102,Libya,Africa,16,15,96,14,6.0,20
103,Iceland,Western Europe,14,14,46,29,3.29,19
104,Albania,Eastern Europe,13,11,90,33,6.92,14
105,Kenya,Africa,11,11,155,15,14.09,15
106,Senegal,Africa,11,9,33,10,3.0,12
107,Uruguay,Latin America,9,9,66,24,7.33,17
108,San Marino,Western Europe,9,0,0,0,0.0,2
109,Armenia,Eastern Europe,8,7,146,5,18.25,12
110,North Korea,Asiatic Region,8,8,187,2,23.38,11
111,Syrian Arab Republic,Middle East,8,8,55,10,6.88,24
112,Tanzania,Africa,6,6,14,0,2.33,13
113,Panama,Latin America,6,6,5,0,0.83,9
114,Namibia,Africa,5,5,71,8,14.2,9
115,Afghanistan,Asiatic Region,5,5,42,0,8.4,11
116,Cambodia,Asiatic Region,4,4,25,1,6.25,5
117,Papua New Guinea,Pacific Region,4,4,2,0,0.5,12
118,Mali,Africa,4,4,10,1,2.5,4
119,Uganda,Africa,4,4,13,1,3.25,9
120,Moldova,Eastern Europe,4,4,3,2,0.75,9
121,Nepal,Asiatic Region,4,4,60,7,15.0,11
122,Rwanda,Africa,4,2,8,1,2.0,7
123,Angola,Africa,4,3,0,0,0.0,3
124,Trinidad and Tobago,Latin America,3,3,10,0,3.33,14
125,Burkina Faso,Africa,3,3,4,2,1.33,7
126,Kyrgyzstan,Asiatic Region,3,2,3,2,1.0,8
127,Mongolia,Asiatic Region,3,3,12,0,4.0,8
128,Zambia,Africa,3,1,57,4,19.0,9
129,Paraguay,Latin America,3,3,22,7,7.33,15
130,Guatemala,Latin America,3,3,24,3,8.0,5
131,Madagascar,Africa,3,2,9,4,3.0,5
132,Jamaica,Latin America,3,3,4,0,1.33,9
133,Bolivia,Latin America,2,2,58,1,29.0,7
134,Honduras,Latin America,2,2,39,4,19.5,9
135,Dominican Republic,Latin America,2,2,132,5,66.0,5
136,Liechtenstein,Western Europe,2,2,36,0,18.0,13
137,Monaco,Western Europe,2,2,3,2,1.5,3
138,Mauritania,Africa,2,2,3,0,1.5,2
139,Niger,Africa,2,2,21,0,10.5,5
140,Democratic Republic Congo,Africa,2,2,17,1,8.5,5
141,Benin,Africa,2,2,13,3,6.5,6
142,Timor-Leste,Asiatic Region,1,1,5,0,5.0,3
143,Togo,Africa,1,1,0,0,0.0,2
144,Swaziland,Africa,1,1,3,0,3.0,6
145,El Salvador,Latin America,1,1,5,0,5.0,5
146,Republic of South Sudan,Africa,1,1,1,0,1.0,1
147,Suriname,Latin America,1,1,1,0,1.0,3
148,Somalia,Africa,1,1,1,0,1.0,3
149,Burundi,Africa,1,1,7,0,7.0,2
150,Bhutan,Asiatic Region,1,1,1,0,1.0,2
151,Nicaragua,Latin America,1,1,1,0,1.0,4
152,Liberia,Africa,1,1,3,0,3.0,3
153,Laos,Asiatic Region,1,1,20,2,20.0,2
154,Fiji,Pacific Region,1,1,29,1,29.0,24
