Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,25762,25707,432087,146449,16.77,850
2,Japan,Asiatic Region,7770,7765,86781,26785,11.17,363
3,United Kingdom,Western Europe,5379,5340,71738,12072,13.34,456
4,Germany,Western Europe,4894,4876,60469,13796,12.36,407
5,China,Asiatic Region,4362,4362,19303,9071,4.43,477
6,France,Western Europe,3307,3303,56541,10863,17.1,361
7,Russian Federation,Eastern Europe,3024,3021,14864,5368,4.92,162
8,Canada,Northern America,2571,2567,44839,5994,17.44,402
9,Italy,Western Europe,2444,2440,43826,7822,17.93,362
10,South Korea,Asiatic Region,1683,1679,16572,2772,9.85,316
11,Taiwan,Asiatic Region,1572,1571,20934,4130,13.32,263
12,India,Asiatic Region,1158,1153,14072,3402,12.15,275
13,Australia,Pacific Region,1041,1040,21100,2529,20.27,350
14,Netherlands,Western Europe,962,960,20914,2360,21.74,282
15,Spain,Western Europe,952,951,11058,2304,11.62,325
16,Switzerland,Western Europe,931,931,21502,2437,23.1,312
17,Poland,Eastern Europe,817,815,4383,1437,5.36,152
18,Belgium,Western Europe,742,738,21846,1721,29.44,241
19,Sweden,Western Europe,699,696,18932,2081,27.08,280
20,Hong Kong,Asiatic Region,629,628,10162,1089,16.16,300
21,Ukraine,Eastern Europe,619,619,2877,1021,4.65,88
22,Israel,Middle East,552,552,9531,1188,17.27,212
23,Brazil,Latin America,508,508,10283,1171,20.24,194
24,Singapore,Asiatic Region,477,476,5121,629,10.74,305
25,Greece,Western Europe,474,474,8727,1032,18.41,209
26,Finland,Western Europe,419,418,6046,918,14.43,210
27,Mexico,Latin America,299,299,2589,565,8.66,146
28,Czech Republic,Eastern Europe,297,296,1724,528,5.8,129
29,Austria,Western Europe,292,292,3589,552,12.29,171
30,Egypt,Africa/Middle East,281,281,2087,313,7.43,142
31,Romania,Eastern Europe,280,280,1970,427,7.04,116
32,South Africa,Africa,274,274,2032,245,7.42,128
33,Turkey,Middle East,266,266,4721,821,17.75,202
34,Belarus,Eastern Europe,249,249,849,246,3.41,59
35,Denmark,Western Europe,243,243,5526,392,22.74,241
36,Portugal,Western Europe,230,230,2339,372,10.17,181
37,Bulgaria,Eastern Europe,183,183,931,199,5.09,65
38,Norway,Western Europe,180,180,3383,306,18.79,169
39,Hungary,Eastern Europe,176,175,1675,347,9.52,104
40,Saudi Arabia,Middle East,170,170,1789,224,10.52,170
41,Slovenia,Eastern Europe,137,137,1165,186,8.5,101
42,Ireland,Western Europe,137,137,2019,157,14.74,170
43,New Zealand,Pacific Region,119,118,2340,253,19.66,144
44,Argentina,Latin America,115,115,1036,234,9.01,98
45,Iran,Middle East,88,88,1471,168,16.72,195
46,Slovakia,Eastern Europe,76,76,745,169,9.8,76
47,Serbia,Eastern Europe,66,66,1486,121,22.52,89
48,Armenia,Eastern Europe,66,66,159,33,2.41,36
49,Lithuania,Eastern Europe,65,65,463,119,7.12,72
50,Moldova,Eastern Europe,56,56,135,20,2.41,54
51,Thailand,Asiatic Region,54,54,392,89,7.26,116
52,Kuwait,Middle East,52,52,456,74,8.77,75
53,Jordan,Middle East,51,51,436,50,8.55,75
54,Croatia,Eastern Europe,43,43,197,63,4.58,83
55,Venezuela,Latin America,38,38,501,73,13.18,62
56,Latvia,Eastern Europe,37,37,181,47,4.89,43
57,Algeria,Africa,32,32,520,29,16.25,105
58,Colombia,Latin America,30,30,117,27,3.9,81
59,Malaysia,Asiatic Region,29,29,149,51,5.14,165
60,Chile,Latin America,28,28,443,22,15.82,141
61,Tunisia,Africa,27,27,167,46,6.19,96
62,Morocco,Africa,26,25,239,35,9.19,75
63,Pakistan,Asiatic Region,25,25,427,47,17.08,122
64,Georgia,Eastern Europe,24,24,93,22,3.88,29
65,Uzbekistan,Asiatic Region,21,21,48,20,2.29,29
66,Bahrain,Middle East,20,20,147,3,7.35,37
67,Cuba,Latin America,17,17,85,25,5.0,40
68,Macedonia,Eastern Europe,15,15,385,33,25.67,50
69,Indonesia,Asiatic Region,14,14,191,5,13.64,66
70,Estonia,Eastern Europe,14,14,241,81,17.21,65
71,Lebanon,Middle East,12,12,737,15,61.42,82
72,United Arab Emirates,Middle East,12,12,94,3,7.83,123
73,Zimbabwe,Africa,11,9,45,0,4.09,17
74,Kenya,Africa,11,11,13,1,1.18,26
75,Bangladesh,Asiatic Region,11,11,199,10,18.09,79
76,Puerto Rico,Latin America,10,10,72,5,7.2,46
77,Libya,Africa,9,9,45,1,5.0,40
78,Azerbaijan,Eastern Europe,9,9,52,12,5.78,25
79,Oman,Middle East,9,9,109,7,12.11,55
80,Viet Nam,Asiatic Region,8,8,13,0,1.63,100
81,Iraq,Middle East,7,7,59,5,8.43,76
82,Tanzania,Africa,6,6,35,1,5.83,30
83,Uruguay,Latin America,6,6,544,29,90.67,39
