Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,24591,24223,285610,106409,11.61,578
2,China,Asiatic Region,13517,13505,68449,41496,5.06,395
3,Japan,Asiatic Region,10571,10519,60233,22223,5.7,255
4,Germany,Western Europe,4864,4788,60104,15165,12.36,304
5,United Kingdom,Western Europe,4017,3932,74044,15910,18.43,338
6,South Korea,Asiatic Region,3211,3198,24013,4759,7.48,243
7,France,Western Europe,3202,3169,39184,9841,12.24,245
8,Canada,Northern America,3005,2951,37334,6066,12.42,247
9,Taiwan,Asiatic Region,2658,2638,24362,5177,9.17,208
10,Italy,Western Europe,2320,2286,30937,7448,13.33,236
11,Australia,Pacific Region,1417,1394,17806,3239,12.57,234
12,India,Asiatic Region,1234,1230,12462,4176,10.1,200
13,Netherlands,Western Europe,1188,1159,22581,3516,19.01,222
14,Spain,Western Europe,1115,1091,17730,4074,15.9,228
15,Russian Federation,Eastern Europe,1080,1072,11788,3431,10.91,158
16,Brazil,Latin America,941,928,8253,2259,8.77,148
17,Sweden,Western Europe,899,894,12214,1919,13.59,183
18,Singapore,Asiatic Region,833,819,8994,960,10.8,225
19,Iran,Middle East,813,812,5833,2164,7.17,151
20,Switzerland,Western Europe,774,767,17753,2827,22.94,228
21,Hong Kong,Asiatic Region,720,707,14764,1475,20.51,202
22,Belgium,Western Europe,713,706,11472,1968,16.09,181
23,Finland,Western Europe,651,644,7558,1240,11.61,143
24,Poland,Eastern Europe,594,589,10628,3202,17.89,154
25,Austria,Western Europe,578,564,8523,1250,14.75,154
26,Turkey,Middle East,565,564,8398,1896,14.86,178
27,Greece,Western Europe,553,548,9073,1174,16.41,155
28,Mexico,Latin America,538,536,5207,1027,9.68,121
29,Romania,Eastern Europe,507,506,3333,1050,6.57,112
30,Norway,Western Europe,428,425,7263,813,16.97,142
31,Israel,Middle East,405,397,8055,990,19.89,158
32,Portugal,Western Europe,361,358,6965,1306,19.29,149
33,Malaysia,Asiatic Region,345,345,2372,717,6.88,137
34,Ireland,Western Europe,313,307,4078,476,13.03,129
35,Egypt,Africa/Middle East,289,288,1999,328,6.92,111
36,Czech Republic,Eastern Europe,284,284,4466,865,15.73,129
37,Denmark,Western Europe,273,267,5320,612,19.49,163
38,South Africa,Africa,250,249,1471,325,5.88,105
39,New Zealand,Pacific Region,210,205,3067,363,14.6,108
40,Hungary,Eastern Europe,196,196,3181,376,16.23,109
41,Thailand,Asiatic Region,193,192,1598,196,8.28,82
42,Croatia,Eastern Europe,181,177,944,243,5.22,82
43,United Arab Emirates,Middle East,170,168,912,168,5.36,76
44,Ukraine,Eastern Europe,162,162,890,216,5.49,74
45,Saudi Arabia,Middle East,156,155,827,177,5.3,132
46,Slovenia,Eastern Europe,145,145,1562,321,10.77,92
47,Belarus,Eastern Europe,116,116,329,78,2.84,84
48,Nigeria,Africa,115,115,118,41,1.03,54
49,Chile,Latin America,110,107,1106,142,10.05,90
50,Venezuela,Latin America,102,102,361,56,3.54,38
51,Algeria,Africa,101,101,755,123,7.48,65
52,Tunisia,Africa,97,97,801,143,8.26,60
53,Argentina,Latin America,92,92,792,133,8.61,86
54,Pakistan,Asiatic Region,91,90,1288,396,14.15,116
55,Slovakia,Eastern Europe,73,72,1731,181,23.71,97
56,Bulgaria,Eastern Europe,72,72,2355,194,32.71,78
57,Lebanon,Middle East,69,68,638,66,9.25,51
58,Kuwait,Middle East,65,65,348,61,5.35,52
59,Colombia,Latin America,61,61,892,138,14.62,90
60,Serbia,Eastern Europe,49,49,628,95,12.82,98
61,Jordan,Middle East,47,47,876,85,18.64,63
62,Cyprus,Western Europe,44,44,1178,96,26.77,67
63,Oman,Middle East,42,41,239,64,5.69,57
64,Puerto Rico,Latin America,40,40,126,13,3.15,31
65,Bangladesh,Asiatic Region,40,40,468,33,11.7,68
66,Lithuania,Eastern Europe,39,39,391,62,10.03,69
67,Indonesia,Asiatic Region,38,37,478,42,12.58,63
68,Morocco,Africa,37,36,326,77,8.81,79
69,Philippines,Asiatic Region,31,31,458,70,14.77,33
70,Georgia,Eastern Europe,31,31,297,37,9.58,79
