Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,5088,5056,106437,29421,20.92,427
2,Japan,Asiatic Region,2296,2296,23008,5334,10.02,200
3,Germany,Western Europe,1694,1694,24951,4985,14.73,266
4,United Kingdom,Western Europe,1088,1081,26349,4453,24.22,293
5,China,Asiatic Region,787,784,8204,3596,10.42,287
6,Canada,Northern America,724,722,13815,2160,19.08,241
7,India,Asiatic Region,620,617,9194,3079,14.83,234
8,France,Western Europe,481,481,9037,1728,18.79,218
9,Italy,Western Europe,444,444,11154,1720,25.12,227
10,Taiwan,Asiatic Region,412,410,9814,1448,23.82,185
11,Spain,Western Europe,401,399,8848,2111,22.06,213
12,South Korea,Asiatic Region,387,387,9182,980,23.73,190
13,Russian Federation,Eastern Europe,322,322,1185,458,3.68,87
14,Netherlands,Western Europe,301,301,8949,1125,29.73,205
15,Australia,Pacific Region,282,282,6676,978,23.67,221
16,Brazil,Latin America,239,239,3436,601,14.38,159
17,Hong Kong,Asiatic Region,232,232,5501,596,23.71,185
18,Poland,Eastern Europe,221,221,4085,698,18.48,131
19,Sweden,Western Europe,216,215,4929,514,22.82,176
20,Switzerland,Western Europe,201,201,2640,312,13.13,158
21,Singapore,Asiatic Region,180,180,5364,457,29.8,176
22,Austria,Western Europe,129,129,1400,126,10.85,114
23,Turkey,Middle East,123,123,2991,531,24.32,178
24,Belgium,Western Europe,121,120,4809,238,39.74,169
25,Finland,Western Europe,116,116,2098,295,18.09,139
26,Greece,Western Europe,108,108,2712,487,25.11,149
27,Portugal,Western Europe,104,104,2685,337,25.82,158
28,Israel,Middle East,93,92,3220,288,34.62,105
29,Mexico,Latin America,87,87,2337,398,26.86,109
30,Denmark,Western Europe,81,81,2648,344,32.69,168
31,Egypt,Africa/Middle East,70,70,632,101,9.03,109
32,Saudi Arabia,Middle East,68,68,1262,113,18.56,135
33,Slovenia,Eastern Europe,68,68,659,157,9.69,91
34,South Africa,Africa,68,68,1025,159,15.07,110
35,Ireland,Western Europe,57,57,3397,198,59.6,133
36,Croatia,Eastern Europe,56,56,230,105,4.11,71
37,Slovakia,Eastern Europe,54,54,595,146,11.02,59
38,Czech Republic,Eastern Europe,52,52,755,154,14.52,86
39,Romania,Eastern Europe,49,49,663,88,13.53,86
40,Iran,Middle East,47,47,498,113,10.6,181
41,Chile,Latin America,47,47,747,101,15.89,85
42,Norway,Western Europe,44,44,1579,119,35.89,132
43,Argentina,Latin America,44,44,811,168,18.43,77
44,New Zealand,Pacific Region,43,42,775,75,18.02,114
45,Ukraine,Eastern Europe,32,32,180,64,5.63,53
46,Thailand,Asiatic Region,32,32,620,39,19.38,102
47,Hungary,Eastern Europe,31,30,658,85,21.23,91
48,Bulgaria,Eastern Europe,31,31,373,42,12.03,53
49,Malaysia,Asiatic Region,24,24,1161,110,48.38,170
50,Jordan,Middle East,22,22,518,58,23.55,61
51,Venezuela,Latin America,21,21,152,23,7.24,47
52,Nigeria,Africa,21,21,301,30,14.33,78
53,Belarus,Eastern Europe,19,19,26,9,1.37,38
54,Kuwait,Middle East,19,19,459,58,24.16,63
55,Algeria,Africa,9,9,50,6,5.56,80
56,Lebanon,Middle East,9,9,213,7,23.67,61
57,Pakistan,Asiatic Region,8,8,113,3,14.13,111
58,Serbia,Eastern Europe,7,7,94,6,13.43,72
59,Armenia,Eastern Europe,7,7,37,3,5.29,18
60,Ghana,Africa,7,7,171,6,24.43,40
61,Indonesia,Asiatic Region,6,6,57,2,9.5,75
62,Bangladesh,Asiatic Region,6,6,78,14,13.0,79
63,Cyprus,Western Europe,6,6,158,3,26.33,55
64,Morocco,Africa,6,6,264,1,44.0,59
65,Macedonia,Eastern Europe,6,6,5,3,0.83,31
66,Cuba,Latin America,5,5,113,3,22.6,42
67,Zimbabwe,Africa,5,5,95,0,19.0,17
68,Colombia,Latin America,5,5,126,3,25.2,77
69,Tunisia,Africa,4,4,138,7,34.5,80
70,Bahrain,Middle East,3,3,207,4,69.0,25
71,Estonia,Eastern Europe,3,3,4,2,1.33,36
72,Puerto Rico,Latin America,3,3,14,0,4.67,22
73,Trinidad and Tobago,Latin America,3,3,57,3,19.0,25
74,Azerbaijan,Eastern Europe,2,2,6,3,3.0,19
75,Luxembourg,Western Europe,2,2,69,1,34.5,43
76,Latvia,Eastern Europe,2,2,122,15,61.0,37
77,Macao,Asiatic Region,2,2,6,0,3.0,55
78,United Arab Emirates,Middle East,2,2,257,1,128.5,102
