Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,42951,42748,766528,543746,17.85,535
2,United States,Northern America,19275,18818,402567,115049,20.89,791
3,India,Asiatic Region,8614,8523,115718,48875,13.43,262
4,Japan,Asiatic Region,6415,6254,70279,16835,10.96,381
5,Germany,Western Europe,6010,5769,97031,22750,16.14,423
6,United Kingdom,Western Europe,5914,5734,129432,23290,21.89,435
7,South Korea,Asiatic Region,4573,4531,81624,16185,17.85,337
8,Italy,Western Europe,4456,4280,82920,25191,18.61,282
9,Russian Federation,Eastern Europe,4057,4004,30956,14641,7.63,172
10,France,Western Europe,4008,3907,65369,13333,16.31,342
11,Iran,Middle East,3934,3902,81862,26986,20.81,201
12,Canada,Northern America,3000,2949,58508,9472,19.5,294
13,Australia,Pacific Region,2824,2770,77275,12484,27.36,290
14,Brazil,Latin America,2433,2380,28059,6404,11.53,165
15,Spain,Western Europe,2329,2168,46977,8583,20.17,253
16,Poland,Eastern Europe,1980,1933,25222,7251,12.74,153
17,Taiwan,Asiatic Region,1963,1951,22882,3229,11.66,231
18,Turkey,Middle East,1641,1607,26331,5601,16.05,186
19,Malaysia,Asiatic Region,1641,1612,25291,5158,15.41,180
20,Czech Republic,Eastern Europe,1285,1260,9767,2626,7.6,121
21,Ukraine,Eastern Europe,1276,1252,8487,5167,6.65,103
22,Sweden,Western Europe,1260,1227,25352,3920,20.12,235
23,Netherlands,Western Europe,1204,1130,26318,3298,21.86,280
24,Singapore,Asiatic Region,1161,1119,49049,5059,42.25,300
25,Switzerland,Western Europe,1097,1047,27104,3732,24.71,273
26,Norway,Western Europe,1003,990,13203,2677,13.16,155
27,Saudi Arabia,Middle East,1003,988,36134,6471,36.03,195
28,Hong Kong,Asiatic Region,968,957,37231,4198,38.46,254
29,Portugal,Western Europe,878,835,17998,3223,20.5,174
30,Thailand,Asiatic Region,846,830,7339,1111,8.67,118
31,Belgium,Western Europe,818,787,18395,2616,22.49,217
32,Austria,Western Europe,793,759,14406,2332,18.17,174
33,Egypt,Africa/Middle East,789,775,16995,3877,21.54,143
34,Romania,Eastern Europe,784,777,7581,1419,9.67,116
35,Mexico,Latin America,776,739,9528,1586,12.28,122
36,Indonesia,Asiatic Region,731,719,5694,1801,7.79,71
37,Pakistan,Asiatic Region,708,704,17978,5570,25.39,134
38,Denmark,Western Europe,670,597,14151,2233,21.12,195
39,Greece,Western Europe,550,528,10864,1554,19.75,182
40,Slovakia,Eastern Europe,537,518,3946,1282,7.35,71
41,Finland,Western Europe,523,521,10397,1369,19.88,147
42,South Africa,Africa,504,494,10575,1521,20.98,129
43,Algeria,Africa,491,487,6517,1812,13.27,108
44,Israel,Middle East,472,446,9587,1330,20.31,196
45,Tunisia,Africa,452,427,7463,1545,16.51,97
46,Hungary,Eastern Europe,393,375,4254,965,10.82,106
47,Serbia,Eastern Europe,368,357,3524,680,9.58,79
48,Bangladesh,Asiatic Region,347,345,3298,861,9.5,70
49,United Arab Emirates,Middle East,326,318,6715,887,20.6,110
50,Ireland,Western Europe,319,302,8123,944,25.46,154
51,New Zealand,Pacific Region,310,293,8095,714,26.11,133
52,Viet Nam,Asiatic Region,307,296,7682,1655,25.02,102
53,Slovenia,Eastern Europe,276,262,3835,495,13.89,103
54,Chile,Latin America,223,221,4189,603,18.78,86
55,Colombia,Latin America,213,206,2259,421,10.61,66
56,Iraq,Middle East,213,212,4901,894,23.01,79
57,Morocco,Africa,206,205,3034,655,14.73,80
58,Argentina,Latin America,204,194,2540,415,12.45,97
59,Croatia,Eastern Europe,201,199,1912,422,9.51,76
60,Nigeria,Africa,176,169,2707,530,15.38,75
61,Qatar,Middle East,167,165,4700,491,28.14,86
62,Kazakhstan,Asiatic Region,153,148,1076,317,7.03,41
63,Lithuania,Eastern Europe,134,127,1093,207,8.16,61
64,Latvia,Eastern Europe,133,132,991,210,7.45,45
65,Jordan,Middle East,119,116,1523,305,12.8,84
66,Bulgaria,Eastern Europe,104,101,1100,291,10.58,71
67,Philippines,Asiatic Region,91,90,854,149,9.38,41
68,Kuwait,Middle East,90,90,1688,151,18.76,89
69,Estonia,Eastern Europe,80,67,881,147,11.01,54
70,Macao,Asiatic Region,76,75,2316,197,30.47,64
71,Lebanon,Middle East,72,71,697,130,9.68,61
72,Oman,Middle East,69,67,1500,97,21.74,71
73,Belarus,Eastern Europe,68,67,720,141,10.59,69
74,Ecuador,Latin America,56,53,1080,131,19.29,41
75,Cyprus,Western Europe,53,53,925,100,17.45,63
76,Bosnia and Herzegovina,Eastern Europe,49,49,689,68,14.06,36
77,Luxembourg,Western Europe,48,48,1935,139,40.31,59
78,Azerbaijan,Eastern Europe,46,46,229,111,4.98,34
79,Peru,Latin America,43,43,397,79,9.23,34
80,Moldova,Eastern Europe,42,42,184,50,4.38,36
81,Ethiopia,Africa,36,36,844,105,23.44,39
82,Cameroon,Africa,32,32,509,215,15.91,33
83,Venezuela,Latin America,29,28,408,29,14.07,49
84,Sudan,Africa,28,27,641,52,22.89,24
85,Sri Lanka,Asiatic Region,26,26,634,59,24.38,38
86,Cuba,Latin America,26,22,208,18,8.0,42
87,Iceland,Western Europe,23,20,280,42,12.17,32
88,Georgia,Eastern Europe,20,18,120,25,6.0,30
89,Mongolia,Asiatic Region,20,20,132,8,6.6,20
90,Ghana,Africa,19,18,167,22,8.79,30
91,Malta,Western Europe,19,19,89,24,4.68,26
92,Botswana,Africa,18,18,292,25,16.22,20
93,Macedonia,Eastern Europe,18,18,137,7,7.61,30
94,Brunei Darussalam,Asiatic Region,18,18,388,27,21.56,23
95,Puerto Rico,Latin America,17,17,401,5,23.59,45
96,Libya,Africa,16,16,166,9,10.38,35
97,Bahrain,Middle East,15,15,284,20,18.93,46
98,Kenya,Africa,15,15,132,10,8.8,28
99,Yemen,Middle East,15,15,341,58,22.73,32
100,Uzbekistan,Asiatic Region,14,14,159,37,11.36,24
101,Tanzania,Africa,14,14,169,17,12.07,23
102,Fiji,Pacific Region,14,14,91,57,6.5,22
103,Armenia,Eastern Europe,14,14,75,18,5.36,25
104,North Korea,Asiatic Region,12,12,193,19,16.08,21
105,Montenegro,Eastern Europe,11,11,82,17,7.45,21
106,Nepal,Asiatic Region,10,9,86,18,8.6,27
107,Palestine,Middle East,10,10,279,26,27.9,33
108,Uruguay,Latin America,9,9,38,9,4.22,23
109,Paraguay,Latin America,9,7,66,35,7.33,10
110,Syrian Arab Republic,Middle East,9,9,144,29,16.0,30
111,Zambia,Africa,7,7,184,4,26.29,14
112,Trinidad and Tobago,Latin America,6,6,74,11,12.33,21
113,Costa Rica,Latin America,6,5,84,4,14.0,19
114,Côte d’Ivoire,Africa,6,6,53,1,8.83,15
115,Liechtenstein,Western Europe,6,6,108,19,18.0,25
116,Namibia,Africa,6,6,69,12,11.5,14
117,Afghanistan,Asiatic Region,6,6,171,2,28.5,8
118,Mozambique,Africa,5,5,79,8,15.8,7
119,Senegal,Africa,4,3,36,5,9.0,24
120,Cambodia,Asiatic Region,4,4,7,2,1.75,7
121,Benin,Africa,4,4,35,15,8.75,12
122,Monaco,Western Europe,4,4,26,2,6.5,10
123,Uganda,Africa,4,4,109,5,27.25,15
124,Gabon,Africa,4,4,19,6,4.75,8
125,Kyrgyzstan,Asiatic Region,4,4,38,6,9.5,10
126,Guatemala,Latin America,3,3,26,0,8.67,6
127,Tajikistan,Asiatic Region,3,3,13,8,4.33,7
128,Burundi,Africa,3,3,167,5,55.67,9
129,Myanmar,Asiatic Region,2,2,13,2,6.5,12
