Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,23872,23683,485792,330933,20.35,508
2,United States,Northern America,12716,12405,289241,85687,22.75,716
3,Japan,Asiatic Region,4593,4487,57854,13060,12.6,369
4,Germany,Western Europe,4564,4435,81290,18570,17.81,391
5,India,Asiatic Region,4002,3945,78091,31214,19.51,247
6,United Kingdom,Western Europe,3763,3628,86683,15371,23.04,390
7,France,Western Europe,3381,3332,57476,12389,17.0,323
8,Russian Federation,Eastern Europe,3212,3186,25171,12197,7.84,153
9,South Korea,Asiatic Region,2930,2898,67798,12715,23.14,322
10,Italy,Western Europe,2676,2608,53534,15194,20.01,255
11,Iran,Middle East,2296,2284,53903,18008,23.48,174
12,Canada,Northern America,2122,2098,38924,6164,18.34,265
13,Australia,Pacific Region,2006,1979,53795,9452,26.82,283
14,Spain,Western Europe,1795,1742,31500,6013,17.55,235
15,Brazil,Latin America,1532,1524,20411,5344,13.32,162
16,Poland,Eastern Europe,1485,1454,17891,5634,12.05,139
17,Malaysia,Asiatic Region,1187,1120,17058,3954,14.37,135
18,Taiwan,Asiatic Region,1183,1173,18109,2356,15.31,209
19,Turkey,Middle East,1179,1175,19862,4028,16.85,157
20,Czech Republic,Eastern Europe,990,984,7918,2361,8.0,118
21,Sweden,Western Europe,955,933,18171,2567,19.03,211
22,Switzerland,Western Europe,867,845,24256,2746,27.98,247
23,Netherlands,Western Europe,801,783,19632,2610,24.51,266
24,Singapore,Asiatic Region,790,761,28199,2972,35.69,288
25,Saudi Arabia,Middle East,717,708,25340,4135,35.34,166
26,Belgium,Western Europe,706,680,18062,2176,25.58,197
27,Romania,Eastern Europe,675,666,5842,2067,8.65,97
28,Portugal,Western Europe,669,645,12823,2550,19.17,163
29,Hong Kong,Asiatic Region,667,662,23288,2541,34.91,242
30,Ukraine,Eastern Europe,616,614,4275,1997,6.94,96
31,Austria,Western Europe,608,595,11401,1944,18.75,155
32,Thailand,Asiatic Region,544,541,4807,912,8.84,105
