Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,989,988,17660,5859,17.86,224
2,Japan,Asiatic Region,438,437,1615,520,3.69,79
3,Canada,Northern America,239,238,2689,601,11.25,103
4,China,Asiatic Region,144,144,414,99,2.88,162
5,United Kingdom,Western Europe,140,140,1883,312,13.45,111
6,Germany,Western Europe,135,134,2381,348,17.64,114
7,South Korea,Asiatic Region,98,98,2258,270,23.04,106
8,France,Western Europe,93,92,792,129,8.52,88
9,Taiwan,Asiatic Region,87,87,1971,407,22.66,99
10,Italy,Western Europe,72,72,2101,264,29.18,88
11,Spain,Western Europe,70,70,566,100,8.09,72
12,Australia,Pacific Region,70,70,700,94,10.0,91
13,Finland,Western Europe,65,65,687,191,10.57,71
14,Sweden,Western Europe,57,57,1118,234,19.61,60
15,Hong Kong,Asiatic Region,49,49,1063,117,21.69,90
16,Netherlands,Western Europe,44,44,529,72,12.02,72
17,India,Asiatic Region,39,39,1442,110,36.97,83
18,Brazil,Latin America,33,33,110,10,3.33,53
19,Switzerland,Western Europe,25,25,375,66,15.0,71
20,New Zealand,Pacific Region,19,19,252,51,13.26,36
21,Greece,Western Europe,18,18,390,102,21.67,65
22,Belgium,Western Europe,16,16,364,35,22.75,57
23,Singapore,Asiatic Region,15,15,446,11,29.73,101
24,Israel,Middle East,14,14,293,30,20.93,41
25,Austria,Western Europe,13,13,19,3,1.46,52
26,Turkey,Middle East,8,8,60,19,7.5,55
27,Mexico,Latin America,8,8,104,3,13.0,24
28,Portugal,Western Europe,7,7,156,8,22.29,45
29,Russian Federation,Eastern Europe,6,6,47,2,7.83,26
30,Slovenia,Eastern Europe,6,6,140,32,23.33,24
31,Norway,Western Europe,5,5,49,15,9.8,42
32,Thailand,Asiatic Region,5,5,13,3,2.6,27
33,South Africa,Africa,5,5,51,7,10.2,20
34,Ireland,Western Europe,4,4,69,11,17.25,49
35,Denmark,Western Europe,3,3,4,2,1.33,46
36,Iran,Middle East,3,3,49,1,16.33,42
37,Saudi Arabia,Middle East,3,3,11,2,3.67,42
38,Algeria,Africa,2,2,2,0,1.0,22
39,Ghana,Africa,2,2,3,0,1.5,6
40,Chile,Latin America,2,2,20,0,10.0,20
41,Slovakia,Eastern Europe,2,2,44,7,22.0,19
42,Argentina,Latin America,2,2,7,1,3.5,17
43,Romania,Eastern Europe,2,2,1,0,0.5,25
44,Hungary,Eastern Europe,2,2,5,3,2.5,27
45,Venezuela,Latin America,1,1,7,0,7.0,7
46,Azerbaijan,Eastern Europe,1,1,1,1,1.0,5
47,Guadeloupe,Latin America,1,1,0,0,0.0,1
48,Czech Republic,Eastern Europe,1,1,30,0,30.0,29
49,Croatia,Eastern Europe,1,1,4,0,4.0,19
50,Cyprus,Western Europe,1,1,4,0,4.0,23
51,Cuba,Latin America,1,1,0,0,0.0,8
52,Jordan,Middle East,1,1,22,0,22.0,28
53,Colombia,Latin America,1,1,3,0,3.0,16
54,Kenya,Africa,1,1,0,0,0.0,5
55,Lebanon,Middle East,1,1,0,0,0.0,20
56,Morocco,Africa,1,1,1,0,1.0,25
57,Moldova,Eastern Europe,1,1,2,1,2.0,3
58,Nigeria,Africa,1,1,2,0,2.0,13
59,Belarus,Eastern Europe,1,1,0,0,0.0,6
60,Bahrain,Middle East,1,1,1,1,1.0,7
61,Philippines,Asiatic Region,1,1,1,0,1.0,11
62,Poland,Eastern Europe,1,1,0,0,0.0,35
63,Senegal,Africa,1,1,0,0,0.0,4
64,Swaziland,Africa,1,1,5,0,5.0,1
65,Tunisia,Africa,1,1,5,0,5.0,26
66,Estonia,Eastern Europe,1,1,5,0,5.0,11
67,Tanzania,Africa,1,1,1,0,1.0,4
68,Uruguay,Latin America,1,1,26,0,26.0,13
