Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,3282,3255,26993,16312,8.22,162
2,United States,Northern America,1817,1749,17661,5198,9.72,224
3,Japan,Asiatic Region,713,698,3646,1040,5.11,79
4,Germany,Western Europe,634,619,4976,1349,7.85,114
5,India,Asiatic Region,586,580,4024,1725,6.87,83
6,United Kingdom,Western Europe,574,545,5405,1098,9.42,111
7,South Korea,Asiatic Region,510,501,4202,1135,8.24,106
8,Italy,Western Europe,476,448,3683,1038,7.74,88
9,France,Western Europe,452,445,4133,764,9.14,88
10,Taiwan,Asiatic Region,385,378,2667,455,6.93,99
11,Canada,Northern America,330,324,3295,527,9.98,103
12,Australia,Pacific Region,324,314,2463,499,7.6,91
13,Brazil,Latin America,290,288,1255,289,4.33,53
14,Spain,Western Europe,250,246,2907,719,11.63,72
15,Malaysia,Asiatic Region,229,226,1050,272,4.59,46
16,Belgium,Western Europe,168,166,972,210,5.79,57
17,Indonesia,Asiatic Region,158,155,779,341,4.93,25
18,Hong Kong,Asiatic Region,156,151,3094,362,19.83,90
19,Singapore,Asiatic Region,154,149,3676,350,23.87,101
20,Netherlands,Western Europe,150,140,1512,220,10.08,72
21,Poland,Eastern Europe,148,145,672,187,4.54,35
22,Sweden,Western Europe,134,133,1136,185,8.48,60
23,Portugal,Western Europe,133,128,838,172,6.3,45
24,Romania,Eastern Europe,116,116,449,106,3.87,25
25,Austria,Western Europe,100,98,768,162,7.68,52
26,Turkey,Middle East,97,96,947,161,9.76,55
27,Greece,Western Europe,96,92,615,159,6.41,65
28,Switzerland,Western Europe,95,93,986,123,10.38,71
29,Thailand,Asiatic Region,93,89,428,39,4.6,27
30,Finland,Western Europe,92,88,559,141,6.08,71
31,Iran,Middle East,86,86,951,158,11.06,42
32,Slovakia,Eastern Europe,68,68,374,120,5.5,19
33,Ireland,Western Europe,66,66,607,115,9.2,49
34,Saudi Arabia,Middle East,61,61,613,99,10.05,42
35,Colombia,Latin America,58,58,215,32,3.71,16
36,Tunisia,Africa,57,57,546,85,9.58,26
37,Pakistan,Asiatic Region,56,56,609,114,10.88,43
38,Ecuador,Latin America,55,55,204,60,3.71,12
39,New Zealand,Pacific Region,52,50,227,41,4.37,36
40,Denmark,Western Europe,52,51,1039,192,19.98,46
41,Serbia,Eastern Europe,50,50,180,51,3.6,23
42,Norway,Western Europe,48,46,460,79,9.58,42
43,Chile,Latin America,47,46,392,38,8.34,20
44,Czech Republic,Eastern Europe,47,47,262,52,5.57,29
45,Israel,Middle East,41,41,649,166,15.83,41
46,Mexico,Latin America,37,37,160,13,4.32,24
47,Russian Federation,Eastern Europe,32,32,202,57,6.31,26
48,Egypt,Africa/Middle East,32,31,432,51,13.5,36
49,Macao,Asiatic Region,30,30,546,30,18.2,25
50,Algeria,Africa,26,26,236,32,9.08,22
51,Viet Nam,Asiatic Region,24,24,87,25,3.63,22
52,South Africa,Africa,23,23,115,39,5.0,20
53,Argentina,Latin America,20,20,146,23,7.3,17
54,Hungary,Eastern Europe,19,19,82,29,4.32,27
55,United Arab Emirates,Middle East,19,19,177,39,9.32,32
56,Jordan,Middle East,18,18,165,31,9.17,28
57,Luxembourg,Western Europe,18,18,241,46,13.39,23
58,Bangladesh,Asiatic Region,17,17,116,34,6.82,20
59,Morocco,Africa,16,16,261,63,16.31,25
60,Slovenia,Eastern Europe,15,14,73,20,4.87,24
61,Cyprus,Western Europe,14,14,98,13,7.0,23
62,Lebanon,Middle East,13,13,57,11,4.38,20
63,Qatar,Middle East,13,13,227,14,17.46,27
64,Ukraine,Eastern Europe,12,12,78,44,6.5,15
65,Croatia,Eastern Europe,12,12,83,17,6.92,19
66,Estonia,Eastern Europe,11,11,80,8,7.27,11
67,Philippines,Asiatic Region,8,8,130,9,16.25,11
68,Peru,Latin America,6,6,37,9,6.17,9
69,Cuba,Latin America,6,6,21,4,3.5,8
70,Malta,Western Europe,6,6,40,4,6.67,8
71,Uruguay,Latin America,6,6,20,5,3.33,13
72,Nigeria,Africa,5,5,31,12,6.2,13
73,Bulgaria,Eastern Europe,5,5,27,1,5.4,11
74,Iraq,Middle East,5,5,18,3,3.6,17
75,Brunei Darussalam,Asiatic Region,4,3,4,0,1.0,4
76,Bosnia and Herzegovina,Eastern Europe,3,3,8,1,2.67,9
77,Lithuania,Eastern Europe,3,3,12,1,4.0,7
78,Georgia,Eastern Europe,3,3,8,0,2.67,6
79,Palestine,Middle East,3,3,9,0,3.0,9
80,Macedonia,Eastern Europe,3,3,7,3,2.33,13
81,Latvia,Eastern Europe,3,3,27,5,9.0,7
82,Oman,Middle East,3,3,21,2,7.0,9
83,Sri Lanka,Asiatic Region,3,3,54,0,18.0,9
84,Montenegro,Eastern Europe,2,2,10,2,5.0,6
85,Kuwait,Middle East,2,2,22,1,11.0,18
86,Costa Rica,Latin America,2,2,19,2,9.5,6
87,Benin,Africa,2,2,3,1,1.5,4
88,North Korea,Asiatic Region,2,2,7,2,3.5,6
89,Senegal,Africa,2,2,2,0,1.0,4
90,El Salvador,Latin America,2,2,7,3,3.5,3
91,Moldova,Eastern Europe,2,2,6,2,3.0,3
92,Barbados,Latin America,2,2,2,0,1.0,2
93,Armenia,Eastern Europe,2,2,2,2,1.0,4
94,Libya,Africa,1,1,2,0,2.0,4
95,Syrian Arab Republic,Middle East,1,1,2,0,2.0,6
96,Paraguay,Latin America,1,1,3,0,3.0,3
97,Kazakhstan,Asiatic Region,1,1,11,10,11.0,8
98,Venezuela,Latin America,1,1,4,0,4.0,7
99,Afghanistan,Asiatic Region,1,1,26,0,26.0,3
100,Samoa,Pacific Region,1,1,3,1,3.0,1
101,Yemen,Middle East,1,1,4,2,4.0,5
102,Trinidad and Tobago,Latin America,1,1,6,0,6.0,4
