Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1423,1369,26620,10261,18.71,223
2,United Kingdom,Western Europe,525,503,10218,2563,19.46,156
3,Japan,Asiatic Region,487,485,4222,1040,8.67,102
4,China,Asiatic Region,444,442,5956,3584,13.41,140
5,South Korea,Asiatic Region,310,307,2657,522,8.57,93
6,Germany,Western Europe,249,247,4011,1247,16.11,117
7,Australia,Pacific Region,222,219,3606,1090,16.24,129
8,France,Western Europe,221,217,2998,787,13.57,114
9,Canada,Northern America,193,190,4095,702,21.22,112
10,Netherlands,Western Europe,163,161,2475,480,15.18,110
11,Italy,Western Europe,158,157,4079,1172,25.82,114
12,Norway,Western Europe,158,156,2947,601,18.65,107
13,India,Asiatic Region,154,148,1596,511,10.36,91
14,Russian Federation,Eastern Europe,133,133,786,226,5.91,57
15,Croatia,Eastern Europe,118,117,254,96,2.15,33
16,Taiwan,Asiatic Region,116,116,1471,231,12.68,77
17,Spain,Western Europe,100,98,2440,475,24.4,101
18,Brazil,Latin America,99,97,789,277,7.97,68
19,Portugal,Western Europe,92,92,1240,420,13.48,93
20,Turkey,Middle East,77,77,1648,281,21.4,87
21,Poland,Eastern Europe,70,70,875,339,12.5,60
22,Greece,Western Europe,70,69,1394,244,19.91,65
23,Sweden,Western Europe,63,53,1454,137,23.08,73
24,Denmark,Western Europe,62,61,1492,191,24.06,85
25,Singapore,Asiatic Region,51,49,2437,164,47.78,91
26,Ukraine,Eastern Europe,41,41,77,10,1.88,24
27,New Zealand,Pacific Region,40,40,441,136,11.03,56
28,Hong Kong,Asiatic Region,38,37,1013,149,26.66,77
29,Belgium,Western Europe,37,37,1874,155,50.65,69
30,Switzerland,Western Europe,32,31,674,132,21.06,70
31,Iran,Middle East,27,27,734,221,27.19,93
32,Argentina,Latin America,25,22,1364,991,54.56,49
33,Finland,Western Europe,23,23,183,43,7.96,55
34,Egypt,Africa/Middle East,20,20,196,36,9.8,62
35,Mexico,Latin America,19,19,189,53,9.95,48
36,South Africa,Africa,15,15,827,136,55.13,72
37,Austria,Western Europe,14,14,316,27,22.57,55
38,Slovenia,Eastern Europe,14,14,32,9,2.29,28
39,Bulgaria,Eastern Europe,13,13,139,27,10.69,36
40,Israel,Middle East,13,13,742,117,57.08,53
41,Romania,Eastern Europe,13,13,242,51,18.62,39
42,Ireland,Western Europe,11,11,112,16,10.18,53
43,United Arab Emirates,Middle East,6,6,42,0,7.0,39
44,Tunisia,Africa,6,6,50,9,8.33,36
45,Hungary,Eastern Europe,6,6,134,39,22.33,30
46,Thailand,Asiatic Region,6,6,210,8,35.0,33
47,Morocco,Africa,6,6,18,8,3.0,32
48,Monaco,Western Europe,6,6,209,25,34.83,16
49,Kuwait,Middle East,5,5,43,9,8.6,30
50,Chile,Latin America,5,5,127,27,25.4,37
51,Czech Republic,Eastern Europe,5,5,115,11,23.0,35
52,Jordan,Middle East,5,5,64,18,12.8,28
53,Malaysia,Asiatic Region,5,5,11,1,2.2,54
54,Viet Nam,Asiatic Region,5,5,50,14,10.0,48
55,Estonia,Eastern Europe,4,4,31,8,7.75,31
56,Pakistan,Asiatic Region,4,4,297,115,74.25,46
57,Bangladesh,Asiatic Region,4,4,41,12,10.25,21
58,Slovakia,Eastern Europe,4,4,22,11,5.5,29
59,Nigeria,Africa,4,4,9,5,2.25,27
60,Saudi Arabia,Middle East,4,4,71,33,17.75,71
61,Venezuela,Latin America,3,3,1,1,0.33,20
62,Algeria,Africa,3,3,30,1,10.0,45
63,Iceland,Western Europe,3,3,1,1,0.33,23
64,Armenia,Eastern Europe,2,2,0,0,0.0,8
65,Sri Lanka,Asiatic Region,2,2,10,2,5.0,22
66,Indonesia,Asiatic Region,2,2,1,0,0.5,31
67,Qatar,Middle East,2,2,0,0,0.0,31
68,Cyprus,Western Europe,2,2,32,4,16.0,24
69,Svalbard and Jan Mayen,Western Europe,2,2,14,0,7.0,3
70,Tajikistan,Asiatic Region,2,2,0,0,0.0,2
71,Libya,Africa,2,2,15,2,7.5,11
72,Oman,Middle East,1,1,2,0,2.0,28
73,Jamaica,Latin America,1,1,0,0,0.0,6
74,Solomon Islands,Pacific Region,1,1,4,1,4.0,4
75,Sudan,Africa,1,1,4,0,4.0,7
76,Kenya,Africa,1,1,2,1,2.0,15
77,Macao,Asiatic Region,1,1,41,10,41.0,19
78,Colombia,Latin America,1,1,134,81,134.0,28
79,Zambia,Africa,1,1,1,0,1.0,2
80,Albania,Eastern Europe,1,1,1,1,1.0,7
81,Togo,Africa,1,1,1,0,1.0,2
82,Cameroon,Africa,1,1,0,0,0.0,23
83,Latvia,Eastern Europe,1,1,3,1,3.0,12
84,Belarus,Eastern Europe,1,1,13,2,13.0,12
85,Tonga,Pacific Region,1,1,0,0,0.0,3
86,Malta,Western Europe,1,1,23,13,23.0,17
87,Trinidad and Tobago,Latin America,1,1,46,0,46.0,10
88,Bosnia and Herzegovina,Eastern Europe,1,1,0,0,0.0,7
89,Tanzania,Africa,1,1,1,0,1.0,9
90,Azerbaijan,Eastern Europe,1,1,26,17,26.0,14
91,Mongolia,Asiatic Region,1,1,0,0,0.0,4
92,Ghana,Africa,1,1,6,3,6.0,9
93,Uruguay,Latin America,1,1,3,0,3.0,14
94,Reunion,Africa,1,1,0,0,0.0,1
95,Falkland Islands (Malvinas),Latin America,1,1,20,0,20.0,6
96,Serbia,Eastern Europe,1,1,1,1,1.0,28
