Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,157020,153113,1548687,550069,9.86,320
2,China,Asiatic Region,113521,112909,615916,376703,5.43,171
3,India,Asiatic Region,48406,47912,230135,89044,4.75,118
4,United Kingdom,Western Europe,33378,32009,406794,79520,12.19,183
5,Germany,Western Europe,28717,28192,250912,54090,8.74,146
6,Japan,Asiatic Region,27774,27333,170935,40568,6.15,117
7,France,Western Europe,22447,22046,247144,50496,11.01,149
8,Italy,Western Europe,22430,21886,264332,71909,11.78,149
9,Canada,Northern America,19557,19024,239982,40554,12.27,160
10,South Korea,Asiatic Region,15620,15439,123654,22699,7.92,113
11,Russian Federation,Eastern Europe,15602,15504,41411,20661,2.65,54
12,Australia,Pacific Region,13671,13275,210394,40031,15.39,150
13,Brazil,Latin America,12618,12486,80168,19568,6.35,92
14,Spain,Western Europe,10983,10665,154902,33072,14.1,127
15,Taiwan,Asiatic Region,9956,9805,87151,15577,8.75,106
16,Netherlands,Western Europe,9293,8970,151289,20602,16.28,137
17,Iran,Middle East,9153,9127,94547,27125,10.33,91
18,Sweden,Western Europe,8665,8469,116227,17794,13.41,119
19,Poland,Eastern Europe,8311,8181,52269,19343,6.29,66
20,Norway,Western Europe,6546,6345,91239,16299,13.94,119
21,Belgium,Western Europe,6259,6068,83822,12182,13.39,106
22,Turkey,Middle East,6109,6044,66044,12486,10.81,93
23,Switzerland,Western Europe,6024,5817,88663,10922,14.72,115
24,Malaysia,Asiatic Region,5464,5405,48398,11380,8.86,83
25,Singapore,Asiatic Region,5165,5066,68761,7964,13.31,107
26,Austria,Western Europe,5097,4942,43312,7281,8.5,78
27,Portugal,Western Europe,4908,4784,52865,10038,10.77,90
28,Czech Republic,Eastern Europe,4626,4597,21703,5032,4.69,53
29,Greece,Western Europe,4494,4356,52088,9002,11.59,89
30,Finland,Western Europe,4484,4400,59400,8669,13.25,98
31,Indonesia,Asiatic Region,4389,4363,14111,4650,3.22,41
32,Hong Kong,Asiatic Region,4189,4095,65710,7550,15.69,106
33,Egypt,Africa/Middle East,4010,3989,26941,6537,6.72,59
34,Saudi Arabia,Middle East,3952,3919,31865,6780,8.06,64
35,Denmark,Western Europe,3656,3573,58957,6271,16.13,98
36,Ukraine,Eastern Europe,3632,3589,9473,5607,2.61,30
37,Romania,Eastern Europe,3399,3312,12226,2842,3.6,43
38,South Africa,Africa,3395,3332,30910,4831,9.1,77
39,Pakistan,Asiatic Region,2919,2897,18245,4845,6.25,50
40,Israel,Middle East,2747,2637,47990,6216,17.47,96
41,United Arab Emirates,Middle East,2549,2507,15409,2452,6.05,50
42,Thailand,Asiatic Region,2417,2387,16932,2515,7.01,56
43,Ireland,Western Europe,2413,2363,36241,4790,15.02,81
44,Mexico,Latin America,2379,2335,20217,3159,8.5,55
45,New Zealand,Pacific Region,2360,2292,34804,3737,14.75,79
46,Serbia,Eastern Europe,2242,2209,11004,3672,4.91,43
47,Tunisia,Africa,1926,1916,11442,1855,5.94,44
48,Bangladesh,Asiatic Region,1921,1900,9124,2148,4.75,37
49,Algeria,Africa,1913,1905,10177,2055,5.32,38
50,Slovakia,Eastern Europe,1813,1794,8308,2492,4.58,37
51,Hungary,Eastern Europe,1740,1716,14047,2293,8.07,54
52,Bulgaria,Eastern Europe,1661,1647,5145,1248,3.1,30
53,Colombia,Latin America,1477,1451,9829,1333,6.65,43
54,Morocco,Africa,1474,1462,7945,2043,5.39,38
55,Viet Nam,Asiatic Region,1471,1448,10147,1766,6.9,45
56,Nigeria,Africa,1362,1354,8647,2125,6.35,40
57,Iraq,Middle East,1303,1301,8277,1929,6.35,38
58,Slovenia,Eastern Europe,1257,1224,11696,1916,9.3,48
59,Argentina,Latin America,1240,1224,18848,3247,15.2,63
60,Jordan,Middle East,1163,1156,8985,1589,7.73,39
61,Chile,Latin America,1123,1106,11166,1963,9.94,49
62,Qatar,Middle East,947,937,8339,1329,8.81,41
63,Croatia,Eastern Europe,943,926,5892,1020,6.25,34
