Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,5473,5331,59195,21410,10.82,320
2,Japan,Asiatic Region,904,898,6772,1728,7.49,117
3,United Kingdom,Western Europe,877,847,15845,2976,18.07,183
4,China,Asiatic Region,714,711,8285,4138,11.6,171
5,Germany,Western Europe,689,667,9958,1787,14.45,146
6,Italy,Western Europe,628,603,11008,2740,17.53,149
7,France,Western Europe,619,611,8432,1834,13.62,149
8,Canada,Northern America,540,534,9355,1535,17.32,160
9,South Korea,Asiatic Region,437,437,4893,805,11.2,113
10,India,Asiatic Region,344,343,4580,1226,13.31,118
11,Spain,Western Europe,318,315,7982,1587,25.1,127
12,Taiwan,Asiatic Region,255,254,3724,774,14.6,106
13,Australia,Pacific Region,254,250,5024,808,19.78,150
14,Netherlands,Western Europe,250,246,5547,856,22.19,137
15,Brazil,Latin America,236,235,1538,305,6.52,92
16,Poland,Eastern Europe,208,204,1403,453,6.75,66
17,Sweden,Western Europe,203,198,4380,561,21.58,119
18,Norway,Western Europe,186,182,4207,666,22.62,119
19,Belgium,Western Europe,177,163,3824,555,21.6,106
20,Austria,Western Europe,155,150,1713,220,11.05,78
21,Greece,Western Europe,131,129,3100,520,23.66,89
22,Switzerland,Western Europe,129,128,4107,244,31.84,115
23,Russian Federation,Eastern Europe,106,106,820,180,7.74,54
24,Singapore,Asiatic Region,92,89,1705,203,18.53,107
25,Denmark,Western Europe,92,89,2353,174,25.58,98
26,Finland,Western Europe,88,86,2065,316,23.47,98
27,Turkey,Middle East,88,87,2756,450,31.32,93
28,Iran,Middle East,86,86,1403,343,16.31,91
29,Israel,Middle East,84,83,1892,238,22.52,96
30,Czech Republic,Eastern Europe,79,79,493,98,6.24,53
31,Mexico,Latin America,72,71,446,66,6.19,55
32,Romania,Eastern Europe,70,69,527,70,7.53,43
33,South Africa,Africa,68,68,1380,173,20.29,77
34,Slovakia,Eastern Europe,68,67,390,54,5.74,37
35,Portugal,Western Europe,61,58,1279,254,20.97,90
36,Hong Kong,Asiatic Region,60,60,2377,290,39.62,106
37,Slovenia,Eastern Europe,49,48,906,68,18.49,48
38,Egypt,Africa/Middle East,48,48,934,107,19.46,59
39,Ireland,Western Europe,47,47,808,101,17.19,81
40,New Zealand,Pacific Region,47,45,1893,138,40.28,79
41,Argentina,Latin America,34,34,987,237,29.03,63
42,Thailand,Asiatic Region,33,33,419,34,12.7,56
43,Serbia,Eastern Europe,32,31,137,57,4.28,43
44,Malaysia,Asiatic Region,27,27,243,67,9.0,83
45,Lithuania,Eastern Europe,26,26,230,46,8.85,26
46,Saudi Arabia,Middle East,24,24,138,17,5.75,64
47,Hungary,Eastern Europe,23,21,451,52,19.61,54
48,Pakistan,Asiatic Region,21,21,226,30,10.76,50
49,United Arab Emirates,Middle East,18,18,116,28,6.44,50
50,Croatia,Eastern Europe,17,17,72,14,4.24,34
51,Estonia,Eastern Europe,17,17,150,66,8.82,28
52,Macedonia,Eastern Europe,16,16,33,1,2.06,17
53,Tunisia,Africa,15,15,183,28,12.2,44
54,Indonesia,Asiatic Region,14,14,440,50,31.43,41
55,Venezuela,Latin America,14,14,337,9,24.07,36
56,Nigeria,Africa,14,14,461,57,32.93,40
57,Chile,Latin America,13,13,168,28,12.92,49
58,Ukraine,Eastern Europe,13,13,63,15,4.85,30
59,Bulgaria,Eastern Europe,11,11,196,46,17.82,30
60,Lebanon,Middle East,11,11,153,19,13.91,31
