Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,232004,230082,2028340,1422841,8.74,707
2,United States,Northern America,99210,95883,838814,255356,8.45,1212
3,India,Asiatic Region,61507,57033,349756,151197,5.69,414
4,Germany,Western Europe,32918,31261,232072,60369,7.05,636
5,United Kingdom,Western Europe,30769,29482,319534,61836,10.38,689
6,Russian Federation,Eastern Europe,30736,29168,85906,45962,2.79,254
7,Japan,Asiatic Region,28244,27399,149396,38319,5.29,535
8,South Korea,Asiatic Region,24772,24350,216944,47020,8.76,474
9,Italy,Western Europe,24391,22673,195350,58482,8.01,486
10,France,Western Europe,19321,18662,138205,27396,7.15,522
11,Canada,Northern America,18953,18358,177693,30349,9.38,547
12,Iran,Middle East,16761,16563,171392,51844,10.23,279
13,Australia,Pacific Region,16659,15923,227092,37657,13.63,507
14,Spain,Western Europe,15847,15173,131498,28677,8.3,454
15,Indonesia,Asiatic Region,11639,11527,27938,11615,2.4,117
16,Malaysia,Asiatic Region,11506,11030,77920,18800,6.77,266
17,Brazil,Latin America,11492,11184,74032,17899,6.44,286
18,Poland,Eastern Europe,11262,10751,63758,20852,5.66,252
19,Taiwan,Asiatic Region,10464,10251,77737,13955,7.43,377
20,Turkey,Middle East,9881,9598,82691,19866,8.37,303
21,Saudi Arabia,Middle East,8272,8121,110423,27088,13.35,283
22,Netherlands,Western Europe,8154,7790,78695,12586,9.65,466
23,Singapore,Asiatic Region,6659,6400,104082,12561,15.63,451
24,Egypt,Africa/Middle East,6644,6472,65769,20957,9.9,207
25,Sweden,Western Europe,6552,6313,67234,9424,10.26,382
26,Ukraine,Eastern Europe,6543,6131,19990,12801,3.06,136
27,Hong Kong,Asiatic Region,6542,6386,101395,13122,15.5,413
28,Portugal,Western Europe,6322,5912,51943,9796,8.22,287
29,Pakistan,Asiatic Region,6218,6110,72833,20585,11.71,188
30,Switzerland,Western Europe,6183,5878,64871,10398,10.49,468
31,Iraq,Middle East,5721,5651,30811,10753,5.39,110
32,Belgium,Western Europe,5376,5154,45303,7473,8.43,380
33,Viet Nam,Asiatic Region,5356,5023,57273,10550,10.69,151
34,Mexico,Latin America,5055,4882,29679,5406,5.87,216
35,Czech Republic,Eastern Europe,4728,4593,25644,5226,5.42,211
36,Romania,Eastern Europe,4727,4519,19231,4478,4.07,180
37,Denmark,Western Europe,4719,4569,55812,8073,11.83,357
38,Austria,Western Europe,4551,4303,32372,6153,7.11,291
39,Norway,Western Europe,4496,4311,36599,6329,8.14,264
40,Thailand,Asiatic Region,4275,4184,23811,4882,5.57,188
41,Finland,Western Europe,4074,3926,39231,6352,9.63,297
42,Greece,Western Europe,4047,3826,34067,6598,8.42,294
43,South Africa,Africa,3793,3597,26495,5169,6.99,198
44,United Arab Emirates,Middle East,3219,3039,29059,4690,9.03,172
45,Algeria,Africa,2944,2832,20399,4466,6.93,157
46,Israel,Middle East,2886,2760,22205,3997,7.69,324
47,Colombia,Latin America,2878,2807,13978,3143,4.86,146
48,Morocco,Africa,2793,2668,13866,4249,4.96,121
49,Ireland,Western Europe,2535,2442,26003,3542,10.26,271
50,Bangladesh,Asiatic Region,2454,2393,17898,4501,7.29,132
51,Tunisia,Africa,2393,2327,13072,2588,5.46,133
52,Slovakia,Eastern Europe,2290,2174,9700,2395,4.24,137
53,New Zealand,Pacific Region,2206,2108,20848,2694,9.45,233
54,Nigeria,Africa,2172,2091,13613,3266,6.27,113
55,Chile,Latin America,2137,2095,14979,3121,7.01,186
56,Hungary,Eastern Europe,1974,1895,11559,2720,5.86,185
57,Bulgaria,Eastern Europe,1551,1500,3931,1380,2.53,123
58,Croatia,Eastern Europe,1530,1480,8815,1676,5.76,133
59,Kazakhstan,Asiatic Region,1475,1450,6677,1751,4.53,71
60,Jordan,Middle East,1446,1409,12234,2528,8.46,130
61,Serbia,Eastern Europe,1438,1357,9626,1939,6.69,143
62,Argentina,Latin America,1332,1278,7393,1337,5.55,163
63,Ecuador,Latin America,1292,1278,5817,1207,4.5,78
64,Qatar,Middle East,1280,1245,19782,2341,15.45,142
65,Slovenia,Eastern Europe,1187,1135,9364,1443,7.89,177
66,Peru,Latin America,1105,1087,2819,789,2.55,64
67,Philippines,Asiatic Region,1099,1061,3761,899,3.42,83
68,Uzbekistan,Asiatic Region,1077,1069,3767,3088,3.5,45
69,Lithuania,Eastern Europe,872,849,7015,1090,8.04,114
70,Macao,Asiatic Region,791,779,11243,1017,14.21,133
71,Lebanon,Middle East,762,742,5322,713,6.98,114
72,Cyprus,Western Europe,759,731,6844,991,9.02,139
73,Estonia,Eastern Europe,727,700,4848,1185,6.67,106
74,Sri Lanka,Asiatic Region,724,658,3801,771,5.25,81
75,Latvia,Eastern Europe,717,663,2583,689,3.6,74
76,Bosnia and Herzegovina,Eastern Europe,571,450,2349,441,4.11,63
77,Oman,Middle East,567,523,4319,557,7.62,102
78,Kuwait,Middle East,561,551,4604,524,8.21,124
79,Belarus,Eastern Europe,545,528,3042,656,5.58,115
80,Ethiopia,Africa,523,513,3865,611,7.39,67
81,Luxembourg,Western Europe,445,437,4667,554,10.49,120
82,Azerbaijan,Eastern Europe,399,388,2819,684,7.07,80
83,Ghana,Africa,379,371,2841,446,7.5,65
84,Palestine,Middle East,288,280,2466,484,8.56,70
85,Kenya,Africa,265,255,1756,210,6.63,62
86,Cuba,Latin America,257,219,1027,191,4.0,84
87,Yemen,Middle East,227,226,2991,786,13.18,59
88,Cameroon,Africa,219,213,2350,528,10.73,62
89,Bahrain,Middle East,218,209,1082,245,4.96,63
90,Macedonia,Eastern Europe,215,202,1030,156,4.79,61
91,Iceland,Western Europe,206,196,2305,504,11.19,111
92,Moldova,Eastern Europe,197,165,295,100,1.5,68
