Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1402,1384,7497,2714,5.35,264
2,China,Asiatic Region,1128,1128,12254,9315,10.86,201
3,United Kingdom,Western Europe,339,335,2780,546,8.2,184
4,Australia,Pacific Region,339,335,2907,649,8.58,181
5,Canada,Northern America,328,322,2360,480,7.2,160
6,Germany,Western Europe,317,305,2516,581,7.94,163
7,Brazil,Latin America,245,243,1104,284,4.51,88
8,France,Western Europe,231,226,1709,520,7.4,153
9,Italy,Western Europe,214,211,1523,413,7.12,130
10,India,Asiatic Region,208,208,1281,502,6.16,103
11,Russian Federation,Eastern Europe,188,186,496,221,2.64,51
12,Spain,Western Europe,183,180,1283,267,7.01,152
13,Netherlands,Western Europe,158,157,1398,179,8.85,157
14,Japan,Asiatic Region,134,134,937,148,6.99,123
15,Mexico,Latin America,120,119,416,102,3.47,60
16,Switzerland,Western Europe,115,114,1205,167,10.48,142
17,South Korea,Asiatic Region,111,111,771,139,6.95,115
18,Sweden,Western Europe,97,96,1094,99,11.28,107
19,Portugal,Western Europe,81,80,642,104,7.93,91
20,Denmark,Western Europe,80,80,838,114,10.48,117
21,Poland,Eastern Europe,79,78,397,99,5.03,67
22,Finland,Western Europe,78,78,434,71,5.56,109
23,Norway,Western Europe,76,76,741,63,9.75,76
24,Turkey,Middle East,76,76,589,113,7.75,84
25,South Africa,Africa,70,69,306,76,4.37,65
26,Belgium,Western Europe,69,69,482,69,6.99,102
27,Iran,Middle East,67,67,397,101,5.93,54
28,Austria,Western Europe,66,65,439,51,6.65,83
29,Thailand,Asiatic Region,58,58,285,66,4.91,54
30,Saudi Arabia,Middle East,57,57,430,106,7.54,67
31,Greece,Western Europe,53,53,319,72,6.02,87
32,Czech Republic,Eastern Europe,52,51,616,185,11.85,63
33,New Zealand,Pacific Region,49,48,315,35,6.43,87
34,Hong Kong,Asiatic Region,47,47,422,48,8.98,111
35,Singapore,Asiatic Region,47,47,650,107,13.83,99
36,Ukraine,Eastern Europe,44,44,146,76,3.32,22
37,Pakistan,Asiatic Region,43,43,206,57,4.79,41
38,Indonesia,Asiatic Region,43,43,133,41,3.09,32
39,Israel,Middle East,42,42,255,43,6.07,73
40,Argentina,Latin America,41,40,181,47,4.41,48
41,Malaysia,Asiatic Region,40,40,152,54,3.8,56
42,Ireland,Western Europe,37,37,272,23,7.35,59
43,Taiwan,Asiatic Region,37,36,222,38,6.0,100
44,Viet Nam,Asiatic Region,36,36,268,46,7.44,31
45,Colombia,Latin America,35,35,173,20,4.94,42
46,Chile,Latin America,35,34,125,17,3.57,46
47,Egypt,Africa/Middle East,32,32,186,71,5.81,45
48,Hungary,Eastern Europe,29,29,195,24,6.72,39
49,Nigeria,Africa,28,27,65,24,2.32,26
50,Slovenia,Eastern Europe,23,22,153,29,6.65,41
51,Morocco,Africa,23,23,84,16,3.65,23
52,Bulgaria,Eastern Europe,23,23,100,11,4.35,29
53,Croatia,Eastern Europe,20,20,191,33,9.55,36
54,Ecuador,Latin America,19,19,53,25,2.79,26
55,Serbia,Eastern Europe,17,17,157,10,9.24,25
56,Nepal,Asiatic Region,16,15,27,8,1.69,15
57,Bangladesh,Asiatic Region,16,16,53,12,3.31,29
58,Algeria,Africa,16,16,60,14,3.75,21
59,Romania,Eastern Europe,15,15,95,8,6.33,34
60,Peru,Latin America,15,15,48,7,3.2,17
61,Ethiopia,Africa,14,14,87,33,6.21,21
62,Iraq,Middle East,14,14,58,7,4.14,13
63,Slovakia,Eastern Europe,13,13,106,15,8.15,25
64,Cyprus,Western Europe,13,13,114,7,8.77,29
65,Tunisia,Africa,13,13,90,22,6.92,26
66,Estonia,Eastern Europe,12,12,103,11,8.58,40
67,Lithuania,Eastern Europe,11,11,79,13,7.18,24
68,United Arab Emirates,Middle East,11,11,78,12,7.09,21
69,Sri Lanka,Asiatic Region,10,10,148,4,14.8,20
70,Panama,Latin America,10,10,53,7,5.3,19
71,Costa Rica,Latin America,9,9,100,6,11.11,21
72,Philippines,Asiatic Region,9,9,53,5,5.89,27
73,Ghana,Africa,8,8,49,6,6.13,19
74,Togo,Africa,7,6,12,7,1.71,6
75,Albania,Eastern Europe,7,7,40,7,5.71,5
76,Bolivia,Latin America,7,7,25,1,3.57,13
77,Jordan,Middle East,6,6,19,7,3.17,24
78,Latvia,Eastern Europe,6,6,21,16,3.5,20
79,Cameroon,Africa,6,6,35,5,5.83,14
80,Puerto Rico,Latin America,6,6,5,0,0.83,15
81,Benin,Africa,5,5,30,0,6.0,11
82,Kenya,Africa,4,4,57,7,14.25,28
83,Uruguay,Latin America,4,4,17,2,4.25,14
84,Uganda,Africa,4,4,14,1,3.5,14
85,Lebanon,Middle East,4,4,17,8,4.25,24
86,Kazakhstan,Asiatic Region,4,4,0,0,0.0,6
87,Guatemala,Latin America,4,4,5,0,1.25,5
88,Mauritius,Africa,4,4,12,0,3.0,4
