Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,4514,4436,277249,133227,61.42,582
2,United Kingdom,Western Europe,938,921,62618,13338,66.76,382
3,Canada,Northern America,883,866,49298,11805,55.83,317
4,Germany,Western Europe,850,849,48760,12037,57.36,333
5,Australia,Pacific Region,701,693,45738,12334,65.25,325
6,China,Asiatic Region,660,660,12007,8238,18.19,255
7,France,Western Europe,523,518,28842,6552,55.15,298
8,Japan,Asiatic Region,467,464,18452,4392,39.51,211
9,Spain,Western Europe,434,424,17880,5832,41.2,252
10,Netherlands,Western Europe,362,359,30020,3806,82.93,284
11,Italy,Western Europe,346,344,16616,4027,48.02,232
12,India,Asiatic Region,302,263,5075,2472,16.8,167
13,New Zealand,Pacific Region,285,278,13886,2669,48.72,206
14,Sweden,Western Europe,275,271,19720,3062,71.71,266
15,Finland,Western Europe,263,263,15902,3193,60.46,198
16,South Africa,Africa,230,228,7825,2449,34.02,185
17,Brazil,Latin America,208,205,14214,5329,68.34,203
18,Norway,Western Europe,204,204,10716,2116,52.53,191
19,Switzerland,Western Europe,200,195,15671,2186,78.36,246
20,Denmark,Western Europe,200,199,14956,2022,74.78,219
21,Russian Federation,Eastern Europe,167,167,3733,892,22.35,140
22,Argentina,Latin America,160,157,5789,2252,36.18,146
23,Poland,Eastern Europe,144,144,1733,636,12.03,124
24,Belgium,Western Europe,133,133,7946,1081,59.74,203
25,Mexico,Latin America,131,129,6126,1873,46.76,149
26,Austria,Western Europe,96,96,5996,653,62.46,189
27,Portugal,Western Europe,88,88,3996,982,45.41,151
28,Israel,Middle East,79,79,3906,714,49.44,144
29,Czech Republic,Eastern Europe,78,78,3929,1083,50.37,144
30,Ireland,Western Europe,74,74,3036,595,41.03,137
31,Turkey,Middle East,74,74,907,287,12.26,97
32,Ukraine,Eastern Europe,73,73,175,56,2.4,59
33,Chile,Latin America,71,71,2304,821,32.45,119
34,Hong Kong,Asiatic Region,61,61,2709,515,44.41,117
35,Greece,Western Europe,60,60,2941,621,49.02,119
36,Slovakia,Eastern Europe,56,56,467,163,8.34,74
37,South Korea,Asiatic Region,55,55,2686,479,48.84,137
38,Kenya,Africa,36,36,1281,214,35.58,115
39,Taiwan,Asiatic Region,32,32,1160,290,36.25,111
40,Croatia,Eastern Europe,31,31,364,194,11.74,66
41,Thailand,Asiatic Region,30,30,2227,281,74.23,124
42,Indonesia,Asiatic Region,27,26,1266,162,46.89,106
43,Estonia,Eastern Europe,27,27,1145,166,42.41,105
44,Nigeria,Africa,26,25,184,71,7.08,51
45,Egypt,Africa/Middle East,26,26,756,143,29.08,78
46,Colombia,Latin America,20,20,947,99,47.35,99
47,Tanzania,Africa,19,19,779,150,41.0,71
48,Philippines,Asiatic Region,19,19,1543,132,81.21,88
49,Iceland,Western Europe,19,19,862,222,45.37,71
50,Iran,Middle East,18,18,187,82,10.39,82
51,Puerto Rico,Latin America,17,16,1660,128,97.65,84
52,Malaysia,Asiatic Region,17,17,1379,92,81.12,99
53,Singapore,Asiatic Region,17,17,1280,119,75.29,104
54,Morocco,Africa,15,15,363,49,24.2,50
55,Panama,Latin America,15,14,4010,238,267.33,111
56,Bulgaria,Eastern Europe,14,14,502,37,35.86,59
57,Costa Rica,Latin America,13,13,560,48,43.08,80
58,Ethiopia,Africa,13,13,487,155,37.46,68
59,Tunisia,Africa,13,13,328,134,25.23,54
60,Hungary,Eastern Europe,12,12,1173,120,97.75,109
61,Slovenia,Eastern Europe,12,11,525,44,43.75,83
62,Venezuela,Latin America,11,11,324,21,29.45,66
63,Senegal,Africa,11,11,379,62,34.45,52
64,Zimbabwe,Africa,10,10,675,56,67.5,60
65,Ecuador,Latin America,10,10,498,82,49.8,76
66,United Arab Emirates,Middle East,10,10,274,54,27.4,50
67,Mauritius,Africa,9,9,256,15,28.44,42
68,Pakistan,Asiatic Region,9,9,304,96,33.78,74
69,Uruguay,Latin America,9,9,1884,113,209.33,64
70,Namibia,Africa,9,9,207,29,23.0,47
71,Bangladesh,Asiatic Region,8,8,136,31,17.0,66
72,Bolivia,Latin America,8,8,486,44,60.75,67
73,Peru,Latin America,7,7,458,85,65.43,80
74,Falkland Islands (Malvinas),Latin America,7,7,255,58,36.43,31
75,Saudi Arabia,Middle East,7,7,115,48,16.43,96
76,Sri Lanka,Asiatic Region,7,7,187,27,26.71,57
77,Lebanon,Middle East,6,6,79,4,13.17,32
78,Benin,Africa,6,6,176,31,29.33,41
