Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2605,2558,152382,56801,58.5,552
2,United Kingdom,Western Europe,954,925,43198,7639,45.28,361
3,Germany,Western Europe,703,697,39582,7284,56.3,323
4,Japan,Asiatic Region,556,553,21251,4096,38.22,236
5,China,Asiatic Region,513,512,18176,8248,35.43,423
6,Spain,Western Europe,487,487,18156,4051,37.28,275
7,Canada,Northern America,465,456,25072,5239,53.92,302
8,Italy,Western Europe,421,416,12977,2930,30.82,243
9,France,Western Europe,390,388,17966,2991,46.07,281
10,Sweden,Western Europe,267,263,15248,2254,57.11,240
11,Australia,Pacific Region,222,221,11787,1822,53.09,276
12,Netherlands,Western Europe,205,202,13287,1681,64.81,267
13,India,Asiatic Region,188,187,8339,2790,44.36,258
14,Taiwan,Asiatic Region,180,180,9072,1187,50.4,183
15,Poland,Eastern Europe,176,176,5450,1381,30.97,163
16,Finland,Western Europe,169,169,7344,1288,43.46,172
17,Switzerland,Western Europe,162,162,10947,1240,67.57,271
18,South Korea,Asiatic Region,162,162,7871,1035,48.59,238
19,Belgium,Western Europe,150,150,6333,826,42.22,198
20,Norway,Western Europe,149,145,5357,1176,35.95,184
21,Greece,Western Europe,139,138,4014,758,28.88,154
22,Brazil,Latin America,127,126,4870,1633,38.35,174
23,Russian Federation,Eastern Europe,118,114,2994,592,25.37,125
24,Turkey,Middle East,113,112,2813,639,24.89,194
25,Denmark,Western Europe,104,104,6107,742,58.72,194
26,Austria,Western Europe,91,88,5051,428,55.51,145
27,Hong Kong,Asiatic Region,89,87,6452,476,72.49,200
28,Portugal,Western Europe,82,82,3154,617,38.46,167
29,Israel,Middle East,66,61,1781,237,26.98,119
30,Czech Republic,Eastern Europe,58,58,1997,385,34.43,136
31,Mexico,Latin America,51,51,2863,465,56.14,122
32,New Zealand,Pacific Region,50,49,2908,206,58.16,130
33,Egypt,Africa/Middle East,47,47,1124,200,23.91,125
34,Singapore,Asiatic Region,43,42,2631,91,61.19,183
35,Ireland,Western Europe,38,37,1202,102,31.63,132
36,Argentina,Latin America,38,37,1387,371,36.5,114
37,Slovenia,Eastern Europe,38,37,1267,266,33.34,92
38,Hungary,Eastern Europe,36,36,1404,206,39.0,96
39,South Africa,Africa,30,30,1180,163,39.33,128
40,Iran,Middle East,29,28,897,352,30.93,176
41,Thailand,Asiatic Region,28,28,619,66,22.11,109
42,Ukraine,Eastern Europe,26,25,843,119,32.42,66
43,Morocco,Africa,26,26,504,96,19.38,72
44,Slovakia,Eastern Europe,20,20,614,135,30.7,74
45,Romania,Eastern Europe,19,19,1895,87,99.74,92
46,Chile,Latin America,17,17,1000,95,58.82,86
47,Bulgaria,Eastern Europe,16,15,277,23,17.31,60
48,Jordan,Middle East,16,16,343,67,21.44,59
49,Croatia,Eastern Europe,15,15,406,70,27.07,68
50,Saudi Arabia,Middle East,15,15,419,47,27.93,156
51,Estonia,Eastern Europe,14,14,450,91,32.14,72
52,Nigeria,Africa,12,12,369,107,30.75,83
53,Cuba,Latin America,10,10,133,21,13.3,44
54,Venezuela,Latin America,10,10,233,14,23.3,47
55,Malaysia,Asiatic Region,10,10,185,19,18.5,167
56,Kuwait,Middle East,10,10,267,37,26.7,42
57,Lithuania,Eastern Europe,10,10,298,39,29.8,57
58,United Arab Emirates,Middle East,9,9,343,11,38.11,75
59,Algeria,Africa,9,9,260,61,28.89,80
60,Kenya,Africa,9,8,219,42,24.33,68
61,Tunisia,Africa,7,7,110,8,15.71,85
62,Belarus,Eastern Europe,7,7,129,22,18.43,35
63,Lebanon,Middle East,5,5,236,13,47.2,57
64,Pakistan,Asiatic Region,5,5,373,46,74.6,143
65,Puerto Rico,Latin America,5,5,278,22,55.6,46
66,Indonesia,Asiatic Region,5,5,90,3,18.0,79
67,Zimbabwe,Africa,4,4,834,28,208.5,28
68,Cyprus,Western Europe,4,4,2,0,0.5,64
69,Ethiopia,Africa,4,4,292,207,73.0,65
70,Georgia,Eastern Europe,4,4,421,1,105.25,27
71,Latvia,Eastern Europe,4,4,59,12,14.75,34
72,Oman,Middle East,4,4,49,23,12.25,48
73,Serbia,Eastern Europe,4,4,63,41,15.75,77
74,Ecuador,Latin America,3,3,307,104,102.33,52
75,Costa Rica,Latin America,3,3,132,8,44.0,47
76,Philippines,Asiatic Region,3,3,176,29,58.67,76
77,Jamaica,Latin America,3,3,104,9,34.67,17
78,Iceland,Western Europe,3,3,939,36,313.0,53
79,Burkina Faso,Africa,3,3,32,4,10.67,25
80,Sri Lanka,Asiatic Region,3,3,141,7,47.0,61
81,Papua New Guinea,Pacific Region,2,2,35,0,17.5,16
82,Botswana,Africa,2,2,75,9,37.5,36
83,Guinea,Africa,2,2,16,0,8.0,6
84,Azerbaijan,Eastern Europe,2,2,39,1,19.5,17
85,Tanzania,Africa,2,2,38,1,19.0,47
86,Ghana,Africa,2,2,21,5,10.5,56
87,Nepal,Asiatic Region,2,2,46,17,23.0,50
88,Monaco,Western Europe,2,2,111,10,55.5,44
89,Bangladesh,Asiatic Region,2,2,1143,12,571.5,101
90,Viet Nam,Asiatic Region,2,2,901,106,450.5,97
91,Niger,Africa,2,2,55,5,27.5,13
92,Luxembourg,Western Europe,2,1,27,0,13.5,47
93,Qatar,Middle East,2,2,42,2,21.0,60
94,Kyrgyzstan,Asiatic Region,2,2,24,3,12.0,19
95,Zambia,Africa,2,2,103,2,51.5,25
96,Senegal,Africa,2,2,41,7,20.5,30
97,Syrian Arab Republic,Middle East,2,2,45,11,22.5,32
98,Peru,Latin America,2,2,10,3,5.0,53
99,Mauritius,Africa,1,1,2,0,2.0,17
100,Moldova,Eastern Europe,1,1,9,6,9.0,16
101,Namibia,Africa,1,1,20,6,20.0,15
102,Nicaragua,Latin America,1,1,67,4,67.0,19
103,Honduras,Latin America,1,1,2,0,2.0,12
104,Palestine,Middle East,1,1,6,4,6.0,30
105,Guatemala,Latin America,1,1,139,15,139.0,10
106,Faroe Islands,Western Europe,1,1,23,7,23.0,27
107,Cape Verde,Africa,1,1,14,0,14.0,10
108,Colombia,Latin America,1,1,0,0,0.0,79
109,Sierra Leone,Africa,1,1,6,0,6.0,6
110,Cameroon,Africa,1,1,59,10,59.0,39
111,Côte d’Ivoire,Africa,1,1,16,0,16.0,24
112,Trinidad and Tobago,Latin America,1,1,175,5,175.0,22
113,Bolivia,Latin America,1,1,2,0,2.0,44
114,Bahrain,Middle East,1,1,42,0,42.0,19
115,Uruguay,Latin America,1,1,0,0,0.0,36
116,Yemen,Middle East,1,1,5,0,5.0,23
117,Bosnia and Herzegovina,Eastern Europe,1,1,129,0,129.0,25
118,Macedonia,Eastern Europe,1,1,8,7,8.0,26
119,Madagascar,Africa,1,1,21,0,21.0,13
