Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,14370,14252,275989,188882,19.21,337
2,United States,Northern America,4515,4408,71224,17079,15.77,390
3,India,Asiatic Region,3242,3017,43114,16200,13.3,279
4,United Kingdom,Western Europe,1614,1575,29445,4539,18.24,268
5,Spain,Western Europe,1467,1444,25562,5060,17.42,238
6,Australia,Pacific Region,1410,1384,32563,4816,23.09,248
7,Japan,Asiatic Region,1340,1323,13844,2365,10.33,193
8,South Korea,Asiatic Region,1309,1292,23588,3951,18.02,211
9,Brazil,Latin America,1304,1295,17462,5085,13.39,169
10,Iran,Middle East,1288,1274,18492,5091,14.36,158
11,Italy,Western Europe,1279,1247,20567,4640,16.08,208
12,Canada,Northern America,1258,1235,18970,3150,15.08,239
13,Germany,Western Europe,1168,1127,17668,2759,15.13,231
14,Poland,Eastern Europe,966,956,9330,2199,9.66,128
15,France,Western Europe,927,913,13240,1980,14.28,216
16,Malaysia,Asiatic Region,821,753,11068,2092,13.48,168
17,Netherlands,Western Europe,613,600,11331,1293,18.48,224
18,Turkey,Middle East,607,602,10456,2161,17.23,200
19,Indonesia,Asiatic Region,564,562,3433,1214,6.09,73
20,Taiwan,Asiatic Region,539,532,9896,1322,18.36,194
21,Portugal,Western Europe,536,526,8084,1616,15.08,164
22,Hong Kong,Asiatic Region,491,478,12020,1276,24.48,193
23,Russian Federation,Eastern Europe,483,482,3279,922,6.79,78
24,Egypt,Africa/Middle East,477,475,7104,1997,14.89,120
25,Pakistan,Asiatic Region,467,464,12002,2635,25.7,134
26,Sweden,Western Europe,442,428,8020,983,18.14,179
27,Czech Republic,Eastern Europe,430,419,4055,598,9.43,115
28,Thailand,Asiatic Region,428,424,3443,515,8.04,118
29,Denmark,Western Europe,426,407,7654,943,17.97,181
30,Saudi Arabia,Middle East,385,382,7053,1311,18.32,120
31,Viet Nam,Asiatic Region,380,374,8976,1140,23.62,98
32,South Africa,Africa,366,361,4139,653,11.31,104
33,Mexico,Latin America,348,345,6615,950,19.01,122
34,Iraq,Middle East,323,323,2663,683,8.24,54
35,Belgium,Western Europe,322,316,5979,631,18.57,166
36,Switzerland,Western Europe,313,302,4879,571,15.59,175
37,Singapore,Asiatic Region,306,304,6525,764,21.32,144
38,Greece,Western Europe,304,295,5219,828,17.17,164
39,Finland,Western Europe,289,283,5561,618,19.24,146
40,Norway,Western Europe,281,276,5924,608,21.08,136
41,Nigeria,Africa,276,275,3704,791,13.42,82
42,Colombia,Latin America,257,254,1917,399,7.46,86
43,New Zealand,Pacific Region,236,232,3595,369,15.23,123
44,Austria,Western Europe,203,198,3182,372,15.67,135
45,Ireland,Western Europe,196,193,3834,488,19.56,103
46,Bangladesh,Asiatic Region,183,178,3172,665,17.33,88
47,Romania,Eastern Europe,173,172,2065,321,11.94,86
48,Ukraine,Eastern Europe,165,163,1061,445,6.43,46
49,Algeria,Africa,162,162,1331,185,8.22,68
50,Chile,Latin America,156,155,2278,415,14.6,89
51,Morocco,Africa,152,152,1566,406,10.3,70
52,Argentina,Latin America,141,138,2029,322,14.39,98
53,Slovakia,Eastern Europe,129,127,889,229,6.89,60
54,Hungary,Eastern Europe,126,125,1679,201,13.33,88
55,United Arab Emirates,Middle East,120,118,2309,410,19.24,68
56,Tunisia,Africa,116,116,1444,185,12.45,88
57,Philippines,Asiatic Region,116,116,1576,180,13.59,60
58,Israel,Middle East,113,111,1878,182,16.62,99
59,Qatar,Middle East,108,106,3014,253,27.91,58
60,Jordan,Middle East,102,102,808,111,7.92,60
61,Lithuania,Eastern Europe,94,88,660,122,7.02,48
62,Croatia,Eastern Europe,92,90,990,179,10.76,67
63,Serbia,Eastern Europe,85,84,882,118,10.38,74
64,Kazakhstan,Asiatic Region,81,81,662,133,8.17,29
65,Slovenia,Eastern Europe,75,75,1392,149,18.56,80
66,Oman,Middle East,69,66,1527,134,22.13,53
67,Sri Lanka,Asiatic Region,67,63,843,140,12.58,65
68,Ethiopia,Africa,65,63,1000,184,15.38,55
69,Estonia,Eastern Europe,63,62,1309,100,20.78,65
70,Ecuador,Latin America,63,63,1478,117,23.46,40
71,Peru,Latin America,61,61,773,99,12.67,43
72,Cyprus,Western Europe,61,59,1531,117,25.1,70
73,Kenya,Africa,52,50,998,102,19.19,54
74,Lebanon,Middle East,50,50,595,64,11.9,55
75,Kuwait,Middle East,42,42,284,57,6.76,45
76,Bulgaria,Eastern Europe,37,37,291,39,7.86,54
77,Ghana,Africa,35,34,748,103,21.37,55
78,Nepal,Asiatic Region,33,33,519,44,15.73,44
79,Latvia,Eastern Europe,25,23,126,23,5.04,34
80,Costa Rica,Latin America,25,25,357,33,14.28,39
81,Palestine,Middle East,24,24,313,33,13.04,36
82,Tanzania,Africa,24,24,377,32,15.71,38
